Date;M2
01.01.1993;6.5
01.02.1993;7.7
01.03.1993;8.4
01.04.1993;9.6
01.05.1993;11.8
01.06.1993;14.5
01.07.1993;13.8
01.08.1993;19.6
01.09.1993;22.3
01.10.1993;22.9
01.11.1993;25.8
01.12.1993;28
01.01.1994;33.2
01.02.1994;35.5
01.03.1994;37
01.04.1994;40.3
01.05.1994;47.3
01.06.1994;53.7
01.07.1994;60.7
01.08.1994;65.7
01.09.1994;72.6
01.10.1994;78.6
01.11.1994;82.5
01.12.1994;86.6
01.01.1995;97.8
01.02.1995;93.5
01.03.1995;101.7
01.04.1995;107.2
01.05.1995;123.2
01.06.1995;138.2
01.07.1995;156.6
01.08.1995;165
01.09.1995;173.8
01.10.1995;179.7
01.11.1995;184.1
01.12.1995;195.1
01.01.1996;220.8
01.02.1996;216.7
01.03.1996;229.2
01.04.1996;241.7
01.05.1996;251
01.06.1996;254.2
01.07.1996;266.9
01.08.1996;271.8
01.09.1996;275.3
01.10.1996;276.1
01.11.1996;278.8
01.12.1996;282.4
01.01.1997;288.3
01.02.1997;289.9
01.03.1997;299.5
01.04.1997;305.8
01.05.1997;317.8
01.06.1997;328.4
01.07.1997;352
01.08.1997;363
01.09.1997;364.6
01.10.1997;363
01.11.1997;368.8
01.12.1997;357.4
01.01.1998;374.1
01.02.1998;364.9
01.03.1998;366.9
01.04.1998;364.7
01.05.1998;372.6
01.06.1998;375.7
01.07.1998;374.5
01.08.1998;365.6
01.09.1998;350.5
01.10.1998;374.1
01.11.1998;386.9
01.12.1998;407.4
01.01.1999;453.7
01.02.1999;450.6
01.03.1999;471.3
01.04.1999;482.2
01.05.1999;518.8
01.06.1999;553.7
01.07.1999;581.5
01.08.1999;596
01.09.1999;605.7
01.10.1999;611.9
01.11.1999;639.4
01.12.1999;663.5
01.01.2000;714.6
01.02.2000;709.6
01.03.2000;742
01.04.2000;768.4
01.05.2000;802.5
01.06.2000;850.1
01.07.2000;905.8
01.08.2000;950.5
01.09.2000;977.6
01.10.2000;1008.8
01.11.2000;1016.4
01.12.2000;1054.6
01.01.2001;1150.6
01.02.2001;1090.1
01.03.2001;1118.5
01.04.2001;1159.7
01.05.2001;1220.5
01.06.2001;1242.6
01.07.2001;1301.3
01.08.2001;1337.4
01.09.2001;1374.5
01.10.2001;1421.6
01.11.2001;1449.8
01.12.2001;1448.2
01.01.2002;1609.4
01.02.2002;1511.2
01.03.2002;1532.8
01.04.2002;1574.1
01.05.2002;1630.7
01.06.2002;1700.2
01.07.2002;1764.1
01.08.2002;1790.2
01.09.2002;1824.3
01.10.2002;1857.4
01.11.2002;1900
01.12.2002;1943.9
01.01.2003;2130.5
01.02.2003;2033.3
01.03.2003;2114
01.04.2003;2218.4
01.05.2003;2326.1
01.06.2003;2447.2
01.07.2003;2619.3
01.08.2003;2638.3
01.09.2003;2695.3
01.10.2003;2744
01.11.2003;2753.5
01.12.2003;2835.2
01.01.2004;3205.2
01.02.2004;3203.3
01.03.2004;3323.5
01.04.2004;3409.7
01.05.2004;3474.2
01.06.2004;3514.9
01.07.2004;3670.9
01.08.2004;3626.8
01.09.2004;3649.8
01.10.2004;3717.5
01.11.2004;3787.8
01.12.2004;3928.5
01.01.2005;4353.9
01.02.2005;4179.9
01.03.2005;4300.6
01.04.2005;4462.7
01.05.2005;4577.5
01.06.2005;4677.7
01.07.2005;4915.4
01.08.2005;4974.3
01.09.2005;5118.2
01.10.2005;5274.9
01.11.2005;5296.5
01.12.2005;5417.1
01.01.2006;6032.1
01.02.2006;5822.1
01.03.2006;5899.7
01.04.2006;6148.1
01.05.2006;6333.4
01.06.2006;6663.4
01.07.2006;7057.2
01.08.2006;7199.6
01.09.2006;7417.4
01.10.2006;7727.1
01.11.2006;7743.4
01.12.2006;7974.4
01.01.2007;8970.7
01.02.2007;8674.9
01.03.2007;8873.4
01.04.2007;9381.7
01.05.2007;9964.3
01.06.2007;10673
01.07.2007;10827.4
01.08.2007;10888.4
01.09.2007;11128.5
01.10.2007;11461.8
01.11.2007;11382.2
01.12.2007;11756
01.01.2008;12869
01.02.2008;12509.7
01.03.2008;12662.9
01.04.2008;12973.8
01.05.2008;12944.4
01.06.2008;13312.8
01.07.2008;13841.2
01.08.2008;13842.6
01.09.2008;14196.6
01.10.2008;14045.7
01.11.2008;13173.1
01.12.2008;12839.2
01.01.2009;12975.9
01.02.2009;11430.9
01.03.2009;11465.2
01.04.2009;11581.6
01.05.2009;11838.7
01.06.2009;12331.6
01.07.2009;12650.5
01.08.2009;12618.1
01.09.2009;12797.3
01.10.2009;13101.9
01.11.2009;13376.9
01.12.2009;13713.3
01.01.2010;15267.6
01.02.2010;14904.1
01.03.2010;15236.4
01.04.2010;15639.4
01.05.2010;16098.6
01.06.2010;16470.6
01.07.2010;16900.9
01.08.2010;17063.3
01.09.2010;17437.7
