"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"10.05.2024","4,5270","4,4120","4,5380","4,4120","200,35M","2,68%"
"08.05.2024","4,4090","4,3930","4,4115","4,3370","154,30M","0,60%"
"07.05.2024","4,3825","4,3820","4,4520","4,3480","274,25M","0,26%"
"06.05.2024","4,3710","4,2820","4,3900","4,2820","352,90M","2,14%"
"03.05.2024","4,2795","4,2725","4,2925","4,2590","64,03M","0,14%"
"02.05.2024","4,2735","4,3000","4,3010","4,2660","91,73M","-0,09%"
"30.04.2024","4,2775","4,2860","4,3095","4,2570","42,18M","-0,14%"
"29.04.2024","4,2835","4,2480","4,2930","4,2450","57,47M","0,86%"
"27.04.2024","4,2470","4,2495","4,2640","4,2300","59,19M","-0,13%"
"26.04.2024","4,2525","4,2510","4,2635","4,2115","94,58M","0,29%"
"25.04.2024","4,2400","4,2430","4,2745","4,2060","112,19M","-0,07%"
"24.04.2024","4,2430","4,2505","4,2635","4,1000","224,22M","-0,16%"
"23.04.2024","4,2500","4,3025","4,3500","4,2420","221,66M","-1,52%"
"22.04.2024","4,3155","4,2725","4,3610","4,2650","263,21M","1,30%"
"19.04.2024","4,2600","4,2800","4,2800","4,2500","67,31M","-0,30%"
"18.04.2024","4,2730","4,2500","4,2850","4,2400","75,65M","0,59%"
"17.04.2024","4,2480","4,2500","4,2640","4,2235","83,29M","-0,07%"
"16.04.2024","4,2510","4,2660","4,2715","4,2455","83,32M","-0,30%"
"15.04.2024","4,2640","4,2650","4,2840","4,2515","95,95M","0,07%"
"12.04.2024","4,2610","4,2935","4,3055","4,2500","109,49M","-0,61%"
"11.04.2024","4,2870","4,2245","4,3095","4,2245","177,92M","1,49%"
"10.04.2024","4,2240","4,2060","4,2520","4,1990","98,33M","0,43%"
"09.04.2024","4,2060","4,2755","4,2905","4,1900","156,90M","-1,30%"
"08.04.2024","4,2615","4,2790","4,2970","4,2320","134,70M","-0,01%"
"05.04.2024","4,2620","4,2500","4,2840","4,1925","170,63M","0,25%"
"04.04.2024","4,2515","4,2940","4,2970","4,2500","75,43M","-0,74%"
"03.04.2024","4,2830","4,2930","4,3280","4,2305","160,64M","0,06%"
"02.04.2024","4,2805","4,2160","4,3270","4,2105","428,98M","1,80%"
"01.04.2024","4,2050","4,0790","4,2120","4,0790","269,70M","3,15%"
"29.03.2024","4,0765","4,0800","4,0800","4,0530","75,30M","0,07%"
"28.03.2024","4,0735","4,0900","4,0920","4,0550","93,38M","-0,24%"
"27.03.2024","4,0835","4,0725","4,0940","4,0640","111,57M","0,31%"
"26.03.2024","4,0710","4,0865","4,0895","4,0535","104,04M","-0,31%"
"25.03.2024","4,0835","4,0500","4,0865","4,0400","122,62M","1,21%"
"22.03.2024","4,0345","4,0750","4,0945","4,0155","143,53M","-0,60%"
"21.03.2024","4,0590","4,0840","4,1025","4,0290","146,36M","-0,59%"
"20.03.2024","4,0830","4,0700","4,1295","3,9995","418,89M","0,42%"
"19.03.2024","4,0660","4,0845","4,1355","4,0260","172,41M","-0,43%"
"18.03.2024","4,0835","4,1105","4,1320","4,0750","71,02M","-0,35%"
"15.03.2024","4,0980","4,1065","4,1300","4,0880","71,18M","-0,22%"
"14.03.2024","4,1070","4,0985","4,1100","4,0730","82,95M","0,23%"
"13.03.2024","4,0975","4,1190","4,1250","4,0810","68,63M","-0,28%"
"12.03.2024","4,1090","4,0690","4,1200","4,0355","123,76M","1,26%"
"11.03.2024","4,0580","4,0870","4,0875","4,0410","58,74M","-0,17%"
"07.03.2024","4,0650","4,0745","4,1000","4,0505","44,21M","-0,12%"
"06.03.2024","4,0700","4,0750","4,1175","4,0405","127,81M","0,02%"
"05.03.2024","4,0690","4,0545","4,0770","4,0310","59,18M","0,47%"
"04.03.2024","4,0500","4,0600","4,0675","4,0295","74,44M","0,20%"
"01.03.2024","4,0420","4,0760","4,0930","4,0390","83,42M","-0,83%"
"29.02.2024","4,0760","3,9935","4,0965","3,9915","169,41M","2,07%"
"28.02.2024","3,9935","3,9975","4,0200","3,9860","57,75M","0,00%"
"27.02.2024","3,9935","4,0500","4,0500","3,9800","112,03M","-1,27%"
"26.02.2024","4,0450","4,0190","4,0500","4,0020","60,53M","1,23%"
"22.02.2024","3,9960","3,9750","4,0040","3,9750","36,34M","0,64%"
"21.02.2024","3,9705","3,9640","4,0070","3,9450","81,69M","0,18%"
"20.02.2024","3,9635","4,0470","4,0485","3,9500","111,05M","-2,10%"
"19.02.2024","4,0485","4,0550","4,0665","4,0220","77,19M","-0,31%"
"16.02.2024","4,0610","4,0800","4,0875","4,0500","72,21M","-0,29%"
"15.02.2024","4,0730","4,0780","4,0870","4,0545","62,50M","-0,11%"
"14.02.2024","4,0775","4,0850","4,0920","4,0705","32,44M","-0,04%"
"13.02.2024","4,0790","4,0995","4,1060","4,0690","50,29M","-0,24%"
"12.02.2024","4,0890","4,0875","4,0965","4,0620","51,18M","0,29%"
"09.02.2024","4,0770","4,0780","4,0900","4,0500","54,26M","-0,04%"
