,Year, Total
0,2001-01-01,18.58
1,2001-01-02,18.58
2,2001-01-03,18.58
3,2001-01-04,18.58
4,2001-01-05,18.58
5,2001-01-06,18.58
6,2001-01-07,18.58
7,2001-01-08,18.58
8,2001-01-09,18.58
9,2001-01-10,18.58
10,2001-01-11,18.58
11,2001-01-12,18.58
12,2001-01-13,18.58
13,2001-01-14,18.58
14,2001-01-15,18.58
15,2001-01-16,18.58
16,2001-01-17,18.58
17,2001-01-18,18.58
18,2001-01-19,18.58
19,2001-01-20,18.58
20,2001-01-21,18.58
21,2001-01-22,18.58
22,2001-01-23,18.58
23,2001-01-24,18.58
24,2001-01-25,18.58
25,2001-01-26,18.58
26,2001-01-27,18.58
27,2001-01-28,18.58
28,2001-01-29,18.58
29,2001-01-30,18.58
30,2001-01-31,18.58
31,2001-02-01,18.58
32,2001-02-02,18.58
33,2001-02-03,18.58
34,2001-02-04,18.58
35,2001-02-05,18.58
36,2001-02-06,18.58
37,2001-02-07,18.58
38,2001-02-08,18.58
39,2001-02-09,18.58
40,2001-02-10,18.58
41,2001-02-11,18.58
42,2001-02-12,18.58
43,2001-02-13,18.58
44,2001-02-14,18.58
45,2001-02-15,18.58
46,2001-02-16,18.58
47,2001-02-17,18.58
48,2001-02-18,18.58
49,2001-02-19,18.58
50,2001-02-20,18.58
51,2001-02-21,18.58
52,2001-02-22,18.58
53,2001-02-23,18.58
54,2001-02-24,18.58
55,2001-02-25,18.58
56,2001-02-26,18.58
57,2001-02-27,18.58
58,2001-02-28,18.58
59,2001-03-01,18.58
60,2001-03-02,18.58
61,2001-03-03,18.58
62,2001-03-04,18.58
63,2001-03-05,18.58
64,2001-03-06,18.58
65,2001-03-07,18.58
66,2001-03-08,18.58
67,2001-03-09,18.58
68,2001-03-10,18.58
69,2001-03-11,18.58
70,2001-03-12,18.58
71,2001-03-13,18.58
72,2001-03-14,18.58
73,2001-03-15,18.58
74,2001-03-16,18.58
75,2001-03-17,18.58
76,2001-03-18,18.58
77,2001-03-19,18.58
78,2001-03-20,18.58
79,2001-03-21,18.58
80,2001-03-22,18.58
81,2001-03-23,18.58
82,2001-03-24,18.58
83,2001-03-25,18.58
84,2001-03-26,18.58
85,2001-03-27,18.58
86,2001-03-28,18.58
87,2001-03-29,18.58
88,2001-03-30,18.58
89,2001-03-31,18.58
90,2001-04-01,18.58
91,2001-04-02,18.58
92,2001-04-03,18.58
93,2001-04-04,18.58
94,2001-04-05,18.58
95,2001-04-06,18.58
96,2001-04-07,18.58
97,2001-04-08,18.58
98,2001-04-09,18.58
99,2001-04-10,18.58
100,2001-04-11,18.58
101,2001-04-12,18.58
102,2001-04-13,18.58
103,2001-04-14,18.58
104,2001-04-15,18.58
105,2001-04-16,18.58
106,2001-04-17,18.58
107,2001-04-18,18.58
108,2001-04-19,18.58
109,2001-04-20,18.58
110,2001-04-21,18.58
111,2001-04-22,18.58
112,2001-04-23,18.58
113,2001-04-24,18.58
114,2001-04-25,18.58
115,2001-04-26,18.58
116,2001-04-27,18.58
117,2001-04-28,18.58
118,2001-04-29,18.58
119,2001-04-30,18.58
120,2001-05-01,18.58
121,2001-05-02,18.58
122,2001-05-03,18.58
123,2001-05-04,18.58
124,2001-05-05,18.58
125,2001-05-06,18.58
126,2001-05-07,18.58
127,2001-05-08,18.58
128,2001-05-09,18.58
129,2001-05-10,18.58
130,2001-05-11,18.58
131,2001-05-12,18.58
132,2001-05-13,18.58
133,2001-05-14,18.58
134,2001-05-15,18.58
135,2001-05-16,18.58
136,2001-05-17,18.58
137,2001-05-18,18.58
138,2001-05-19,18.58
139,2001-05-20,18.58
140,2001-05-21,18.58
141,2001-05-22,18.58
142,2001-05-23,18.58
143,2001-05-24,18.58
144,2001-05-25,18.58
145,2001-05-26,18.58
146,2001-05-27,18.58
147,2001-05-28,18.58
148,2001-05-29,18.58
149,2001-05-30,18.58
150,2001-05-31,18.58
151,2001-06-01,18.58
152,2001-06-02,18.58
153,2001-06-03,18.58
154,2001-06-04,18.58
155,2001-06-05,18.58
156,2001-06-06,18.58
157,2001-06-07,18.58
158,2001-06-08,18.58
159,2001-06-09,18.58
160,2001-06-10,18.58
161,2001-06-11,18.58
162,2001-06-12,18.58
163,2001-06-13,18.58
164,2001-06-14,18.58
165,2001-06-15,18.58
166,2001-06-16,18.58
167,2001-06-17,18.58
168,2001-06-18,18.58
169,2001-06-19,18.58
170,2001-06-20,18.58
171,2001-06-21,18.58
172,2001-06-22,18.58
173,2001-06-23,18.58
174,2001-06-24,18.58
175,2001-06-25,18.58
176,2001-06-26,18.58
177,2001-06-27,18.58
178,2001-06-28,18.58
179,2001-06-29,18.58
180,2001-06-30,18.58
181,2001-07-01,18.58
182,2001-07-02,18.58
183,2001-07-03,18.58
184,2001-07-04,18.58
185,2001-07-05,18.58
186,2001-07-06,18.58
187,2001-07-07,18.58
188,2001-07-08,18.58
189,2001-07-09,18.58
190,2001-07-10,18.58
191,2001-07-11,18.58
192,2001-07-12,18.58
193,2001-07-13,18.58
194,2001-07-14,18.58
195,2001-07-15,18.58
196,2001-07-16,18.58
197,2001-07-17,18.58
198,2001-07-18,18.58
