,date,stavka
0,1992-01-01,20.0
1,1992-01-02,20.0
2,1992-01-03,20.0
3,1992-01-04,20.0
4,1992-01-05,20.0
5,1992-01-06,20.0
6,1992-01-07,20.0
7,1992-01-08,20.0
8,1992-01-09,20.0
9,1992-01-10,20.0
10,1992-01-11,20.0
11,1992-01-12,20.0
12,1992-01-13,20.0
13,1992-01-14,20.0
14,1992-01-15,20.0
15,1992-01-16,20.0
16,1992-01-17,20.0
17,1992-01-18,20.0
18,1992-01-19,20.0
19,1992-01-20,20.0
20,1992-01-21,20.0
21,1992-01-22,20.0
22,1992-01-23,20.0
23,1992-01-24,20.0
24,1992-01-25,20.0
25,1992-01-26,20.0
26,1992-01-27,20.0
27,1992-01-28,20.0
28,1992-01-29,20.0
29,1992-01-30,20.0
30,1992-01-31,20.0
31,1992-02-01,20.0
32,1992-02-02,20.0
33,1992-02-03,20.0
34,1992-02-04,20.0
35,1992-02-05,20.0
36,1992-02-06,20.0
37,1992-02-07,20.0
38,1992-02-08,20.0
39,1992-02-09,20.0
40,1992-02-10,20.0
41,1992-02-11,20.0
42,1992-02-12,20.0
43,1992-02-13,20.0
44,1992-02-14,20.0
45,1992-02-15,20.0
46,1992-02-16,20.0
47,1992-02-17,20.0
48,1992-02-18,20.0
49,1992-02-19,20.0
50,1992-02-20,20.0
51,1992-02-21,20.0
52,1992-02-22,20.0
53,1992-02-23,20.0
54,1992-02-24,20.0
55,1992-02-25,20.0
56,1992-02-26,20.0
57,1992-02-27,20.0
58,1992-02-28,20.0
59,1992-02-29,20.0
60,1992-03-01,20.0
61,1992-03-02,20.0
62,1992-03-03,20.0
63,1992-03-04,20.0
64,1992-03-05,20.0
65,1992-03-06,20.0
66,1992-03-07,20.0
67,1992-03-08,20.0
68,1992-03-09,20.0
69,1992-03-10,20.0
70,1992-03-11,20.0
71,1992-03-12,20.0
72,1992-03-13,20.0
73,1992-03-14,20.0
74,1992-03-15,20.0
75,1992-03-16,20.0
76,1992-03-17,20.0
77,1992-03-18,20.0
78,1992-03-19,20.0
79,1992-03-20,20.0
80,1992-03-21,20.0
81,1992-03-22,20.0
82,1992-03-23,20.0
83,1992-03-24,20.0
84,1992-03-25,20.0
85,1992-03-26,20.0
86,1992-03-27,20.0
87,1992-03-28,20.0
88,1992-03-29,20.0
89,1992-03-30,20.0
90,1992-03-31,20.0
91,1992-04-01,20.0
92,1992-04-02,20.0
93,1992-04-03,20.0
94,1992-04-04,20.0
95,1992-04-05,20.0
96,1992-04-06,20.0
97,1992-04-07,20.0
98,1992-04-08,20.0
99,1992-04-09,20.0
100,1992-04-10,50.0
101,1992-04-11,50.0
102,1992-04-12,50.0
103,1992-04-13,50.0
104,1992-04-14,50.0
105,1992-04-15,50.0
106,1992-04-16,50.0
107,1992-04-17,50.0
108,1992-04-18,50.0
109,1992-04-19,50.0
110,1992-04-20,50.0
111,1992-04-21,50.0
112,1992-04-22,50.0
113,1992-04-23,50.0
114,1992-04-24,50.0
115,1992-04-25,50.0
116,1992-04-26,50.0
117,1992-04-27,50.0
118,1992-04-28,50.0
119,1992-04-29,50.0
120,1992-04-30,50.0
121,1992-05-01,50.0
122,1992-05-02,50.0
123,1992-05-03,50.0
124,1992-05-04,50.0
125,1992-05-05,50.0
126,1992-05-06,50.0
127,1992-05-07,50.0
128,1992-05-08,50.0
129,1992-05-09,50.0
130,1992-05-10,50.0
131,1992-05-11,50.0
132,1992-05-12,50.0
133,1992-05-13,50.0
134,1992-05-14,50.0
135,1992-05-15,50.0
136,1992-05-16,50.0
137,1992-05-17,50.0
138,1992-05-18,50.0
139,1992-05-19,50.0
140,1992-05-20,50.0
141,1992-05-21,50.0
142,1992-05-22,50.0
143,1992-05-23,80.0
144,1992-05-24,80.0
145,1992-05-25,80.0
146,1992-05-26,80.0
147,1992-05-27,80.0
148,1992-05-28,80.0
149,1992-05-29,80.0
150,1992-05-30,80.0
151,1992-05-31,80.0
152,1992-06-01,80.0
153,1992-06-02,80.0
154,1992-06-03,80.0
155,1992-06-04,80.0
156,1992-06-05,80.0
157,1992-06-06,80.0
158,1992-06-07,80.0
159,1992-06-08,80.0
160,1992-06-09,80.0
