,Date,Price,Open,Max,Min,Change 
0,2001-09-14,29.473,29.35,29.48,29.35,0.0
1,2001-09-15,29.473,29.35,29.48,29.35,0.0
2,2001-09-16,29.473,29.35,29.48,29.35,0.0
3,2001-09-17,29.461,29.46,29.473,29.44,-0.04
4,2001-09-18,29.46,29.445,29.475,29.44,0.0
5,2001-09-19,29.453,29.46,29.481,29.43,-0.02
6,2001-09-20,29.43,29.455,29.476,29.403,-0.08
7,2001-09-21,29.424,29.434,29.452,29.4,-0.02
8,2001-09-22,29.424,29.434,29.452,29.4,-0.02
9,2001-09-23,29.424,29.434,29.452,29.4,-0.02
10,2001-09-24,29.441,29.41,29.453,29.406,0.06
11,2001-09-25,29.436,29.415,29.459,29.412,-0.02
12,2001-09-26,29.416,29.43,29.44,29.392,-0.07
13,2001-09-27,29.451,29.415,29.477,29.398,0.12
14,2001-09-28,29.462,29.442,29.475,29.427,0.04
15,2001-09-29,29.462,29.442,29.475,29.427,0.04
16,2001-09-30,29.462,29.442,29.475,29.427,0.04
17,2001-10-01,29.454,29.47,29.487,29.441,-0.03
18,2001-10-02,29.481,29.44,29.493,29.4,0.09
19,2001-10-03,29.503,29.476,29.512,29.45,0.07
20,2001-10-04,29.526,29.48,29.54,29.455,0.08
21,2001-10-05,29.514,29.52,29.55,29.455,-0.04
22,2001-10-06,29.514,29.52,29.55,29.455,-0.04
23,2001-10-07,29.514,29.52,29.55,29.455,-0.04
24,2001-10-08,29.493,29.52,29.53,29.483,-0.07
25,2001-10-09,29.525,29.51,29.545,29.455,0.11
26,2001-10-10,29.538,29.53,29.55,29.455,0.04
27,2001-10-11,29.543,29.543,29.56,29.455,0.02
28,2001-10-12,29.53,29.53,29.545,29.455,-0.04
29,2001-10-13,29.53,29.53,29.545,29.455,-0.04
30,2001-10-14,29.53,29.53,29.545,29.455,-0.04
31,2001-10-15,29.523,29.52,29.54,29.498,-0.02
32,2001-10-16,29.542,29.517,29.555,29.505,0.06
33,2001-10-17,29.566,29.55,29.57,29.524,0.08
34,2001-10-18,29.559,29.556,29.58,29.529,-0.02
35,2001-10-19,29.557,29.55,29.575,29.537,-0.01
36,2001-10-20,29.557,29.55,29.575,29.537,-0.01
37,2001-10-21,29.557,29.55,29.575,29.537,-0.01
38,2001-10-22,29.569,29.55,29.577,29.55,0.04
39,2001-10-23,29.574,29.48,29.588,29.48,0.02
40,2001-10-24,29.586,29.56,29.596,29.56,0.04
41,2001-10-25,29.632,29.587,29.64,29.559,0.16
42,2001-10-26,29.717,29.629,29.723,29.556,0.29
43,2001-10-27,29.717,29.629,29.723,29.556,0.29
44,2001-10-28,29.717,29.629,29.723,29.556,0.29
45,2001-10-29,29.705,29.715,29.727,29.46,-0.04
46,2001-10-30,29.701,29.7,29.732,29.664,-0.01
47,2001-10-31,29.728,29.688,29.735,29.46,0.09
48,2001-11-01,29.764,29.73,29.79,29.704,0.12
49,2001-11-02,29.755,29.765,29.775,29.46,-0.03
50,2001-11-03,29.755,29.765,29.775,29.46,-0.03
51,2001-11-04,29.755,29.765,29.775,29.46,-0.03
52,2001-11-05,29.715,29.755,29.783,29.46,-0.13
53,2001-11-06,29.738,29.745,29.77,29.48,0.08
54,2001-11-07,29.747,29.742,29.75,29.74,0.03
55,2001-11-08,29.712,29.778,29.797,29.67,-0.12
56,2001-11-09,29.73,29.74,29.782,29.67,0.06
57,2001-11-10,29.73,29.74,29.782,29.67,0.06
58,2001-11-11,29.73,29.74,29.782,29.67,0.06
59,2001-11-12,29.73,29.74,29.761,29.72,0.0
60,2001-11-13,29.73,29.743,29.765,29.72,0.0
61,2001-11-14,29.765,29.745,29.782,29.72,0.12
62,2001-11-15,29.81,29.76,29.842,29.739,0.15
63,2001-11-16,29.837,29.8,29.859,29.736,0.09
64,2001-11-17,29.837,29.8,29.859,29.736,0.09
65,2001-11-18,29.837,29.8,29.859,29.736,0.09
66,2001-11-19,29.837,29.84,29.91,29.81,0.0
67,2001-11-20,29.939,29.827,29.967,29.81,0.34
68,2001-11-21,29.972,29.827,29.99,29.67,0.11
69,2001-11-22,29.96,29.97,29.975,29.904,-0.04
70,2001-11-23,29.945,29.956,29.965,29.898,-0.05
71,2001-11-24,29.945,29.956,29.965,29.898,-0.05
72,2001-11-25,29.945,29.956,29.965,29.898,-0.05
73,2001-11-26,29.945,29.953,29.963,29.937,0.0
74,2001-11-27,29.945,29.937,29.963,29.937,0.0
75,2001-11-28,29.945,29.937,29.983,29.92,0.0
76,2001-11-29,29.945,29.937,30.028,29.92,0.0
77,2001-11-30,29.94,29.937,29.98,29.93,-0.02
78,2001-12-01,29.94,29.937,29.98,29.93,-0.02
79,2001-12-02,29.94,29.937,29.98,29.93,-0.02
80,2001-12-03,29.955,29.953,29.975,29.94,0.05
81,2001-12-04,29.956,29.953,29.967,29.93,0.0
82,2001-12-05,29.947,29.951,29.962,29.94,-0.03
83,2001-12-06,29.94,29.94,29.984,29.93,-0.02
84,2001-12-07,30.075,29.953,30.098,29.93,0.45
85,2001-12-08,30.075,29.953,30.098,29.93,0.45
86,2001-12-09,30.075,29.953,30.098,29.93,0.45
87,2001-12-10,30.075,30.09,30.125,30.06,0.0
88,2001-12-11,30.075,30.104,30.12,30.06,0.0
89,2001-12-12,30.108,30.06,30.108,30.06,0.11
90,2001-12-13,30.335,30.06,30.367,29.739,0.75
91,2001-12-14,30.335,30.33,30.385,30.3,0.0
92,2001-12-15,30.335,30.33,30.385,30.3,0.0
93,2001-12-16,30.335,30.33,30.385,30.3,0.0
94,2001-12-17,30.425,30.35,30.47,30.33,0.3
95,2001-12-18,30.335,30.33,30.446,30.29,-0.3
96,2001-12-19,30.335,30.33,30.353,30.28,0.0
97,2001-12-20,30.335,30.33,30.362,30.245,0.0
98,2001-12-21,30.195,30.33,30.345,30.14,-0.46
99,2001-12-22,30.195,30.33,30.345,30.14,-0.46
100,2001-12-23,30.195,30.33,30.345,30.14,-0.46
101,2001-12-24,30.195,30.212,30.268,30.12,0.0
102,2001-12-25,30.15,30.116,30.19,30.116,-0.15
103,2001-12-26,30.195,30.181,30.307,30.13,0.15
104,2001-12-27,30.195,30.364,30.47,30.134,0.0
105,2001-12-28,30.495,30.18,30.525,30.18,0.99
106,2001-12-29,30.495,30.18,30.525,30.18,0.99
107,2001-12-30,30.495,30.18,30.525,30.18,0.99
108,2001-12-31,30.495,30.47,30.495,30.47,0.0
109,2002-01-01,30.495,30.47,30.495,30.47,0.0
110,2002-01-02,30.495,30.47,30.495,30.47,0.0
111,2002-01-03,30.615,30.581,30.639,30.178,0.39
112,2002-01-04,30.535,30.622,30.645,30.48,-0.26
113,2002-01-05,30.535,30.622,30.645,30.48,-0.26
114,2002-01-06,30.535,30.622,30.645,30.48,-0.26
115,2002-01-07,30.535,30.54,30.565,30.52,0.0
116,2002-01-08,30.622,30.52,30.623,30.52,0.28
117,2002-01-09,30.55,30.612,30.625,30.52,-0.24
118,2002-01-10,30.542,30.54,30.604,30.47,-0.03
119,2002-01-11,30.482,30.532,30.537,30.4,-0.2
120,2002-01-12,30.482,30.532,30.537,30.4,-0.2
121,2002-01-13,30.482,30.532,30.537,30.4,-0.2
122,2002-01-14,30.475,30.44,30.495,30.435,-0.02
123,2002-01-15,30.545,30.47,30.553,30.47,0.23
124,2002-01-16,30.52,30.54,30.547,30.44,-0.08
125,2002-01-17,30.585,30.515,30.621,30.515,0.21
126,2002-01-18,30.585,30.58,30.619,30.58,0.0
127,2002-01-19,30.585,30.58,30.619,30.58,0.0
128,2002-01-20,30.585,30.58,30.619,30.58,0.0
129,2002-01-21,30.617,30.595,30.627,30.58,0.1
130,2002-01-22,30.595,30.605,30.615,30.57,-0.07
131,2002-01-23,30.58,30.57,30.617,30.55,-0.05
132,2002-01-24,30.617,30.6,30.656,30.57,0.12
133,2002-01-25,30.617,30.612,30.68,30.612,0.0
134,2002-01-26,30.617,30.612,30.68,30.612,0.0
135,2002-01-27,30.617,30.612,30.68,30.612,0.0
136,2002-01-28,30.617,30.68,30.701,30.57,0.0
137,2002-01-29,30.67,30.612,30.689,30.56,0.17
138,2002-01-30,30.71,30.665,30.726,30.665,0.13
139,2002-01-31,30.71,30.7,30.747,30.69,0.0
140,2002-02-01,30.74,30.7,30.746,30.7,0.1
141,2002-02-02,30.74,30.7,30.746,30.7,0.1
142,2002-02-03,30.74,30.7,30.746,30.7,0.1
143,2002-02-04,30.74,30.729,30.765,30.725,0.0
144,2002-02-05,30.752,30.735,30.765,30.735,0.04
145,2002-02-06,30.752,30.747,30.77,30.746,0.0
146,2002-02-07,30.752,30.747,30.777,30.745,0.0
147,2002-02-08,30.752,30.747,30.835,30.747,0.0
148,2002-02-09,30.752,30.747,30.835,30.747,0.0
149,2002-02-10,30.752,30.747,30.835,30.747,0.0
150,2002-02-11,30.752,30.823,30.855,30.747,0.0
151,2002-02-12,30.877,30.747,30.887,30.747,0.41
152,2002-02-13,30.877,30.872,30.885,30.84,0.0
153,2002-02-14,30.877,30.859,30.905,30.82,0.0
154,2002-02-15,30.877,30.872,30.911,30.872,0.0
155,2002-02-16,30.877,30.872,30.911,30.872,0.0
156,2002-02-17,30.877,30.872,30.911,30.872,0.0
157,2002-02-18,30.895,30.889,30.9,30.872,0.06
158,2002-02-19,30.877,30.88,30.93,30.872,-0.06
159,2002-02-20,30.877,30.872,30.929,30.872,0.0
160,2002-02-21,30.877,30.872,30.948,30.872,0.0
161,2002-02-22,30.953,30.872,30.967,30.872,0.25
162,2002-02-23,30.953,30.872,30.967,30.872,0.25
163,2002-02-24,30.953,30.872,30.967,30.872,0.25
164,2002-02-25,30.957,30.951,30.959,30.948,0.01
165,2002-02-26,30.942,30.952,30.974,30.92,-0.05
166,2002-02-27,30.962,30.937,30.98,30.92,0.06
167,2002-02-28,30.962,30.957,31.02,30.957,0.0
168,2002-03-01,31.027,30.957,31.039,30.957,0.21
169,2002-03-02,31.027,30.957,31.039,30.957,0.21
170,2002-03-03,31.027,30.957,31.039,30.957,0.21
171,2002-03-04,31.027,31.01,31.04,31.005,0.0
172,2002-03-05,31.027,31.022,31.033,31.009,0.0
173,2002-03-06,31.057,31.022,31.064,31.01,0.1
174,2002-03-07,31.027,31.022,31.086,31.022,-0.1
175,2002-03-08,31.027,31.022,31.07,31.022,0.0
176,2002-03-09,31.027,31.022,31.07,31.022,0.0
177,2002-03-10,31.027,31.022,31.07,31.022,0.0
178,2002-03-11,31.1,31.07,31.1,30.92,0.24
179,2002-03-12,31.1,31.095,31.115,31.075,0.0
180,2002-03-13,31.102,31.095,31.104,31.076,0.01
181,2002-03-14,31.124,31.097,31.139,31.04,0.07
182,2002-03-15,31.102,31.097,31.135,31.07,-0.07
183,2002-03-16,31.102,31.097,31.135,31.07,-0.07
184,2002-03-17,31.102,31.097,31.135,31.07,-0.07
185,2002-03-18,31.102,31.094,31.176,31.025,0.0
186,2002-03-19,31.174,31.097,31.195,31.097,0.23
187,2002-03-20,31.177,31.097,31.198,31.097,0.01
188,2002-03-21,31.182,31.172,31.199,31.146,0.02
189,2002-03-22,31.182,31.177,31.192,31.13,0.0
190,2002-03-23,31.182,31.177,31.192,31.13,0.0
191,2002-03-24,31.182,31.177,31.192,31.13,0.0
192,2002-03-25,31.158,31.167,31.193,31.14,-0.08
193,2002-03-26,31.155,31.152,31.18,31.13,-0.01
194,2002-03-27,31.12,31.152,31.171,31.093,-0.11
195,2002-03-28,31.12,31.115,31.185,31.107,0.0
196,2002-03-29,31.212,31.115,31.225,31.115,0.3
197,2002-03-30,31.212,31.115,31.225,31.115,0.3
198,2002-03-31,31.212,31.115,31.225,31.115,0.3
199,2002-04-01,31.195,31.23,31.255,31.186,-0.05
200,2002-04-02,31.195,31.19,31.201,31.16,0.0
201,2002-04-03,31.21,31.19,31.229,31.19,0.05
202,2002-04-04,31.21,31.205,31.231,31.205,0.0
203,2002-04-05,31.21,31.205,31.233,31.205,0.0
204,2002-04-06,31.21,31.205,31.233,31.205,0.0
205,2002-04-07,31.21,31.205,31.233,31.205,0.0
206,2002-04-08,31.22,31.221,31.236,31.2,0.03
207,2002-04-09,31.205,31.203,31.225,31.194,-0.05
208,2002-04-10,31.216,31.202,31.23,31.17,0.04
209,2002-04-11,31.218,31.23,31.25,31.21,0.01
210,2002-04-12,31.22,31.218,31.228,31.2,0.01
211,2002-04-13,31.22,31.218,31.228,31.2,0.01
212,2002-04-14,31.22,31.218,31.228,31.2,0.01
213,2002-04-15,31.181,31.204,31.22,31.174,-0.12
214,2002-04-16,31.195,31.185,31.195,31.149,0.04
215,2002-04-17,31.186,31.171,31.195,31.159,-0.03
216,2002-04-18,31.183,31.201,31.216,31.178,-0.01
217,2002-04-19,31.183,31.203,31.215,31.171,0.0
218,2002-04-20,31.183,31.203,31.215,31.171,0.0
219,2002-04-21,31.183,31.203,31.215,31.171,0.0
220,2002-04-22,31.183,31.19,31.196,31.165,0.0
221,2002-04-23,31.175,31.181,31.187,31.161,-0.03
222,2002-04-24,31.185,31.171,31.191,31.158,0.03
223,2002-04-25,31.22,31.17,31.227,31.168,0.11
224,2002-04-26,31.195,31.21,31.245,31.19,-0.08
225,2002-04-27,31.195,31.21,31.245,31.19,-0.08
226,2002-04-28,31.195,31.21,31.245,31.19,-0.08
227,2002-04-29,31.217,31.236,31.275,31.194,0.07
228,2002-04-30,31.24,31.26,31.27,31.212,0.07
229,2002-05-01,31.24,31.235,31.24,31.235,0.0
230,2002-05-02,31.24,31.235,31.24,31.23,0.0
231,2002-05-03,31.24,31.235,31.24,31.23,0.0
232,2002-05-04,31.24,31.235,31.24,31.23,0.0
233,2002-05-05,31.24,31.235,31.24,31.23,0.0
234,2002-05-06,31.24,31.23,31.248,31.2,0.0
235,2002-05-07,31.24,31.24,31.26,31.209,0.0
236,2002-05-08,31.24,31.238,31.26,31.23,0.0
237,2002-05-09,31.24,31.251,31.258,31.235,0.0
238,2002-05-10,31.24,31.235,31.24,31.235,0.0
239,2002-05-11,31.24,31.235,31.24,31.235,0.0
240,2002-05-12,31.24,31.235,31.24,31.235,0.0
241,2002-05-13,31.25,31.258,31.277,31.235,0.03
242,2002-05-14,31.267,31.245,31.275,31.235,0.05
243,2002-05-15,31.267,31.263,31.28,31.25,0.0
244,2002-05-16,31.285,31.26,31.288,31.259,0.06
245,2002-05-17,31.285,31.28,31.29,31.25,0.0
246,2002-05-18,31.285,31.28,31.29,31.25,0.0
247,2002-05-19,31.285,31.28,31.29,31.25,0.0
248,2002-05-20,31.273,31.267,31.285,31.259,-0.04
249,2002-05-21,31.273,31.267,31.275,31.26,0.0
250,2002-05-22,31.275,31.265,31.281,31.231,0.01
