,year,vvp
0,2001-01-01,328.5
1,2001-01-02,328.5
2,2001-01-03,328.5
3,2001-01-04,328.5
4,2001-01-05,328.5
5,2001-01-06,328.5
6,2001-01-07,328.5
7,2001-01-08,328.5
8,2001-01-09,328.5
9,2001-01-10,328.5
10,2001-01-11,328.5
11,2001-01-12,328.5
12,2001-01-13,328.5
13,2001-01-14,328.5
14,2001-01-15,328.5
15,2001-01-16,328.5
16,2001-01-17,328.5
17,2001-01-18,328.5
18,2001-01-19,328.5
19,2001-01-20,328.5
20,2001-01-21,328.5
21,2001-01-22,328.5
22,2001-01-23,328.5
23,2001-01-24,328.5
24,2001-01-25,328.5
25,2001-01-26,328.5
26,2001-01-27,328.5
27,2001-01-28,328.5
28,2001-01-29,328.5
29,2001-01-30,328.5
30,2001-01-31,328.5
31,2001-02-01,328.5
32,2001-02-02,328.5
33,2001-02-03,328.5
34,2001-02-04,328.5
35,2001-02-05,328.5
36,2001-02-06,328.5
37,2001-02-07,328.5
38,2001-02-08,328.5
39,2001-02-09,328.5
40,2001-02-10,328.5
41,2001-02-11,328.5
42,2001-02-12,328.5
43,2001-02-13,328.5
44,2001-02-14,328.5
45,2001-02-15,328.5
46,2001-02-16,328.5
47,2001-02-17,328.5
48,2001-02-18,328.5
49,2001-02-19,328.5
50,2001-02-20,328.5
51,2001-02-21,328.5
52,2001-02-22,328.5
53,2001-02-23,328.5
54,2001-02-24,328.5
55,2001-02-25,328.5
56,2001-02-26,328.5
57,2001-02-27,328.5
58,2001-02-28,328.5
59,2001-03-01,328.5
60,2001-03-02,328.5
61,2001-03-03,328.5
62,2001-03-04,328.5
63,2001-03-05,328.5
64,2001-03-06,328.5
65,2001-03-07,328.5
66,2001-03-08,328.5
67,2001-03-09,328.5
68,2001-03-10,328.5
69,2001-03-11,328.5
70,2001-03-12,328.5
71,2001-03-13,328.5
72,2001-03-14,328.5
73,2001-03-15,328.5
74,2001-03-16,328.5
75,2001-03-17,328.5
76,2001-03-18,328.5
77,2001-03-19,328.5
78,2001-03-20,328.5
79,2001-03-21,328.5
80,2001-03-22,328.5
81,2001-03-23,328.5
82,2001-03-24,328.5
83,2001-03-25,328.5
84,2001-03-26,328.5
85,2001-03-27,328.5
86,2001-03-28,328.5
87,2001-03-29,328.5
88,2001-03-30,328.5
89,2001-03-31,328.5
90,2001-04-01,328.5
91,2001-04-02,328.5
92,2001-04-03,328.5
93,2001-04-04,328.5
94,2001-04-05,328.5
95,2001-04-06,328.5
