,price_per_square,squares,free,current_floor,max_floor,latitude,longitude,Devyatkino,Grazhdanskii prospekt,Akademicheskaya,Politekhnicheskaya,Ploshchad Muzhestva,Lesnaia,Vyborgskaia,Ploshchad Lenina,Chernyshevskaia,Ploshchad Vosstaniia,Vladimirskaia,Pushkinskaia,Tekhnologicheskii institut-2,Baltiiskaia,Narvskaia,Kirovskii zavod,Avtovo,Leninskii prospekt,Prospekt Veteranov,Parnas,Prospekt Prosviashcheniia,Ozerki,Udelnaia,Pionerskaia,Chernaia Rechka,Petropavlovskaia,Gorkovskaia,Nevskii prospekt,Sennaia ploshchad,Tekhnologicheskii institut-1,Frunzenskaia,Moskovskie vorota,Elektrosila,Park Pobedy,Moskovskaia,Zvezdnaia,Kupchino,Spasskaia,Dostoevskaia,Ligovskii prospekt,Ploshchad Aleksandra Nevskogo-2,Novocherkasskaia,Ladozhskaia,Prospekt Bolshevikov,Ulitsa Dybenko,Komendantskii prospekt,Staraia Derevnia,Krestovskii ostrov,Chkalovskaia,Sportivnaia,Admiralteiskaia,Sadovaia,Zvenigorodskaia,Obvodnyi kanal,Volkovskaia,Bukharestskaia,Mezhdunarodnaia,Prospekt Slavy,Dunaia,Shushary,Begovaya,Zenit,Primorskaia,Vasileostrovskaia,Gostinii dvor,Maiakovskaia,Ploshchad Aleksandra Nevskogo-1,Elizarovskaia,Lomonosovskaia,Proletarskaia,Obukhovo,Rybackoe,metro_1km,metro_5km,metro_10km
0,311480.0,131.63,0,1,2,30.082621,59.724677,42.18,39.32,36.65,33.86,33.28,30.69,30.85,31.61,31.95,31.89,30.5,28.46,27.18,25.01,22.26,20.64,20.43,21.11,19.26,30.69,30.31,28.96,28.0,25.78,26.0,26.92,27.59,28.29,27.48,27.15,26.95,26.87,26.85,27.11,27.07,29.95,32.82,27.33,30.28,31.2,34.33,37.46,40.54,43.48,45.22,21.82,21.2,21.42,24.77,24.23,26.97,27.15,29.09,30.55,31.33,32.48,33.47,35.17,36.79,39.14,15.76,16.44,18.47,23.05,28.88,31.32,34.54,38.56,40.41,43.51,42.04,46.67,0,0,0
1,254997.0,145.1,0,1,5,30.316138,59.911854,16.08,13.22,10.44,7.97,7.29,4.91,4.63,4.99,5.17,5.05,3.66,1.62,0.38,1.84,4.6,6.22,6.49,6.07,7.84,8.2,7.37,6.39,5.29,4.98,4.04,2.79,2.26,1.73,0.92,0.35,0.33,1.02,1.68,2.39,3.12,5.52,7.91,0.83,3.44,4.37,7.51,10.64,13.73,16.75,18.6,7.9,7.71,6.91,3.6,3.62,1.22,0.78,2.24,3.73,4.75,6.12,7.37,9.31,11.25,13.96,13.07,11.9,9.22,4.47,2.17,4.47,7.71,12.0,14.1,17.35,16.16,21.02,6,33,56
2,353742.0,73.5,0,1,7,30.301127,59.912368,17.5,14.62,11.85,9.25,8.59,6.06,5.95,6.48,6.75,6.68,5.29,3.25,1.98,0.3,2.95,4.62,4.94,4.67,6.36,8.62,7.84,6.65,5.43,4.42,3.58,2.91,2.94,3.13,2.28,1.95,1.85,2.13,2.56,3.25,3.83,6.73,9.33,2.13,5.06,6.03,9.17,12.3,15.39,18.42,20.27,6.55,6.25,5.4,2.56,2.32,1.95,1.97,3.88,5.4,6.41,7.75,8.97,10.9,12.82,15.5,11.44,10.27,7.58,2.92,3.68,6.1,9.38,13.67,15.75,19.0,17.79,22.65,1,27,55
3,190000.0,33.9,0,1,9,30.449978,59.956836,5.93,5.97,6.88,9.32,9.61,11.86,11.45,10.49,10.04,10.05,11.45,13.49,14.77,16.93,19.69,21.31,21.55,20.99,22.83,14.36,14.12,14.96,15.32,17.24,16.66,15.41,14.58,13.7,14.49,14.79,15.01,15.13,15.25,15.15,15.39,13.3,11.23,14.64,11.67,10.75,7.67,4.61,1.94,3.01,4.9,21.48,21.73,21.19,17.55,17.98,15.05,14.82,12.86,11.42,10.81,9.94,9.42,8.58,8.39,8.75,27.55,26.48,23.95,19.11,13.1,10.63,7.46,4.74,5.08,6.3,6.92,9.97,0,5,21
4,166667.0,89.4,0,1,5,30.325543,59.926372,14.8,11.94,9.16,6.7,6.01,3.7,3.37,3.72,3.94,3.9,2.52,0.59,0.9,3.03,5.75,7.42,7.72,7.34,9.1,7.34,6.5,5.68,4.73,4.98,4.04,2.56,1.69,0.5,0.56,0.93,1.36,1.94,2.53,3.1,3.82,5.57,7.6,0.71,2.29,3.31,6.44,9.56,12.64,15.7,17.59,8.45,8.38,7.66,4.09,4.3,1.26,0.89,1.15,2.76,3.97,5.4,6.7,8.66,10.63,13.35,13.95,12.8,10.16,5.32,0.9,3.32,6.64,11.05,13.21,16.49,15.37,20.24,8,34,57
5,367200.0,95.82,0,1,7,30.268635,59.943372,20.18,17.31,14.62,11.84,11.26,8.67,8.85,9.7,10.15,10.24,8.88,6.93,5.72,3.86,2.07,2.98,3.55,4.23,4.9,9.45,8.85,7.45,6.3,4.18,4.1,4.89,5.62,6.53,5.83,5.7,5.72,6.01,6.37,6.99,7.43,10.51,13.2,5.68,8.64,9.69,12.8,15.9,18.98,22.06,23.96,3.16,2.56,1.64,2.74,2.21,5.18,5.5,7.53,9.13,10.24,11.62,12.86,14.8,16.72,19.4,7.58,6.43,3.79,1.07,7.15,9.66,13.0,17.43,19.57,22.83,21.66,26.52,0,16,46
6,357000.0,227.36,0,1,7,30.268635,59.943372,20.18,17.31,14.62,11.84,11.26,8.67,8.85,9.7,10.15,10.24,8.88,6.93,5.72,3.86,2.07,2.98,3.55,4.23,4.9,9.45,8.85,7.45,6.3,4.18,4.1,4.89,5.62,6.53,5.83,5.7,5.72,6.01,6.37,6.99,7.43,10.51,13.2,5.68,8.64,9.69,12.8,15.9,18.98,22.06,23.96,3.16,2.56,1.64,2.74,2.21,5.18,5.5,7.53,9.13,10.24,11.62,12.86,14.8,16.72,19.4,7.58,6.43,3.79,1.07,7.15,9.66,13.0,17.43,19.57,22.83,21.66,26.52,0,16,46
7,387600.0,57.61,0,1,7,30.268635,59.943372,20.18,17.31,14.62,11.84,11.26,8.67,8.85,9.7,10.15,10.24,8.88,6.93,5.72,3.86,2.07,2.98,3.55,4.23,4.9,9.45,8.85,7.45,6.3,4.18,4.1,4.89,5.62,6.53,5.83,5.7,5.72,6.01,6.37,6.99,7.43,10.51,13.2,5.68,8.64,9.69,12.8,15.9,18.98,22.06,23.96,3.16,2.56,1.64,2.74,2.21,5.18,5.5,7.53,9.13,10.24,11.62,12.86,14.8,16.72,19.4,7.58,6.43,3.79,1.07,7.15,9.66,13.0,17.43,19.57,22.83,21.66,26.52,0,16,46
8,387600.0,63.92,0,1,7,30.268635,59.943372,20.18,17.31,14.62,11.84,11.26,8.67,8.85,9.7,10.15,10.24,8.88,6.93,5.72,3.86,2.07,2.98,3.55,4.23,4.9,9.45,8.85,7.45,6.3,4.18,4.1,4.89,5.62,6.53,5.83,5.7,5.72,6.01,6.37,6.99,7.43,10.51,13.2,5.68,8.64,9.69,12.8,15.9,18.98,22.06,23.96,3.16,2.56,1.64,2.74,2.21,5.18,5.5,7.53,9.13,10.24,11.62,12.86,14.8,16.72,19.4,7.58,6.43,3.79,1.07,7.15,9.66,13.0,17.43,19.57,22.83,21.66,26.52,0,16,46
9,317646.0,57.91,0,1,9,30.404316,59.938175,8.03,5.97,4.46,5.5,5.47,7.16,6.6,5.51,4.95,4.88,6.27,8.31,9.58,11.75,14.51,16.12,16.35,15.79,17.62,10.59,10.13,10.66,10.75,12.46,11.79,10.43,9.56,8.57,9.33,9.61,9.81,9.93,10.05,9.98,10.26,8.49,7.02,9.49,6.5,5.55,2.47,0.97,3.89,7.03,9.0,16.63,16.79,16.19,12.53,12.91,9.92,9.66,7.68,6.22,5.66,4.97,4.81,4.88,5.87,7.8,22.56,21.46,18.88,14.02,7.96,5.46,2.27,3.3,5.56,8.62,8.1,12.65,1,11,47
