,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,population,mean_distr_pps,pub_trans_1km
0,311480.0,131.63,2.0,30.082621,59.724677,28.29,47.0,196596.0,431546,252564.08800000005,37.0
1,254997.0,145.1,5.0,30.316138,59.911854,1.73,55.0,318800.0,155981,249123.5042857144,76.0
2,353742.0,73.5,7.0,30.301127,59.912368,3.13,55.0,130418.0,155981,249123.5042857144,66.0
3,190000.0,33.9,9.0,30.449978,59.956836,13.7,15.0,92376.0,366971,234417.04901960783,13.0
4,166667.0,89.4,5.0,30.325543,59.926372,0.5,26.0,99886.0,200654,244764.85882352944,60.0
5,367200.0,95.82,7.0,30.268635,59.943372,6.53,33.0,209600.0,206680,261018.50256410256,51.0
6,387600.0,57.61,7.0,30.268635,59.943372,6.53,33.0,137920.0,206680,261018.50256410256,51.0
7,387600.0,63.92,7.0,30.268635,59.943372,6.53,33.0,217404.4,206680,261018.50256410256,51.0
8,317646.0,57.91,9.0,30.404316,59.938175,8.57,17.0,94800.0,366971,234417.04901960783,38.0
9,317645.0,66.27,9.0,30.404316,59.938175,8.57,17.0,156800.0,366971,234417.04901960783,38.0
10,317646.0,58.88,9.0,30.404316,59.938175,8.57,17.0,94800.0,366971,234417.04901960783,38.0
11,306897.0,82.24,9.0,30.404316,59.938175,8.57,17.0,189976.4,366971,234417.04901960783,38.0
12,343300.0,90.09,9.0,30.404316,59.938175,8.57,17.0,140660.0,366971,234417.04901960783,38.0
13,317646.0,54.59,9.0,30.404316,59.938175,8.57,17.0,84440.0,366971,234417.04901960783,38.0
14,332897.0,69.77,9.0,30.404316,59.938175,8.57,17.0,67052.0,366971,234417.04901960783,38.0
15,364357.0,78.22,9.0,30.404316,59.938175,8.57,17.0,157356.4,366971,234417.04901960783,38.0
16,255556.0,72.0,20.0,30.230537,60.035962,11.73,82.0,112829.4,699243,270866.037,42.0
17,304000.0,61.63,13.0,30.377394,60.017499,7.12,42.0,117436.0,536794,264184.3025,32.0
18,250000.0,68.79,13.0,30.377394,60.017499,7.12,42.0,119244.0,536794,264184.3025,32.0
19,246967.0,51.1,16.0,30.368563,59.885142,5.32,17.0,81000.0,413983,257039.7413333333,55.0
20,247500.0,45.2,16.0,30.368563,59.885142,5.32,17.0,74720.0,413983,257039.7413333333,55.0
21,171429.0,175.0,10.0,30.469974,59.911101,15.93,35.0,265175.8,547896,236967.59302325585,44.0
22,109295.0,73.7,23.0,30.360434,60.042779,6.79,51.0,136660.0,541590,234626.65405405403,75.0
23,109300.0,68.5,23.0,30.360434,60.042779,6.79,51.0,174800.0,541590,234626.65405405403,75.0
24,350000.0,60.0,25.0,30.199195,60.038573,14.97,9.0,128408.0,699243,270866.037,1.0
25,287500.0,20.0,1.0,30.37009,59.932811,4.76,57.0,55680.0,200654,244764.85882352944,41.0
26,254546.0,192.5,26.0,30.356625,59.839642,6.03,71.0,390246.0,335221,282621.4952380953,38.0
27,136364.0,4.4,1.0,30.342404,59.905357,2.3,77.0,47930.0,413983,257039.7413333333,46.0
28,134546.0,55.0,1.0,30.349627,59.932202,2.49,28.0,91000.0,200654,244764.85882352944,88.0
29,165000.0,145.8,9.0,30.157064,59.840438,19.34,87.0,260315.0,431546,252564.08800000005,44.0
30,128988.0,72.1,9.0,30.447813,59.95593,13.45,16.0,125519.0,366971,234417.04901960783,16.0
31,84877.0,64.8,1.0,30.472355,59.929687,16.14,39.0,181462.0,547896,236967.59302325585,47.0
32,325204.0,110.7,25.0,30.269021,60.057774,8.79,34.0,144940.0,699243,270866.037,9.0
33,89091.0,55.0,1.0,30.386727,59.947041,6.64,27.0,89000.0,200654,244764.85882352944,40.0
34,143917.0,67.4,5.0,30.302663,59.968633,3.21,40.0,264404.4,115757,266189.33541666664,80.0
35,234542.0,37.52,14.0,30.372291,59.831173,7.51,26.0,95120.0,335221,282621.4952380953,29.0
36,246053.0,76.0,2.0,30.363075,60.052483,7.4,42.0,87473.0,541590,234626.65405405403,58.0
37,313721.0,43.0,5.0,30.348297,59.945544,2.4,23.0,40801.0,200654,244764.85882352944,80.0
38,180018.0,116.1,14.0,30.361844,59.809202,7.74,24.0,342054.0,263732,214227.69361702123,9.0
39,77028.0,37.0,1.0,30.375516,59.936282,5.36,50.0,77370.0,200654,244764.85882352944,61.0
40,358572.0,70.0,25.0,30.21558,59.984278,12.62,101.0,86020.0,699243,270866.037,32.0
41,250000.0,60.0,5.0,30.379343,59.857418,7.16,90.0,104400.0,413983,257039.7413333333,50.0
42,134365.0,122.8,1.0,30.325211,59.91784,0.93,38.0,127614.0,155981,249123.5042857144,64.0
43,250000.0,78.0,13.0,30.327043,59.991804,2.91,84.0,218040.0,699243,270866.037,75.0
44,362319.0,165.6,11.0,30.329451,59.985462,2.6,84.0,195550.0,699243,270866.037,68.0
45,198796.0,83.0,25.0,30.377618,59.802418,9.1,22.0,157140.0,263732,214227.69361702123,20.0
46,235563.0,65.8,1.0,30.368141,59.935367,4.54,42.0,178072.0,200654,244764.85882352944,44.0
