,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Pushkinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,population,mean_distr_pps,Devyatkino,Grazhdanskii prospekt,Akademicheskaya,Politekhnicheskaya,Ploshchad Muzhestva,Lesnaia,Vyborgskaia,Ploshchad Lenina,Chernyshevskaia,Ploshchad Vosstaniia,Vladimirskaia,Pushkinskaia,Tekhnologicheskii institut-2,Baltiiskaia,Narvskaia,Kirovskii zavod,Avtovo,Leninskii prospekt,Prospekt Veteranov,Parnas,Prospekt Prosviashcheniia,Ozerki,Udelnaia,Pionerskaia,Chernaia Rechka,Petropavlovskaia,Gorkovskaia,Sennaia ploshchad,Tekhnologicheskii institut-1,Frunzenskaia,Moskovskie vorota,Elektrosila,Park Pobedy,Moskovskaia,Zvezdnaia,Kupchino,Spasskaia,Dostoevskaia,Ligovskii prospekt,Ploshchad Aleksandra Nevskogo-2,Novocherkasskaia,Ladozhskaia,Prospekt Bolshevikov,Ulitsa Dybenko,Komendantskii prospekt,Staraia Derevnia,Krestovskii ostrov,Chkalovskaia,Sportivnaia,Admiralteiskaia,Sadovaia,Zvenigorodskaia,Obvodnyi kanal,Volkovskaia,Bukharestskaia,Mezhdunarodnaia,Prospekt Slavy,Dunaia,Shushary,Begovaya,Zenit,Primorskaia,Vasileostrovskaia,Gostinii dvor,Maiakovskaia,Ploshchad Aleksandra Nevskogo-1,Elizarovskaia,Lomonosovskaia,Proletarskaia,Obukhovo,Rybackoe,metro_1km,metro_5km,metro_10km
0,246533.6,1.0,3.0,30.335685,60.030204,5.01,57.0,19999.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541590,236507.11325301204,11.95,9.18,6.79,4.08,3.81,2.59,3.39,4.51,5.32,5.97,5.62,5.74,6.15,7.39,9.27,10.98,11.46,11.53,12.96,1.93,1.15,1.58,2.34,4.56,4.49,4.23,4.25,5.58,6.17,6.69,7.38,8.01,8.6,9.33,10.55,11.73,5.63,5.51,6.23,7.88,10.16,12.79,15.93,17.95,8.66,9.17,8.93,5.96,6.61,5.35,5.68,5.65,6.32,7.6,8.76,9.97,11.66,13.52,16.1,14.92,14.02,11.88,7.72,5.03,5.7,8.0,12.36,14.68,17.81,17.17,21.83,0,13,49
1,252437.2,2.0,1.0,30.317539,59.840659,4.96,53.0,8000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046,18.24,15.5,12.79,10.72,10.03,8.05,7.55,7.42,7.22,6.77,5.66,4.33,3.85,3.86,5.56,6.45,6.41,5.49,7.28,11.76,10.92,9.98,8.88,8.34,7.44,6.36,5.85,4.4,3.83,3.31,2.6,1.95,1.4,0.79,3.57,6.47,4.37,5.55,5.93,8.57,11.52,14.48,17.2,18.84,10.34,9.88,8.97,6.57,6.28,4.82,4.37,4.66,5.26,5.38,6.22,7.05,8.71,10.38,12.88,14.36,13.14,10.48,6.6,5.09,6.34,8.77,12.22,13.96,17.05,15.61,20.33,1,15,49
2,243426.8,2.0,6.0,30.299321,60.001671,4.55,74.0,7350.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778,16.17,13.34,10.78,7.97,7.48,5.08,5.56,6.68,7.36,7.72,6.63,5.32,4.75,4.61,5.49,7.07,7.6,7.91,9.07,5.07,4.47,3.07,1.96,0.3,0.81,2.21,3.14,4.4,4.75,5.16,5.83,6.46,7.19,7.89,10.26,12.36,4.33,6.41,7.48,10.22,13.08,16.02,19.18,21.16,4.56,4.94,4.64,2.13,2.77,3.7,4.23,5.7,7.16,8.52,9.94,11.26,13.19,15.17,17.88,10.77,9.81,7.59,3.67,5.04,7.2,10.39,14.98,17.26,20.52,19.59,24.42,2,20,50
3,265627.4,2.0,6.0,30.444687,60.036034,14.26,24.0,7350.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,366971,235136.75221238937,0.92,2.95,5.58,8.36,8.94,11.54,11.47,10.93,10.84,11.18,12.44,14.34,15.54,17.63,20.23,21.96,22.31,21.98,23.73,12.43,12.49,13.66,14.39,16.56,16.24,15.32,14.7,15.12,15.57,15.92,16.26,16.57,16.69,17.13,15.83,14.46,15.26,12.62,12.02,9.57,7.52,6.5,7.8,9.34,20.77,21.22,20.87,17.45,18.01,15.47,15.41,13.76,12.7,12.63,12.28,12.27,12.14,12.56,13.48,27.02,26.08,23.79,19.19,13.75,11.67,9.41,8.91,9.93,11.28,11.94,14.73,1,2,13
4,249730.0,3.5,5.0,30.488947,59.841089,18.81,31.0,25000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017,14.45,14.59,14.86,16.65,16.68,18.22,17.56,16.38,15.65,15.29,16.48,18.27,19.43,21.38,24.03,25.33,25.39,24.54,26.34,21.79,21.35,21.83,21.81,23.28,22.5,21.02,20.07,19.39,19.45,19.43,19.24,19.06,18.64,18.53,15.52,12.64,19.53,16.72,15.63,12.79,10.24,8.08,5.74,4.45,27.23,27.23,26.5,22.92,23.15,20.1,19.7,17.71,16.1,14.91,13.53,12.32,10.44,8.68,6.38,32.72,31.55,28.86,24.11,18.22,15.83,12.63,8.07,5.75,2.61,3.49,1.44,0,4,10
5,187500.0,4.0,1.0,30.463461,59.895551,15.32,36.0,23080.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017,10.09,10.03,10.37,12.33,12.44,14.24,13.66,12.52,11.87,11.64,12.95,14.9,16.13,18.22,20.96,22.42,22.57,21.83,23.68,17.5,17.12,17.72,17.84,19.49,18.78,17.37,16.45,15.99,16.16,16.24,16.18,16.12,15.84,15.88,13.2,10.56,16.14,13.19,12.13,9.06,6.14,3.57,1.61,2.35,23.6,23.7,23.04,19.39,19.71,16.66,16.32,14.29,12.7,11.7,10.47,9.48,7.93,6.79,5.85,29.38,28.24,25.6,20.75,14.7,12.21,8.87,4.41,2.68,2.11,3.07,5.92,0,7,15
6,275682.0,4.0,1.0,30.488947,59.841089,18.81,31.0,10000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017,14.45,14.59,14.86,16.65,16.68,18.22,17.56,16.38,15.65,15.29,16.48,18.27,19.43,21.38,24.03,25.33,25.39,24.54,26.34,21.79,21.35,21.83,21.81,23.28,22.5,21.02,20.07,19.39,19.45,19.43,19.24,19.06,18.64,18.53,15.52,12.64,19.53,16.72,15.63,12.79,10.24,8.08,5.74,4.45,27.23,27.23,26.5,22.92,23.15,20.1,19.7,17.71,16.1,14.91,13.53,12.32,10.44,8.68,6.38,32.72,31.55,28.86,24.11,18.22,15.83,12.63,8.07,5.75,2.61,3.49,1.44,0,4,10
7,282990.8,4.0,2.0,30.275938,59.908683,5.86,36.0,5400.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.1437908497,20.06,17.17,14.42,11.73,11.09,8.5,8.52,9.19,9.51,9.48,8.09,6.05,4.78,2.65,0.37,2.04,2.52,2.8,4.01,10.12,9.43,8.07,6.84,5.01,4.59,4.84,5.3,5.04,4.75,4.63,4.74,4.97,5.5,5.86,9.0,11.78,4.89,7.86,8.83,11.98,15.11,18.2,21.22,23.07,4.95,4.33,3.41,3.06,2.39,4.55,4.71,6.68,8.21,9.17,10.49,11.66,13.56,15.44,18.09,8.82,7.62,4.92,1.6,6.44,8.9,12.18,16.45,18.51,21.75,20.49,25.33,1,23,48
8,249730.0,4.0,6.0,30.405978,59.719555,14.78,21.0,24000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,216441.6716981132,20.47,18.82,17.19,17.03,16.59,16.36,15.56,14.54,13.77,13.07,13.34,13.96,14.5,15.53,17.39,18.02,17.83,16.76,18.22,20.84,20.08,19.76,19.05,19.41,18.46,17.03,16.17,14.82,14.51,14.17,13.6,13.06,12.35,11.81,8.98,7.21,14.9,13.48,12.71,12.09,12.44,13.42,14.11,14.57,22.13,21.73,20.82,18.04,17.92,15.54,15.01,13.72,12.65,11.34,10.25,9.2,8.12,7.16,6.76,26.03,24.82,22.23,18.41,14.42,13.25,12.11,10.79,10.38,11.52,9.82,12.64,0,0,7
9,136364.0,4.4,1.0,30.342404,59.905357,2.3,77.0,51870.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,413983,254696.63902439023,13.93,11.16,8.44,6.46,5.78,4.22,3.54,3.13,2.88,2.46,1.34,1.58,2.69,4.75,7.5,9.03,9.24,8.66,10.5,8.55,7.74,7.22,6.48,7.08,6.17,4.66,3.72,2.68,2.71,2.77,2.8,2.96,3.05,3.56,3.93,5.53,2.81,1.29,1.64,4.67,7.8,10.88,13.85,15.68,10.61,10.52,9.77,6.25,6.42,3.42,2.98,1.16,0.95,1.83,3.24,4.53,6.49,8.46,11.18,15.99,14.83,12.16,7.37,1.85,2.0,4.88,9.06,11.16,14.42,13.25,18.12,1,33,55
