,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Pushkinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,population,mean_distr_pps,metro_1km,metro_5km,metro_10km
0,246533.6,1.0,3.0,30.335685,60.030204,5.01,57.0,19999.0,99.44,96.69,94.18,91.36,90.86,88.34,88.62,89.49,89.91,89.92,88.54,86.5,85.23,83.07,80.31,78.76,0,13,49
1,252437.2,2.0,1.0,30.317539,59.840659,4.96,53.0,8000.0,49.96,47.08,44.31,41.68,41.03,38.46,38.41,38.89,39.02,38.77,37.44,35.49,34.27,32.2,29.7,27.95,1,15,49
2,243426.8,2.0,6.0,30.299321,60.001671,4.55,74.0,7350.0,71.76,68.89,66.16,63.41,62.81,60.2,60.29,60.93,61.18,61.02,59.65,57.63,56.37,54.22,51.54,49.84,2,20,50
3,265627.4,2.0,6.0,30.444687,60.036034,14.26,24.0,7350.0,280.64,283.09,285.2,287.88,288.23,290.44,289.95,288.86,288.24,288.01,289.3,291.17,292.34,294.28,296.86,298.0,1,2,13
4,249730.0,3.5,5.0,30.488947,59.841089,18.81,31.0,25000.0,216.65,215.54,214.81,213.01,213.03,211.83,212.57,213.77,214.57,215.09,214.19,212.88,212.04,210.69,208.71,208.15,0,4,10
5,187500.0,4.0,1.0,30.463461,59.895551,15.32,36.0,23080.0,240.38,238.96,237.24,236.52,235.94,234.7,234.03,233.42,232.82,232.12,231.74,231.13,230.76,230.02,229.36,228.2,0,7,15
6,275682.0,4.0,1.0,30.488947,59.841089,18.81,31.0,10000.0,216.65,215.54,214.81,213.01,213.03,211.83,212.57,213.77,214.57,215.09,214.19,212.88,212.04,210.69,208.71,208.15,0,4,10
7,282990.8,4.0,2.0,30.275938,59.908683,5.86,36.0,5400.0,105.85,107.2,108.86,109.52,110.1,111.28,111.96,112.6,113.2,113.91,114.27,114.83,115.17,115.87,116.48,117.62,1,23,48
8,249730.0,4.0,6.0,30.405978,59.719555,14.78,21.0,24000.0,266.52,268.68,270.98,272.39,273.05,274.77,275.33,275.7,276.14,276.77,277.47,278.48,279.08,280.14,281.12,282.4,0,0,7
9,136364.0,4.4,1.0,30.342404,59.905357,2.3,77.0,51870.0,232.3,234.85,237.46,239.45,240.15,242.33,242.71,242.75,242.98,243.51,244.51,245.98,246.87,248.45,250.2,251.8,1,33,55
10,249684.0,5.0,1.0,30.461898,59.912585,15.03,38.0,25000.0,183.7,186.38,188.8,191.6,192.07,194.55,194.23,193.31,192.86,192.82,194.21,196.23,197.5,199.65,202.41,203.94,1,7,18
11,246533.6,5.0,2.0,30.317539,59.840659,4.96,53.0,9990.0,49.96,47.08,44.31,41.68,41.03,38.46,38.41,38.89,39.02,38.77,37.44,35.49,34.27,32.2,29.7,27.95,1,15,49
12,258708.4,6.0,1.0,30.257621,59.931251,7.75,39.0,50000.0,289.07,291.6,293.78,296.5,296.87,299.14,298.67,297.6,297.01,296.8,298.1,299.99,301.18,303.14,305.74,306.91,0,13,37
13,249444.8,6.0,1.0,30.299321,60.001671,4.55,74.0,50000.0,71.76,68.89,66.16,63.41,62.81,60.2,60.29,60.93,61.18,61.02,59.65,57.63,56.37,54.22,51.54,49.84,2,20,50
14,239105.8,6.0,1.0,30.402744,60.019131,9.58,49.0,50000.0,163.82,162.54,160.98,160.49,159.95,158.96,158.24,157.52,156.88,156.16,155.92,155.54,155.32,154.87,154.62,153.68,1,5,34
15,234118.0,6.0,1.0,30.405978,59.719555,14.78,21.0,40000.0,266.52,268.68,270.98,272.39,273.05,274.77,275.33,275.7,276.14,276.77,277.47,278.48,279.08,280.14,281.12,282.4,0,0,7
16,180946.0,6.3,9.0,30.323135,60.061852,6.51,79.0,10000.0,133.78,136.59,139.19,142.0,142.54,145.12,144.92,144.15,143.82,143.91,145.29,147.33,148.61,150.78,153.52,155.17,0,8,43
17,282990.8,7.0,6.0,30.371653,59.812193,8.25,33.0,17500.0,259.19,262.02,264.8,267.28,267.95,270.46,270.61,270.28,270.28,270.63,271.88,273.71,274.84,276.8,279.12,280.86,0,7,40
18,291667.0,7.2,5.0,30.377268,59.933068,5.56,55.0,21408.8,90.47,90.78,91.53,91.17,91.57,91.89,92.67,93.62,94.38,95.09,94.97,94.85,94.77,94.77,94.49,95.16,1,21,54
19,242311.0,7.5,5.0,30.360937,59.924848,3.79,45.0,360000.0,60.81,62.67,64.8,66.09,66.74,68.48,69.03,69.39,69.84,70.49,71.16,72.2,72.85,74.07,75.41,76.88,3,27,54
20,242311.0,8.0,1.0,30.322327,59.848809,4.48,45.0,25000.0,48.33,46.1,44.3,41.81,41.58,39.68,40.29,41.47,42.18,42.55,41.41,39.79,38.77,37.16,34.96,34.29,2,19,50
21,239105.8,8.0,2.0,30.384014,60.02494,7.96,46.0,64000.0,283.0,285.86,288.52,291.31,291.88,294.48,294.32,293.58,293.26,293.34,294.73,296.77,298.05,300.22,302.95,304.61,0,6,42
22,33750.0,8.0,12.0,30.378678,59.855331,7.17,89.0,34470.0,304.06,303.25,301.97,301.66,301.13,300.14,299.43,298.72,298.07,297.35,297.11,296.66,296.37,295.72,295.09,293.91,1,13,45
23,235688.6,8.0,17.0,30.385074,59.83068,8.58,58.0,20000.0,226.07,228.73,231.42,233.6,234.3,236.62,236.92,236.83,236.99,237.47,238.56,240.16,241.15,242.88,244.85,246.52,0,7,42
24,292015.4,9.0,1.0,30.323279,59.935462,0.44,18.0,35000.0,237.06,237.89,239.01,238.95,239.39,239.86,240.64,241.55,242.29,243.0,242.95,242.88,242.8,242.75,242.3,242.83,4,33,57
25,282826.2,9.0,1.0,30.363209,59.831865,6.81,38.0,31500.0,299.48,296.87,294.5,291.71,291.24,288.77,289.08,289.97,290.4,290.4,289.01,286.98,285.7,283.54,280.78,279.2,0,10,42
26,277031.6,9.0,2.0,30.269811,59.838168,7.95,23.0,16650.0,291.09,293.68,295.95,298.7,299.1,301.43,300.99,299.96,299.39,299.21,300.53,302.46,303.67,305.68,308.32,309.55,1,7,38
27,296143.6,9.2,9.0,30.267251,60.052344,8.75,32.0,43000.0,184.49,187.33,190.0,192.79,193.36,195.95,195.81,195.09,194.8,194.92,196.3,198.33,199.6,201.77,204.48,206.16,0,5,36
28,253941.4,10.0,1.0,30.175551,59.86176,17.17,62.0,40000.0,62.86,60.01,57.34,54.55,53.98,51.39,51.55,52.29,52.61,52.53,51.14,49.1,47.83,45.65,42.92,41.27,0,0,6
