,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Pushkinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,population,mean_distr_pps
0,246533.6,1.0,3.0,30.335685,60.030204,5.01,57.0,19999.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541590,236507.11325301204
1,252437.2,2.0,1.0,30.317539,59.840659,4.96,53.0,8000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046
2,243426.8,2.0,6.0,30.299321,60.001671,4.55,74.0,7350.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
3,265627.4,2.0,6.0,30.444687,60.036034,14.26,24.0,7350.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,366971,235136.75221238937
4,249730.0,3.5,5.0,30.488947,59.841089,18.81,31.0,25000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017
5,187500.0,4.0,1.0,30.463461,59.895551,15.32,36.0,23080.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017
6,275682.0,4.0,1.0,30.488947,59.841089,18.81,31.0,10000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017
7,282990.8,4.0,2.0,30.275938,59.908683,5.86,36.0,5400.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
8,249730.0,4.0,6.0,30.405978,59.719555,14.78,21.0,24000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,216441.6716981132
9,136364.0,4.4,1.0,30.342404,59.905357,2.3,77.0,51870.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,413983,254696.63902439023
10,249684.0,5.0,1.0,30.461898,59.912585,15.03,38.0,25000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017
11,246533.6,5.0,2.0,30.317539,59.840659,4.96,53.0,9990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046
12,258708.4,6.0,1.0,30.257621,59.931251,7.75,39.0,50000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206680,259361.0213114754
13,249444.8,6.0,1.0,30.299321,60.001671,4.55,74.0,50000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
14,239105.8,6.0,1.0,30.402744,60.019131,9.58,49.0,50000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,536794,262758.3340659341
15,234118.0,6.0,1.0,30.405978,59.719555,14.78,21.0,40000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,216441.6716981132
16,180946.0,6.3,9.0,30.323135,60.061852,6.51,79.0,10000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541590,236507.11325301204
