,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Moskovsky,population,mean_distr_price_per_square
0,187500.0,4.0,1.0,30.463461,59.895551,15.32,36.0,20078.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
1,136364.0,4.4,1.0,30.342404,59.905357,2.3,77.0,20078.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
2,291667.0,7.2,5.0,30.377268,59.933068,5.56,55.0,96430.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
3,33750.0,8.0,12.0,30.378678,59.855331,7.17,89.0,20500.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
4,350000.0,10.0,20.0,30.215787,60.003327,12.78,95.0,43200.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
5,215518.0,11.6,4.0,30.305502,59.929623,2.44,43.0,16711.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
6,200000.0,11.7,1.0,30.376316,59.924943,5.48,69.0,23600.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
7,241667.0,12.0,4.0,30.350795,59.921056,2.72,50.0,32220.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
8,266394.0,12.2,18.0,30.199994,59.860161,14.55,27.0,38200.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
9,260000.0,12.84,5.0,30.387724,60.026051,8.34,50.0,38236.2,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
10,307693.0,13.0,1.0,30.32893,59.915143,1.06,38.0,47000.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
11,346154.0,13.0,3.0,30.339143,59.924325,1.44,65.0,17520.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
12,396154.0,13.0,5.0,30.359077,59.928843,3.55,34.0,38556.2,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
13,234616.0,13.0,9.0,30.376477,59.856176,6.94,83.0,44576.2,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
14,308089.0,13.6,5.0,30.411206,59.871997,9.97,31.0,38556.2,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
15,300000.0,14.0,1.0,30.286619,59.926706,4.54,76.0,47000.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
17,253334.0,15.0,1.0,30.350274,59.916618,2.74,56.0,39400.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
18,170000.0,15.0,1.0,30.482389,59.885973,17.49,30.0,39400.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
19,186000.0,15.0,6.0,30.311278,59.911475,2.16,57.0,326780.2,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
20,237180.0,15.6,13.0,30.251845,60.015404,9.21,120.0,54339.8,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
21,264706.0,17.0,1.0,30.288919,59.921615,4.32,67.0,25000.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
