,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,population
5,187500.0,4.0,1.0,30.463461,59.895551,15.32,36.0,20078.0,200654
9,136364.0,4.4,1.0,30.342404,59.905357,2.3,77.0,20078.0,200654
18,291667.0,7.2,5.0,30.377268,59.933068,5.56,55.0,96430.0,200654
22,33750.0,8.0,12.0,30.378678,59.855331,7.17,89.0,20500.0,200654
36,350000.0,10.0,20.0,30.215787,60.003327,12.78,95.0,43200.0,200654
40,215518.0,11.6,4.0,30.305502,59.929623,2.44,43.0,16711.0,200654
41,200000.0,11.7,1.0,30.376316,59.924943,5.48,69.0,23600.0,200654
45,241667.0,12.0,4.0,30.350795,59.921056,2.72,50.0,32220.0,200654
47,266394.0,12.2,18.0,30.199994,59.860161,14.55,27.0,38200.0,413983
49,260000.0,12.84,5.0,30.387724,60.026051,8.34,50.0,38236.2,200654
51,307693.0,13.0,1.0,30.32893,59.915143,1.06,38.0,47000.0,200654
52,346154.0,13.0,3.0,30.339143,59.924325,1.44,65.0,17520.0,200654
53,396154.0,13.0,5.0,30.359077,59.928843,3.55,34.0,38556.2,200654
54,234616.0,13.0,9.0,30.376477,59.856176,6.94,83.0,44576.2,200654
57,308089.0,13.6,5.0,30.411206,59.871997,9.97,31.0,38556.2,413983
60,300000.0,14.0,1.0,30.286619,59.926706,4.54,76.0,47000.0,200654
62,186677.0,14.2,3.0,30.285451,59.898449,5.0,44.0,42920.0,200654
65,253334.0,15.0,1.0,30.350274,59.916618,2.74,56.0,39400.0,200654
68,170000.0,15.0,1.0,30.482389,59.885973,17.49,30.0,39400.0,200654
69,186000.0,15.0,6.0,30.311278,59.911475,2.16,57.0,326780.2,200654
70,237180.0,15.6,13.0,30.251845,60.015404,9.21,120.0,54339.8,200654
74,264706.0,17.0,1.0,30.288919,59.921615,4.32,67.0,25000.0,200654
78,350197.0,17.79,19.0,30.184849,59.942245,15.84,15.0,51200.0,200654
86,188334.0,18.0,6.0,30.355502,59.936819,3.14,22.0,325516.0,413983
87,138889.0,18.0,8.0,30.314296,59.912774,1.85,61.0,50915.8,413983
88,202778.0,18.0,20.0,30.351316,60.078365,7.99,30.0,51200.0,200654
90,301887.0,18.55,12.0,30.312446,59.902154,2.36,67.0,50339.8,200654
91,322581.0,18.6,1.0,30.26444,59.942827,7.0,35.0,80400.0,413983
102,287500.0,20.0,1.0,30.37009,59.932811,4.76,57.0,44600.0,200654
107,267500.0,20.0,5.0,30.321033,59.94179,0.77,15.0,43600.0,200654
116,118933.0,20.6,9.0,30.367467,60.051167,7.63,39.0,53999.8,200654
119,421297.0,21.6,9.0,30.383323,59.869142,7.19,94.0,53999.8,413983
124,198238.0,22.7,1.0,30.361898,59.944111,3.88,37.0,54064.0,413983
132,304055.0,23.68,12.0,30.312446,59.902154,2.36,67.0,66100.0,413983
134,300000.0,24.0,1.0,30.350857,59.9358,2.62,20.0,56072.0,200654
136,300000.0,24.0,7.0,30.319848,59.855304,4.18,55.0,66400.0,200654
140,264228.0,24.6,4.0,30.29094,60.01074,5.51,84.0,55832.0,200654
141,272358.0,24.6,16.0,30.312446,59.905998,2.23,68.0,94240.0,200654
147,236221.0,25.4,5.0,30.297156,59.956899,3.52,48.0,64188.0,200654
152,221154.0,26.0,14.0,30.333619,59.982059,2.52,66.0,97140.0,200654
153,270000.0,26.08,5.0,30.308322,59.754121,9.41,12.0,61184.0,200654
158,147778.0,27.0,5.0,30.350274,59.916618,2.74,56.0,67820.0,200654
159,440741.0,27.0,7.0,30.346016,59.92023,2.23,73.0,69396.0,413983
162,379920.0,27.19,19.0,30.184849,59.942245,15.84,15.0,94240.0,200654
166,428572.0,28.0,9.0,30.374124,59.869562,6.3,82.0,71100.0,200654
169,351000.0,28.96,5.0,30.308322,59.754121,9.41,12.0,75796.0,200654
170,99656.0,29.0,1.0,30.388748,59.945855,6.86,24.0,103550.0,200654
174,280822.0,29.2,5.0,30.357586,59.930962,3.38,23.0,75796.0,200654
177,283334.0,30.0,1.0,30.246536,59.930264,8.98,44.0,101000.0,200654
186,431894.0,30.1,5.0,30.31002,59.851467,4.67,80.0,70796.0,200654
187,197369.0,30.4,5.0,30.442773,59.885616,13.15,17.0,99440.0,200654
188,274510.0,30.6,9.0,30.386071,59.86823,7.49,74.0,92080.0,200654
189,276873.0,30.7,1.0,30.357397,59.838607,6.13,67.0,117000.0,200654
198,213376.0,31.4,5.0,30.442773,59.885616,13.15,17.0,94100.0,200654
202,141510.0,31.8,5.0,30.33149,60.037063,5.28,83.0,86300.0,200654
211,117284.0,32.4,6.0,30.373836,59.933645,5.18,60.0,86300.0,200654
212,220184.0,32.7,1.0,30.345854,59.917209,2.28,74.0,52776.0,200654
213,158537.0,32.8,18.0,30.331535,60.017292,4.26,75.0,67600.0,413983
216,293940.0,33.0,5.0,30.297237,59.966493,3.68,43.0,84300.0,200654
218,170000.0,33.27,2.0,30.084013,59.724491,28.15,48.0,57876.0,200654
219,111608.0,33.6,25.0,30.369282,59.806821,8.32,31.0,81000.0,200654
221,190000.0,33.9,9.0,30.449978,59.956836,13.7,15.0,74780.0,413983
224,257226.0,34.6,18.0,30.421196,59.890681,10.74,34.0,54600.0,413983
225,236312.0,34.7,3.0,30.337787,59.946946,1.31,21.0,74696.0,200654
231,267606.0,35.5,5.0,30.323279,59.913447,1.21,40.0,78796.0,200654
