,0,1,2,3,4,5,6,7,8
0,246533.6,1.0,3.0,30.335685,60.030204,5.01,57.0,19999.0,2.0
1,252437.2,2.0,1.0,30.317539,59.840659,4.96,53.0,8000.0,2.0
2,243426.8,2.0,6.0,30.299321,60.001671,4.55,74.0,7350.0,2.0
3,265627.4,2.0,6.0,30.444687,60.036034,14.26,24.0,7350.0,2.0
4,249730.0,3.5,5.0,30.488947,59.841089,18.81,31.0,25000.0,2.0
5,187500.0,4.0,1.0,30.463461,59.895551,15.32,36.0,23080.0,1.0
6,275682.0,4.0,1.0,30.488947,59.841089,18.81,31.0,10000.0,2.0
7,282990.8,4.0,2.0,30.275938,59.908683,5.86,36.0,5400.0,2.0
8,249730.0,4.0,6.0,30.405978,59.719555,14.78,21.0,24000.0,2.0
9,136364.0,4.4,1.0,30.342404,59.905357,2.3,77.0,51870.0,1.0
10,249684.0,5.0,1.0,30.461898,59.912585,15.03,38.0,25000.0,2.0
11,246533.6,5.0,2.0,30.317539,59.840659,4.96,53.0,9990.0,2.0
12,258708.4,6.0,1.0,30.257621,59.931251,7.75,39.0,50000.0,2.0
13,249444.8,6.0,1.0,30.299321,60.001671,4.55,74.0,50000.0,2.0
14,239105.8,6.0,1.0,30.402744,60.019131,9.58,49.0,50000.0,2.0
15,234118.0,6.0,1.0,30.405978,59.719555,14.78,21.0,40000.0,2.0
16,180946.0,6.3,9.0,30.323135,60.061852,6.51,79.0,10000.0,2.0
17,282990.8,7.0,6.0,30.371653,59.812193,8.25,33.0,17500.0,2.0
18,291667.0,7.2,5.0,30.377268,59.933068,5.56,55.0,21408.8,1.0
19,242311.0,7.5,5.0,30.360937,59.924848,3.79,45.0,360000.0,2.0
20,242311.0,8.0,1.0,30.322327,59.848809,4.48,45.0,25000.0,2.0
21,239105.8,8.0,2.0,30.384014,60.02494,7.96,46.0,64000.0,2.0
22,33750.0,8.0,12.0,30.378678,59.855331,7.17,89.0,34470.0,1.0
23,235688.6,8.0,17.0,30.385074,59.83068,8.58,58.0,20000.0,2.0
24,292015.4,9.0,1.0,30.323279,59.935462,0.44,18.0,35000.0,2.0
25,282826.2,9.0,1.0,30.363209,59.831865,6.81,38.0,31500.0,2.0
26,277031.6,9.0,2.0,30.269811,59.838168,7.95,23.0,16650.0,2.0
27,296635.6,9.0,10.0,29.892142,59.881006,48.4,18.0,12000.0,2.0
28,296143.6,9.2,9.0,30.267251,60.052344,8.75,32.0,43000.0,2.0
29,253941.4,10.0,1.0,30.175551,59.86176,17.17,62.0,40000.0,2.0
30,255368.6,10.0,1.0,30.20737,59.999125,13.64,109.0,30000.0,2.0
31,249444.8,10.0,1.0,30.342494,59.927225,1.75,71.0,180000.0,2.0
32,282826.2,10.0,1.0,30.386009,59.94051,6.54,37.0,15000.0,2.0
33,277031.6,10.0,2.0,30.269811,59.838168,7.95,23.0,16500.0,2.0
34,250118.0,10.0,2.0,30.443824,59.875623,13.4,19.0,80000.0,2.0
35,260967.4,10.0,2.0,30.511144,59.836934,21.27,31.0,25750.0,2.0
36,350000.0,10.0,20.0,30.215787,60.003327,12.78,95.0,41940.0,1.0
37,255368.6,10.0,1.0,30.326244,60.039661,5.37,110.0,10000.0,2.0
38,246533.6,10.3,2.0,30.317539,59.840659,4.96,53.0,19055.0,2.0
39,219653.4,10.5,23.0,30.355708,60.047762,6.73,49.0,50000.0,2.0
40,215518.0,11.6,4.0,30.305502,59.929623,2.44,43.0,100100.0,1.0
41,200000.0,11.7,1.0,30.376316,59.924943,5.48,69.0,60628.0,1.0
42,266784.6,11.8,2.0,30.358107,59.806174,7.66,15.0,18000.0,2.0
43,260846.6,12.0,2.0,30.000946,60.053656,36.46,6.0,18000.0,2.0
44,227041.6,12.0,2.0,30.375031,59.98958,6.06,80.0,12000.0,2.0
45,241667.0,12.0,4.0,30.350795,59.921056,2.72,50.0,95609.0,1.0
46,269541.8,12.0,1.0,30.305124,59.949596,2.56,42.0,20000.0,2.0
47,266394.0,12.2,18.0,30.199994,59.860161,14.55,27.0,43216.2,1.0
48,300903.4,12.5,1.0,30.371653,59.812193,8.25,33.0,50000.0,2.0
49,260000.0,12.84,5.0,30.387724,60.026051,8.34,50.0,43011.0,1.0
50,249949.8,13.0,1.0,30.302825,59.921651,2.81,67.0,35000.0,2.0
51,307693.0,13.0,1.0,30.32893,59.915143,1.06,38.0,29300.0,1.0
52,346154.0,13.0,3.0,30.339143,59.924325,1.44,65.0,60628.0,1.0
53,396154.0,13.0,5.0,30.359077,59.928843,3.55,34.0,313300.0,1.0
54,234616.0,13.0,9.0,30.376477,59.856176,6.94,83.0,35614.0,1.0
55,249444.8,13.3,2.0,30.30834,59.915585,2.33,71.0,20000.0,2.0
56,245074.2,13.3,6.0,30.245566,59.963066,9.18,40.0,93100.0,2.0
57,308089.0,13.6,5.0,30.411206,59.871997,9.97,31.0,312500.0,1.0
58,261134.2,14.0,1.0,30.207648,60.034474,14.03,23.0,70000.0,2.0
