,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Moskovsky,population,mean_distr_price_per_square,in_diss
783,316392.0,78.7,24.0,30.344614,59.85332,4.71,35.0,131050.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
786,378482.0,79.0,4.0,30.287562,59.985512,5.07,40.0,155883.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
789,209054.0,79.0,24.0,30.511773,59.866274,20.93,17.0,131050.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
791,161917.0,79.3,1.0,30.275992,59.94431,5.72,50.0,169000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
793,175000.0,79.6,14.0,30.362015,59.807106,7.84,23.0,172108.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
794,232121.0,79.7,1.0,30.377268,59.933068,5.56,55.0,169000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
795,325000.0,79.75,10.0,30.341533,59.966953,2.29,56.0,175006.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
796,187500.0,80.0,1.0,30.290868,59.940005,4.06,76.0,169000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
797,131250.0,80.0,1.0,30.307065,59.919725,2.38,66.0,169000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
798,125000.0,80.0,1.0,30.307065,59.919725,2.38,66.0,169000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
804,143625.0,80.0,4.0,30.298665,59.923581,3.24,54.0,210525.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
805,143625.0,80.0,6.0,30.298665,59.923581,3.24,54.0,197489.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
815,170000.0,80.2,1.0,30.334391,59.987753,2.83,71.0,172000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
816,273168.0,80.5,12.0,30.322264,59.981276,2.42,115.0,164638.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
817,311415.0,80.6,15.0,30.201737,59.929804,13.96,17.0,202564.2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
823,418519.0,81.0,20.0,30.308223,59.904247,2.64,55.0,138030.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
827,129470.0,81.1,4.0,30.263056,59.942913,7.15,36.0,222095.2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
828,70284.0,81.1,5.0,30.30755,59.958224,2.48,42.0,190489.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
829,320592.0,81.1,9.0,30.096589,59.84277,25.89,18.0,190062.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
831,250000.0,81.1,12.0,30.229064,59.936206,10.92,55.0,164638.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
833,327575.0,81.27,9.0,30.288622,59.903823,4.58,42.0,190062.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
836,75461.0,81.5,1.0,30.244308,60.072444,11.27,21.0,171952.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
837,202454.0,81.5,4.0,30.34253,59.908222,2.21,79.0,211063.2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
843,250000.0,81.8,12.0,30.205959,60.029508,14.14,28.0,156152.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
845,250915.0,82.0,5.0,30.267494,59.962724,6.78,27.0,172007.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
850,254879.0,82.0,25.0,30.225039,60.035495,12.27,68.0,142800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
851,332895.0,82.1,1.0,30.245728,59.962048,9.16,41.0,165931.2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
