,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km
0,311480.0,131.63,2,30.082621,59.724677,28.29,47.0
1,254997.0,145.1,5,30.316138,59.911854,1.73,55.0
2,353742.0,73.5,7,30.301127,59.912368,3.13,55.0
3,190000.0,33.9,9,30.449978,59.956836,13.7,15.0
4,166667.0,89.4,5,30.325543,59.926372,0.5,26.0
5,367200.0,95.82,7,30.268635,59.943372,6.53,33.0
7,387600.0,57.61,7,30.268635,59.943372,6.53,33.0
8,387600.0,63.92,7,30.268635,59.943372,6.53,33.0
9,317646.0,57.91,9,30.404316,59.938175,8.57,17.0
10,317645.0,66.27,9,30.404316,59.938175,8.57,17.0
11,317646.0,58.88,9,30.404316,59.938175,8.57,17.0
12,306897.0,82.24,9,30.404316,59.938175,8.57,17.0
13,343300.0,90.09,9,30.404316,59.938175,8.57,17.0
14,317646.0,54.59,9,30.404316,59.938175,8.57,17.0
15,332897.0,69.77,9,30.404316,59.938175,8.57,17.0
16,364357.0,78.22,9,30.404316,59.938175,8.57,17.0
17,255556.0,72.0,20,30.230537,60.035962,11.73,82.0
18,304000.0,61.63,13,30.377394,60.017499,7.12,42.0
19,250000.0,68.79,13,30.377394,60.017499,7.12,42.0
20,246967.0,51.1,16,30.368563,59.885142,5.32,17.0
21,247500.0,45.2,16,30.368563,59.885142,5.32,17.0
22,171429.0,175.0,10,30.469974,59.911101,15.93,35.0
23,109295.0,73.7,23,30.360434,60.042779,6.79,51.0
24,109300.0,68.5,23,30.360434,60.042779,6.79,51.0
25,350000.0,60.0,25,30.199195,60.038573,14.97,9.0
27,287500.0,20.0,1,30.37009,59.932811,4.76,57.0
28,254546.0,192.5,26,30.356625,59.839642,6.03,71.0
29,136364.0,4.4,1,30.342404,59.905357,2.3,77.0
30,134546.0,55.0,1,30.349627,59.932202,2.49,28.0
32,165000.0,145.8,9,30.157064,59.840438,19.34,87.0
33,128988.0,72.1,9,30.447813,59.95593,13.45,16.0
34,84877.0,64.8,1,30.472355,59.929687,16.14,39.0
36,325204.0,110.7,25,30.269021,60.057774,8.79,34.0
37,89091.0,55.0,1,30.386727,59.947041,6.64,27.0
40,143917.0,67.4,5,30.302663,59.968633,3.21,40.0
41,234542.0,37.52,14,30.372291,59.831173,7.51,26.0
43,246053.0,76.0,2,30.363075,60.052483,7.4,42.0
44,313721.0,43.0,5,30.348297,59.945544,2.4,23.0
45,180018.0,116.1,14,30.361844,59.809202,7.74,24.0
47,77028.0,37.0,1,30.375516,59.936282,5.36,50.0
50,358572.0,70.0,25,30.21558,59.984278,12.62,101.0
52,250000.0,60.0,5,30.379343,59.857418,7.16,90.0
53,134365.0,122.8,1,30.325211,59.91784,0.93,38.0
54,250000.0,78.0,13,30.327043,59.991804,2.91,84.0
55,362319.0,165.6,11,30.329451,59.985462,2.6,84.0
56,198796.0,83.0,25,30.377618,59.802418,9.1,22.0
59,235563.0,65.8,1,30.368141,59.935367,4.54,42.0
60,147778.0,27.0,5,30.350274,59.916618,2.74,56.0
61,254181.0,59.8,28,30.340985,60.075016,7.44,51.0
62,223614.0,111.8,6,30.289224,59.922914,4.28,71.0
63,200000.0,39.0,9,30.474008,59.862352,16.86,34.0
64,242967.0,39.1,6,30.294192,59.920303,3.76,56.0
65,222930.0,47.1,17,30.223512,60.02793,12.3,63.0
66,74075.0,145.8,8,30.25551,59.937269,7.98,48.0
68,173549.0,155.0,25,30.382658,59.803671,9.43,14.0
69,117284.0,32.4,6,30.373836,59.933645,5.18,60.0
70,229167.0,144.0,8,30.327079,59.961854,1.36,38.0
72,209000.0,78.3,4,30.107827,59.834189,24.72,32.0
73,334030.0,47.9,3,30.359679,59.918526,3.71,46.0
74,235656.0,48.8,4,30.345863,59.925146,2.14,59.0
76,225371.0,155.3,17,30.311143,60.014832,4.41,53.0
77,393058.0,113.8,10,30.15012,59.861038,19.94,73.0
80,305703.0,170.1,14,30.31329,59.866468,3.84,84.0
81,363381.0,35.5,6,30.37566,59.925453,5.41,73.0
82,293399.0,163.6,12,30.327582,60.033499,5.06,97.0
83,315910.0,44.0,5,30.379343,59.857418,7.16,90.0
85,226416.0,53.0,1,30.302699,59.922792,2.81,64.0
86,160126.0,63.7,25,30.375507,59.802929,8.92,26.0
87,198006.0,98.0,24,30.511773,59.866274,20.93,17.0
88,415163.0,55.4,5,30.330232,59.854567,4.19,35.0
89,239094.0,119.2,6,30.346096,59.918652,2.27,73.0
90,341837.0,49.0,12,30.488551,59.951506,17.96,26.0
91,431894.0,30.1,5,30.31002,59.851467,4.67,80.0
92,139634.0,185.7,11,30.387329,59.982154,7.15,56.0
93,225353.0,106.5,6,30.255079,59.947306,8.05,57.0
94,180996.0,44.2,1,30.329819,59.915156,1.09,35.0
95,115385.0,65.0,1,30.304873,59.926607,2.53,48.0
97,125579.0,151.3,1,30.319309,59.931265,0.91,18.0
99,268241.0,93.2,15,30.252896,59.955939,8.33,52.0
101,33750.0,8.0,12,30.378678,59.855331,7.17,89.0
102,237038.0,162.0,5,30.306553,59.970736,2.91,58.0
103,297710.0,65.5,5,30.396699,59.85365,8.93,42.0
104,278689.0,61.0,7,30.304792,59.954628,2.68,46.0
105,168750.0,160.0,20,30.433565,59.935205,11.82,38.0
106,237763.0,143.0,2,30.364781,60.052272,7.5,41.0
107,227273.0,110.0,2,30.364781,60.052272,7.5,41.0
108,202454.0,81.5,4,30.34253,59.908222,2.21,79.0
109,219303.0,63.1,23,30.321285,60.081722,7.52,11.0
111,131250.0,80.0,1,30.307065,59.919725,2.38,66.0
112,187500.0,4.0,1,30.463461,59.895551,15.32,36.0
114,198238.0,22.7,1,30.361898,59.944111,3.88,37.0
115,135431.0,151.0,1,30.358493,59.918151,3.59,36.0
117,428572.0,28.0,9,30.374124,59.869562,6.3,82.0
118,440741.0,27.0,7,30.346016,59.92023,2.23,73.0
121,257900.0,71.9,24,30.277061,60.059683,8.26,28.0
122,175420.0,57.63,5,30.626928,59.753645,35.29,12.0
123,250000.0,121.0,4,30.430933,59.925335,11.54,27.0
124,250000.0,143.0,4,30.430933,59.925335,11.54,27.0
128,319728.0,73.5,7,30.302124,59.912414,3.03,58.0
129,235000.0,137.2,17,30.334391,59.987753,2.83,71.0
130,201500.0,106.7,13,30.336574,59.988469,2.95,66.0
131,246700.0,143.9,6,30.326998,59.956444,1.08,33.0
132,107213.0,102.6,1,30.38167,59.933947,6.05,63.0
133,146079.0,102.0,5,30.288658,59.912589,4.44,52.0
134,184714.0,62.8,10,30.364799,60.043848,7.13,53.0
135,178904.0,96.7,4,30.158834,59.998405,18.92,17.0
136,450000.0,126.47,11,30.338083,59.880582,3.1,19.0
137,245902.0,183.0,1,30.31108,59.870849,3.74,77.0
139,262998.0,130.1,26,30.363012,60.044469,7.04,52.0
140,352031.0,51.7,4,30.302555,59.949555,2.84,38.0
141,124546.0,110.0,1,30.297974,59.9308,3.27,53.0
143,232121.0,79.7,1,30.377268,59.933068,5.56,55.0
144,141026.0,39.0,5,30.338254,59.927806,1.28,55.0
145,179311.0,182.7,3,30.333466,60.039436,5.44,79.0
146,122728.0,110.0,9,30.41153,59.951132,9.41,25.0
147,450000.0,99.27,11,30.338083,59.880582,3.1,19.0
148,400000.0,56.04,11,30.338083,59.880582,3.1,19.0
149,450000.0,84.02,11,30.338083,59.880582,3.1,19.0
150,180000.0,70.0,25,30.364045,59.811609,7.76,31.0
151,199571.0,46.6,25,30.375507,59.802929,8.92,26.0
152,182836.0,53.6,25,30.375507,59.802929,8.92,26.0
153,255103.0,98.0,25,30.375507,59.802929,8.92,26.0
155,161268.0,142.0,14,30.361844,59.809202,7.74,24.0
156,143199.0,41.9,1,30.316326,59.909779,1.79,58.0
157,178723.0,111.9,1,30.314817,59.904189,2.11,72.0
161,218151.0,171.9,3,30.369012,59.929853,4.65,53.0
162,236221.0,25.4,5,30.297156,59.956899,3.52,48.0
163,300000.0,24.0,7,30.319848,59.855304,4.18,55.0
165,59091.0,55.0,4,30.360766,59.920086,3.81,47.0
166,40164.0,122.0,5,30.342692,59.91692,1.97,79.0
167,218636.0,82.1,5,30.351684,59.924167,2.78,41.0
168,396154.0,13.0,5,30.359077,59.928843,3.55,34.0
170,194772.0,76.5,16,30.51878,59.831282,22.19,18.0
171,241667.0,12.0,4,30.350795,59.921056,2.72,50.0
172,52546.0,55.0,1,30.356346,59.940875,3.25,31.0
173,99656.0,29.0,1,30.388748,59.945855,6.86,24.0
174,287340.0,70.3,14,30.334957,60.035535,5.27,65.0
177,166000.0,186.3,14,30.362015,59.807106,7.84,23.0
179,175000.0,93.3,14,30.362015,59.807106,7.84,23.0
180,118933.0,20.6,9,30.367467,60.051167,7.63,39.0
181,267606.0,35.5,5,30.323279,59.913447,1.21,40.0
182,72464.0,158.7,1,30.284526,59.920082,4.81,50.0
184,179834.0,60.0,5,30.344336,60.072094,7.4,53.0
185,287540.0,156.5,1,30.296473,59.918647,3.53,55.0
186,307930.0,97.1,1,30.405727,60.032919,10.25,65.0
187,220351.0,62.8,23,30.319785,60.077463,7.31,26.0
192,377114.0,153.8,1,30.362374,59.937121,3.9,32.0
193,384115.0,76.8,4,30.306912,59.924555,2.33,45.0
194,221154.0,26.0,14,30.333619,59.982059,2.52,66.0
195,372943.0,121.0,3,30.245566,59.963066,9.18,40.0
199,153077.0,65.0,7,30.283187,59.983265,5.44,41.0
200,241434.0,64.2,9,30.233529,59.949956,10.45,63.0
202,155618.0,89.9,1,30.21664,59.958814,12.35,82.0
203,128429.0,70.0,1,30.222183,59.958386,11.73,93.0
204,236140.0,48.7,7,30.446474,59.873266,13.72,19.0
205,138889.0,18.0,8,30.314296,59.912774,1.85,61.0
