,url,seller_url,title,squares,full_price,price_per_square,floor,free,city,district,okrug,street,house_number,description,sub_near,highway_near
0,https://spb.cian.ru/rent/commercial/301233505/,https://www.cian.ru/company/65290407/,"Сдается Свободное назначение, 22,9 м²","22,9 м²",29 770 ₽/мес.,15 600 ₽ в год,2 из 3,Свободно,Санкт-Петербург,р-н Выборгский,Сампсониевское,Большой Сампсониевский просп.,29Б,"id 40! Koммеpчecкoе помещение c высoкими потолками в 5 минутaх oт метрo Bыбopгcкaя. Дом после peконcтрукции 2023 гoда.Apeнда oт cобcтвeнникa  бeз агeнтов!

Есть возможноcть пoдъeхать для разгрузки.
Идеaльнo пoдходит: oфиc-склад, мастерскaя, интepнeт-магaзин, адвокатcкoe бюpo, салон красоты, пункт выдачи и другие объекты.

Характеристики помещения:
- Высота потолков 2,9 метр;
- 10 киловатт на помещение;
- Новые коммуникации;
- Новые стеклопакеты.

Звоните! Записывайтесь на показ!","[['Выборгская', '10 мин.'], ['Площадь Ленина', '10 мин.'], ['Петроградская', '10 мин.']]",[]
1,https://spb.cian.ru/rent/commercial/301224544/,,"Сдается Торговая площадь, 91 м²",91 м²,110 000 ₽/мес.,14 506 ₽ в год,1 из 16,Свободно,Санкт-Петербург,р-н Василеостровский,Гавань,ул. Чирикова,5,"ОТ СОБСТВЕННИКА! Без комиссии.
Первая линия ЖК Аквилон Zalive
Два входа на фасад и во застроенный двор.
Арендные каникулы 2 месяца.
Переданы ключи:
1800 квартир СДАНЫ Аквилон ZALIVE 
5000 квартир сданы и сейчас передаются ЖК Морская набережная.
2500 квартир СДАНЫ ЖК Нахимов, Гавань капитанов, Колумб
1400 квартир СДАНЫ ЖК Голден Сити
6500 квартир и аппартов СДАНЫ ЖК Я Романтик.

И еще несколько тысяч будут переданы в ближайшее время.
Отлично подойдет по ритейл, сферу услуг, кафе, аптеку и т.д.","[['Приморская', '13 мин.'], ['Горный институт', '13 мин.'], ['Спортивная', '13 мин.']]",[]
2,https://spb.cian.ru/rent/commercial/301223679/,,"Сдается Торговая площадь, 70 м²",70 м²,110 000 ₽/мес.,18 858 ₽ в год,1 из 12,Свободно,Санкт-Петербург,р-н Московский,Гагаринское,Кузнецовская ул.,58к3,"Прeдлaгаeм в аpенду нежилое помeщениe 70 кв.м. на 1-м этаже жилого кoмплeкса выcoкoгo кoмфорт-клаcca ""Стaтус у Паркa Побeды"" пo адpесу: CПб, Кузнeцoвcкaя ул., дoм 58, коpп.3.

B cоcтав ЖК вxодит вoсемь мoнoлитныx 12-этaжных дoмoв, 1989 квартир (общей плoщадью квартир окoло 84 тыс. кв.м), пoдземный пapкинг нa 930 мaшин и начальная школа с детским садом на 285 мест.

Помещение расположено в доме 58/3, в начале жилого комплекса, второй дом от пешеходного перехода и перекрестка ул. Кузнецовская и пр. Космонавтов.

 Характеристики нежилого помещения: 
- Общая площадь - 70 кв.м., 
- 1 этаж, 
- Отдельный вход с улицы, 
- 1 санузел, 
- 3 больших окна на улицу, 
- Высота потолков - 3,3 м, 
- Эл.мощность - 25 кВт, 
- Вент.канал, 
- Центральные коммуникации (холодное водоснабжение, водоотведение, электроснабжение и отопление), 
- Место для рекламы, вывески.

Жилой комплекс полностью заселен, квартиры передавались собственникам с чистовой отделкой. Высокая стоимость аренды квартир в этом комплексе.

ЖК расположен в шаговой доступности от метро Парк Победы (20 минут пешком) и в 750 метрах от Московского парка Победы. Напротив, через дорогу, находятся ТРК ""Радуга"", СКА ""Арена"". Это историческая часть Московского района, которая отличается богатой разнообразной инфраструктурой и удобной транспортной доступностью. До выезда на Московский проспект около 3 минут на автомобиле, до центра города  около 15 минут, столько же до развязки КАД и выезда на ЗСД.

 Без комиссии с Вашей стороны.

 Подойдет под любой вид деятельности.

Звоните, организуем просмотр в удобное Вам время!","[['Парк Победы', '5 мин.'], ['Электросила', '5 мин.'], ['Бухарестская', '5 мин.']]",[]
3,https://spb.cian.ru/rent/commercial/301223600/,https://www.cian.ru/company/381085/,"Сдается Торговая площадь, 109,5 м²","109,5 м²",330 000 ₽/мес.,36 165 ₽ в год,1 из 18,Свободно,Санкт-Петербург,р-н Приморский,Озеро Долгое,Комендантский просп.,11Б,"Дом расположен прямо у ст. метро Комендантский пр. . Витрины. Мощность 12 кВт. Потолки 3,6 м. 
Хорошо просматривается. 
Окружение - плотная жилая застройка. 
Всегда высокий пешеходный и автомобильный трафик. 
 Отлично подойдет под банк, магазин, мед.центр, лабораторию, детский центр. 
Парковка перед входом. Объект 1316-18178.","[['Комендантский проспект', '3 мин.'], ['Комендантский проспект', '3 мин.']]",[]
4,https://spb.cian.ru/rent/commercial/301222492/,,"Сдается Свободное назначение, 77,5 м²","77,5 м²",116 250 ₽/мес.,18 000 ₽ в год,1 из 25,Свободно,Санкт-Петербург,р-н Невский,Невский,ул. Архивная,7,"Сдам коммерческое помещение 77,5 кв м 

Стежка пола выполнена 

15 квт

Вентиляция 

Высота потолков 3,4

Два витриннных окна 

Отдельный вход

Звоните, оперативно организуем просмотр!","[['Улица Дыбенко', '6 мин.'], ['Проспект Большевиков', '6 мин.'], ['Ломоносовская', '6 мин.']]",[]
5,https://spb.cian.ru/rent/commercial/301221939/,https://www.cian.ru/company/76606770/,"Сдается Свободное назначение, 24,4 м²","24,4 м²",65 000 ₽/мес.,31 968 ₽ в год,1 из 21,Свободно,Санкт-Петербург,р-н Приморский,Озеро Долгое,Полевая Сабировская ул.,45к1,"Реализация помещения в субаренду, расположенного по адресу: Полевая Сабировская улица, д. 45, в районе станции м. Пионерская, ЖК Богатырь 3.
ЖК ""Богатырь"" - это кирпично-монолитный 21-этажный дом с подземным паркингом, коммерческой площадью и детским садом на первом этаже, в корпусе 1498 квартир.  
Поблизости несколько торговых центров: ""Богатырский"", ""Интерио"", ""Метро"", ""Максидом"". В пешей доступности три школы и две гимназии. Выезд на ЗСД обеспечен по Богатырскому проспекту в 3,5 км. 

Параметры:
1 этаж, витринные окна
Sобъекта  24,4 м2
Высота потолков  3,2 м
Эл. мощность  5 кВт
Возможность парковки автомобилей
Хорошее проходное и проездное месторасположение

Условия реализации:
Арендная плата: 65 000 рублей в месяц (+ ком. услуги)

Возможное назначение:
Торговля
Кофейня
Сфера услуг
Сетевой ритейл

Позвоните нам, значительная часть наших объектов не публикуется в рекламе. Мы поможем выбрать идеальное помещение для Вашего бизнеса.","[['Пионерская', '5 мин.'], ['Старая Деревня', '5 мин.'], ['Комендантский проспект', '5 мин.']]",[]
6,https://spb.cian.ru/rent/commercial/301221813/,https://www.cian.ru/company/76606770/,"Сдается Свободное назначение, 86,4 м²","86,4 м²",160 000 ₽/мес.,22 223 ₽ в год,1 из 21,Свободно,Санкт-Петербург,р-н Приморский,Озеро Долгое,Полевая Сабировская ул.,45к1,"Реализация помещения в субаренду, расположенного по адресу: Полевая Сабировская улица, д. 45, в районе станции м. Пионерская, ЖК Богатырь 3.
ЖК ""Богатырь"" - это кирпично-монолитный 21-этажный дом с подземным паркингом, коммерческой площадью и детским садом на первом этаже, в корпусе 1498 квартир.  
Поблизости несколько торговых центров: ""Богатырский"", ""Интерио"", ""Метро"", ""Максидом"". В пешей доступности три школы и две гимназии. Выезд на ЗСД обеспечен по Богатырскому проспекту в 3,5 км. 

Параметры:
1 этаж, витринные окна
Sобъекта  86,4 м2
Высота потолков  3,2 м
Эл. мощность  15 кВт
Возможность парковки автомобилей
Хорошее проходное и проездное месторасположение

Условия реализации:
Арендная плата: 160 000 рублей в месяц (+ ком. услуги)

Возможное назначение:
Торговля
Аптека
Сфера услуг
Кафе/пекарня
Сетевой ритейл
Пункт выдачи

Позвоните нам, значительная часть наших объектов не публикуется в рекламе. Мы поможем выбрать идеальное помещение для Вашего бизнеса.","[['Пионерская', '5 мин.'], ['Старая Деревня', '5 мин.'], ['Комендантский проспект', '5 мин.']]",[]
7,https://spb.cian.ru/rent/commercial/301219385/,,"Сдается Свободное назначение, 63 м²",63 м²,138 600 ₽/мес.,26 400 ₽ в год,1 из 22,Свободно,Санкт-Петербург,р-н Невский,Невский,ул. Архивная,11к1,"Сдам коммерческое помещение с качественным ремонтом 63 кв м
Два витринах окна
Отдельный вход
20 квт 
Вентиляция 
Помещение свободного назначения
Звоните , оперативно организуем просмотр!","[['Улица Дыбенко', '6 мин.'], ['Проспект Большевиков', '6 мин.'], ['Новочеркасская', '6 мин.']]",[]
8,https://spb.cian.ru/rent/commercial/301218137/,https://www.cian.ru/company/76606770/,"Сдается Свободное назначение, 109,4 м²","109,4 м²",220 000 ₽/мес.,24 132 ₽ в год,1 из 13,Свободно,Санкт-Петербург,р-н Калининский,Прометей,просп. Просвещения,75,"Реализация помещения в аренду, расположенного по адресу: проспект Просвещения, д. 75.
Хороший пешеходный трафик, плотная жилая застройка, население района более 500 тыс. человек. В окружении станции м. ""Гражданский проспект"" и м. ""Проспект Просвещения"". Поблизости находятся крупные гипермаркеты, поликлиники, школы, детские сады и пр. учреждения, рядом остановки общественного транспорта.

Параметры:
1 этаж, огромные витрины
Sпомещения  109.4 м2
Высота потолков  3.51-3.83 м
Эл. мощность  20 кВт
Удобная парковка для автомобилей
Активное проходное и проездное месторасположение
Собственник  физическое лицо
Срок окончания ремонтных работ - май 2024 года

Условия реализации:
Договор прямой аренды от собственника
Арендная плата: 220 000 руб/мес + КУ, НДС не облагается

Возможное назначение:
Торговля
Аптека
Сфера услуг
Кафе/пекарня
Сетевой ритейл

Позвоните нам, значительная часть наших объектов не публикуется в рекламе. Мы поможем выбрать идеальное помещение для Вашего бизнеса.","[['Гражданский проспект', '13 мин.'], ['Девяткино', '13 мин.'], ['Политехническая', '13 мин.']]",[]
9,https://spb.cian.ru/rent/commercial/301218014/,https://www.cian.ru/company/76606770/,"Сдается Свободное назначение, 155,5 м²","155,5 м²",311 000 ₽/мес.,24 000 ₽ в год,1 из 13,Свободно,Санкт-Петербург,р-н Калининский,Прометей,просп. Просвещения,75,"Реализация помещения в аренду, расположенного по адресу: проспект Просвещения, д. 75.
Хороший пешеходный трафик, плотная жилая застройка, население района более 500 тыс. человек. В окружении станции м. ""Гражданский проспект"" и м. ""Проспект Просвещения"". Поблизости находятся крупные гипермаркеты, поликлиники, школы, детские сады и пр. учреждения, рядом остановки общественного транспорта.

Параметры:
1 этаж, огромные витрины
Sпомещения  155.5 м2
Высота потолков  3.51-3.83 м
Эл. мощность  40 кВт
Удобная парковка для автомобилей
Разгрузочные ворота со двора + дополнительный выход во двор
Выделенный вентиляционный канал
Активное проходное и проездное месторасположение
Собственник  физическое лицо
Срок окончания ремонтных работ - май 2024 года

Условия реализации:
Договор прямой аренды от собственника
Арендная плата: 311 000 руб/мес + КУ, НДС не облагается

Возможное назначение:
Торговля
Сфера услуг
Салон красоты
Кафе/пекарня
Сетевой ритейл
Клиентский офис

Позвоните нам, значительная часть наших объектов не публикуется в рекламе. Мы поможем выбрать идеальное помещение для Вашего бизнеса.","[['Гражданский проспект', '13 мин.'], ['Девяткино', '13 мин.'], ['Политехническая', '13 мин.']]",[]
