,price_per_square,full_price,rent_per_month,squares,max_floor,latitude,longitude,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_square_m,distance_to_center,population,mean_distr_pps,pop_per_park
0,252200.4,7067312.0,60000.0,20.0,1.0,30.234184,59.944625,1.0,1.0,1.0,56.0,3000.0,8.71,206680,261970.0192,38626.59418931584
1,342781.0,9481312.0,60000.0,20.0,1.0,30.283933,60.023596,0.0,0.0,0.0,40.0,3000.0,5.29,699243,279766.9102439024,27590.424420939886
2,332892.0,8550000.0,60000.0,20.0,1.0,30.291066,59.957575,1.0,2.0,2.0,69.0,3000.0,2.59,115757,288191.65576923074,47593.4821261213
3,351785.8,11040000.0,80000.0,20.0,1.0,30.317782,59.864593,0.0,1.0,3.0,76.0,4000.0,3.67,335221,284126.8703125,52421.80639978578
4,332892.0,8550000.0,20000.0,20.0,2.0,30.299321,60.001671,0.0,1.0,2.0,74.0,1000.0,3.53,699243,279766.9102439024,51042.285178738784
5,251691.6,6704640.0,60000.0,20.0,3.0,30.370153,60.050179,0.0,0.0,0.0,41.0,3000.0,8.79,541590,225573.17423312887,28280.18503146338
6,209594.2,7024840.0,39000.0,20.0,3.0,30.418186,60.034978,1.0,1.0,1.0,60.0,1950.0,12.95,536794,261699.96749999997,41385.63663140983
7,251069.4,8039312.0,30000.0,20.0,5.0,30.218563,59.85111,0.0,0.0,0.0,57.0,1500.0,11.13,431546,282094.2408163265,39316.35479983933
8,205206.6,7348200.0,50000.0,20.0,6.0,30.405978,59.719555,0.0,0.0,0.0,21.0,2500.0,15.73,263732,189180.75698924728,14484.97282099344
9,252200.4,7067312.0,65000.0,20.0,9.0,30.230627,59.938257,0.0,0.0,1.0,59.0,3250.0,9.1,206680,261970.0192,40695.87602088633
10,329642.2,9518000.0,80000.0,20.0,9.0,30.321536,59.985831,0.0,0.0,0.0,99.0,4000.0,2.69,699243,279766.9102439024,68286.30044182621
11,321331.6,9120000.0,49999.0,20.0,9.0,30.347462,59.853885,0.0,0.0,0.0,48.0,2499.95,5.79,335221,284126.8703125,33108.50930512786
12,205206.6,7348200.0,30000.0,20.0,9.0,30.405978,59.719555,0.0,0.0,0.0,21.0,1500.0,15.73,263732,189180.75698924728,14484.97282099344
13,329642.2,9518000.0,40000.0,20.0,7.2,30.32018,59.925155,2.0,5.0,7.0,30.0,2000.0,1.04,155981,277500.88611111115,20692.818315704913
14,305832.6,7810000.0,23000.0,20.0,6.8,30.365868,59.938861,0.0,0.0,2.0,31.0,1150.0,5.94,200654,254919.1581632653,21382.578926228412
15,190705.6,6174840.0,20000.0,20.0,7.8,30.414521,60.036097,0.0,1.0,1.0,63.0,1000.0,12.6,536794,261699.96749999997,43454.91846298032
16,281912.4,7967312.0,63000.0,21.0,2.0,30.257532,59.984467,0.0,1.0,2.0,91.0,3000.0,6.51,699243,279766.9102439024,62768.215557638236
17,317440.0,8958000.0,45000.0,21.0,9.0,30.326441,60.002279,0.0,0.0,0.0,77.0,2142.8571428571427,3.68,541590,225573.17423312887,53111.56701030928
18,247455.0,8310319.6,65000.0,22.0,25.0,30.204962,60.033908,0.0,0.0,0.0,19.0,2954.5454545454545,12.7,699243,279766.9102439024,13105.451599946446
19,235881.2,7590000.0,55000.0,22.0,25.0,30.363209,59.831865,0.0,0.0,0.0,38.0,2500.0,7.88,335221,284126.8703125,26210.90319989289
