,price_per_square,full_price,rent_per_month,squares,max_floor,latitude,longitude,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_square_m,distance_to_center,Pushkinsky,Kolpinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,Kronshtadtsky,Kurortny,Petrodvortsovy,population,mean_distr_pps
0,252200.4,7067312.0,60000.0,20.0,1.0,30.234184,59.944625,1.0,1.0,1.0,56.0,3000.0,8.71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,206680,261970.0192
1,342781.0,9481312.0,60000.0,20.0,1.0,30.283933,60.023596,0.0,0.0,0.0,40.0,3000.0,5.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
2,332892.0,8550000.0,60000.0,20.0,1.0,30.291066,59.957575,1.0,2.0,2.0,69.0,3000.0,2.59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,115757,288191.65576923074
3,351785.8,11040000.0,80000.0,20.0,1.0,30.317782,59.864593,0.0,1.0,3.0,76.0,4000.0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335221,284126.8703125
4,332892.0,8550000.0,20000.0,20.0,2.0,30.299321,60.001671,0.0,1.0,2.0,74.0,1000.0,3.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
5,251691.6,6704640.0,60000.0,20.0,3.0,30.370153,60.050179,0.0,0.0,0.0,41.0,3000.0,8.79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,541590,225573.17423312887
6,209594.2,7024840.0,39000.0,20.0,3.0,30.418186,60.034978,1.0,1.0,1.0,60.0,1950.0,12.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,536794,261699.96749999997
7,251069.4,8039312.0,30000.0,20.0,5.0,30.218563,59.85111,0.0,0.0,0.0,57.0,1500.0,11.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,431546,282094.2408163265
8,205206.6,7348200.0,50000.0,20.0,6.0,30.405978,59.719555,0.0,0.0,0.0,21.0,2500.0,15.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,189180.75698924728
9,252200.4,7067312.0,65000.0,20.0,9.0,30.230627,59.938257,0.0,0.0,1.0,59.0,3250.0,9.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,206680,261970.0192
10,329642.2,9518000.0,80000.0,20.0,9.0,30.321536,59.985831,0.0,0.0,0.0,99.0,4000.0,2.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
