,squares,full_price,price_per_square,free,max_floor,latitude,longitude
0,131.63,41000000.0,311480.0,0,2.0,30.082621,59.724677
1,145.1,37000000.0,254997.0,0,5.0,30.316138,59.911854
2,73.5,26000000.0,353742.0,0,7.0,30.301127,59.912368
3,33.9,6441000.0,190000.0,0,9.0,30.449978,59.956836
4,89.4,14900000.0,166667.0,0,5.0,30.325543,59.926372
5,95.82,35185104.0,367200.0,0,7.0,30.268635,59.943372
6,227.36,81167520.0,357000.0,0,7.0,30.268635,59.943372
7,57.61,22329636.0,387600.0,0,7.0,30.268635,59.943372
8,63.92,24775392.0,387600.0,0,7.0,30.268635,59.943372
9,57.91,18394822.0,317646.0,0,9.0,30.404316,59.938175
10,66.27,21050334.0,317645.0,0,9.0,30.404316,59.938175
11,58.88,18702938.0,317646.0,0,9.0,30.404316,59.938175
12,82.24,25239209.0,306897.0,0,9.0,30.404316,59.938175
13,90.09,30927807.0,343300.0,0,9.0,30.404316,59.938175
14,54.59,17340241.0,317646.0,0,9.0,30.404316,59.938175
15,69.77,23226154.0,332897.0,0,9.0,30.404316,59.938175
16,78.22,28500000.0,364357.0,0,9.0,30.404316,59.938175
17,72.0,18400000.0,255556.0,0,20.0,30.230537,60.035962
18,61.63,18735500.0,304000.0,0,13.0,30.377394,60.017499
19,68.79,17197500.0,250000.0,0,13.0,30.377394,60.017499
20,51.1,12620000.0,246967.0,0,16.0,30.368563,59.885142
21,45.2,11187000.0,247500.0,0,16.0,30.368563,59.885142
22,175.0,30000000.0,171429.0,1,10.0,30.469974,59.911101
23,73.7,8055000.0,109295.0,0,23.0,30.360434,60.042779
24,68.5,7487000.0,109300.0,0,23.0,30.360434,60.042779
25,60.0,21000000.0,350000.0,0,25.0,30.199195,60.038573
26,20.0,5750000.0,287500.0,0,1.0,30.37009,59.932811
27,192.5,49000000.0,254546.0,0,26.0,30.356625,59.839642
28,55.0,7400000.0,134546.0,0,1.0,30.349627,59.932202
29,145.8,24057000.0,165000.0,0,9.0,30.157064,59.840438
30,72.1,9300000.0,128988.0,0,9.0,30.447813,59.95593
31,64.8,5500000.0,84877.0,0,5.0,30.472355,59.929687
32,110.7,36000000.0,325204.0,1,25.0,30.269021,60.057774
33,55.0,4900000.0,89091.0,1,5.0,30.386727,59.947041
34,67.4,9700000.0,143917.0,0,5.0,30.302663,59.968633
35,37.52,8800000.0,234542.0,0,14.0,30.372291,59.831173
36,263.0,45000000.0,171103.0,0,5.0,30.287868,59.986484
37,76.0,18700000.0,246053.0,0,2.0,30.363075,60.052483
38,43.0,13490000.0,313721.0,0,5.0,30.348297,59.945544
39,116.1,20900000.0,180018.0,0,14.0,30.361844,59.809202
40,37.0,2850000.0,77028.0,0,1.0,30.375516,59.936282
41,230.0,30000000.0,130435.0,0,5.0,30.25039,59.952078
42,70.0,25100000.0,358572.0,0,25.0,30.21558,59.984278
43,60.0,15000000.0,250000.0,0,5.0,30.379343,59.857418
44,122.8,16500000.0,134365.0,0,5.0,30.325211,59.91784
45,78.0,19500000.0,250000.0,0,13.0,30.327043,59.991804
46,165.6,60000000.0,362319.0,0,11.0,30.329451,59.985462
47,83.0,16500000.0,198796.0,0,25.0,30.377618,59.802418
48,65.8,15500000.0,235563.0,0,5.0,30.368141,59.935367
49,27.0,3990000.0,147778.0,0,5.0,30.350274,59.916618
50,59.8,15200000.0,254181.0,0,28.0,30.340985,60.075016
51,111.8,25000000.0,223614.0,0,6.0,30.289224,59.922914
52,39.0,7800000.0,200000.0,0,9.0,30.474008,59.862352
53,39.1,9500000.0,242967.0,0,6.0,30.294192,59.920303
54,47.1,10500000.0,222930.0,0,17.0,30.223512,60.02793
55,145.8,10800000.0,74075.0,0,8.0,30.25551,59.937269
56,155.0,26900000.0,173549.0,0,25.0,30.382658,59.803671
57,32.4,3800000.0,117284.0,0,6.0,30.373836,59.933645
58,144.0,33000000.0,229167.0,0,8.0,30.327079,59.961854
59,227.7,12800000.0,56215.0,0,5.0,30.414359,59.950479
60,78.3,16364700.0,209000.0,0,4.0,30.107827,59.834189
61,47.9,16000000.0,334030.0,0,3.0,30.359679,59.918526
62,48.8,11500000.0,235656.0,0,4.0,30.345863,59.925146
63,215.0,24900000.0,115814.0,0,5.0,30.343132,60.036488
64,155.3,35000000.0,225371.0,0,17.0,30.311143,60.014832
65,113.8,44729999.0,393058.0,0,10.0,30.15012,59.861038
66,170.1,52000000.0,305703.0,0,14.0,30.31329,59.866468
67,35.5,12900000.0,363381.0,0,6.0,30.37566,59.925453
68,163.6,48000000.0,293399.0,0,12.0,30.327582,60.033499
69,44.0,13900000.0,315910.0,0,5.0,30.379343,59.857418
70,224.9,47200000.0,209872.0,0,6.0,30.322812,59.86148
71,53.0,12000000.0,226416.0,0,5.0,30.302699,59.922792
72,63.7,10200000.0,160126.0,0,25.0,30.375507,59.802929
73,98.0,19404500.0,198006.0,0,24.0,30.511773,59.866274
74,55.4,23000000.0,415163.0,0,5.0,30.330232,59.854567
75,119.2,28500000.0,239094.0,0,6.0,30.346096,59.918652
76,49.0,16750000.0,341837.0,1,12.0,30.488551,59.951506
77,30.1,13000000.0,431894.0,0,5.0,30.31002,59.851467
78,185.7,25930000.0,139634.0,0,11.0,30.387329,59.982154
79,106.5,24000000.0,225353.0,0,6.0,30.255079,59.947306
80,44.2,8000000.0,180996.0,0,5.0,30.329819,59.915156
81,65.0,7500000.0,115385.0,0,5.0,30.304873,59.926607
82,253.0,47000000.0,185771.0,1,1.0,30.288353,59.942985
83,151.3,19000000.0,125579.0,0,5.0,30.319309,59.931265
84,93.2,25000000.0,268241.0,0,15.0,30.252896,59.955939
85,204.0,13800000.0,67648.0,0,5.0,30.329594,59.913884
86,162.0,38400000.0,237038.0,0,5.0,30.306553,59.970736
87,65.5,19500000.0,297710.0,0,5.0,30.396699,59.85365
88,61.0,17000000.0,278689.0,0,7.0,30.304792,59.954628
89,160.0,27000000.0,168750.0,0,20.0,30.433565,59.935205
90,143.0,34000000.0,237763.0,0,2.0,30.364781,60.052272
91,110.0,25000000.0,227273.0,0,2.0,30.364781,60.052272
92,81.5,16500000.0,202454.0,0,4.0,30.34253,59.908222
93,63.1,13838000.0,219303.0,0,23.0,30.321285,60.081722
94,243.0,51050000.0,210083.0,0,5.0,30.288299,59.904541
95,80.0,10500000.0,131250.0,0,5.0,30.307065,59.919725
96,22.7,4500000.0,198238.0,0,1.0,30.361898,59.944111
97,151.0,20449999.0,135431.0,0,1.0,30.358493,59.918151
98,28.0,12000000.0,428572.0,1,9.0,30.374124,59.869562
99,27.0,11900000.0,440741.0,1,7.0,30.346016,59.92023
100,203.6,32500000.0,159627.0,0,19.0,30.237463,60.036299
101,71.9,18543010.0,257900.0,0,24.0,30.277061,60.059683
102,57.63,10109400.0,175420.0,0,5.0,30.626928,59.753645
103,121.0,30250000.0,250000.0,0,4.0,30.430933,59.925335
104,143.0,35750000.0,250000.0,0,4.0,30.430933,59.925335
105,271.0,67750000.0,250000.0,0,4.0,30.430933,59.925335
106,207.0,51750000.0,250000.0,0,4.0,30.430933,59.925335
107,298.0,74500000.0,250000.0,0,4.0,30.430933,59.925335
108,73.5,23500000.0,319728.0,0,7.0,30.302124,59.912414
109,137.2,32242000.0,235000.0,0,17.0,30.334391,59.987753
110,106.7,21500000.0,201500.0,0,13.0,30.336574,59.988469
111,143.9,35500000.0,246700.0,0,6.0,30.326998,59.956444
112,102.6,11000000.0,107213.0,0,5.0,30.38167,59.933947
113,102.0,14900000.0,146079.0,0,5.0,30.288658,59.912589
114,62.8,11600000.0,184714.0,0,10.0,30.364799,60.043848
115,96.7,17300000.0,178904.0,0,4.0,30.158834,59.998405
116,126.47,56911500.0,450000.0,0,11.0,30.338083,59.880582
117,183.0,45000000.0,245902.0,1,1.0,30.31108,59.870849
118,250.0,24900000.0,99600.0,0,5.0,30.260065,59.870858
119,130.1,34216000.0,262998.0,0,26.0,30.363012,60.044469
120,51.7,18200000.0,352031.0,0,4.0,30.302555,59.949555
