,squares,full_price,price_per_square,max_floor,latitude,longitude,Devyatkino,Grazhdanskii prospekt,Akademicheskaya,Politekhnicheskaya,Ploshchad Muzhestva,Lesnaia,Vyborgskaia,Ploshchad Lenina,Chernyshevskaia,Ploshchad Vosstaniia,Vladimirskaia,Pushkinskaia,Tekhnologicheskii institut-2,Baltiiskaia,Narvskaia,Kirovskii zavod,Avtovo,Leninskii prospekt,Prospekt Veteranov,Parnas,Prospekt Prosviashcheniia,Ozerki,Udelnaia,Pionerskaia,Chernaia Rechka,Petropavlovskaia,Gorkovskaia,Nevskii prospekt,Sennaia ploshchad,Tekhnologicheskii institut-1,Frunzenskaia,Moskovskie vorota,Elektrosila,Park Pobedy,Moskovskaia,Zvezdnaia,Kupchino,Spasskaia,Dostoevskaia,Ligovskii prospekt,Ploshchad Aleksandra Nevskogo-2,Novocherkasskaia,Ladozhskaia,Prospekt Bolshevikov,Ulitsa Dybenko,Komendantskii prospekt,Staraia Derevnia,Krestovskii ostrov,Chkalovskaia,Sportivnaia,Admiralteiskaia,Sadovaia,Zvenigorodskaia,Obvodnyi kanal,Volkovskaia,Bukharestskaia,Mezhdunarodnaia,Prospekt Slavy,Dunaia,Shushary,Begovaya,Zenit,Primorskaia,Vasileostrovskaia,Gostinii dvor,Maiakovskaia,Ploshchad Aleksandra Nevskogo-1,Elizarovskaia,Lomonosovskaia,Proletarskaia,Obukhovo,Rybackoe,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_month
0,20.0,7067312.0,252200.4,1.0,30.234184,59.944625,25.37,30.22,23.81,20.96,18.32,15.52,14.97,12.4,12.64,13.52,13.98,14.07,12.71,10.73,9.5,7.48,4.93,4.19,4.5,5.61,4.85,12.5,12.04,10.65,9.65,7.43,7.64,8.66,9.43,10.36,9.64,9.47,9.44,9.63,9.87,10.4,10.71,13.87,16.68,9.49,12.47,13.5,16.63,19.73,22.81,25.89,27.78,3.87,3.03,3.06,6.49,6.03,9.01,9.31,11.34,12.92,13.99,15.34,16.54,18.46,20.34,22.99,3.93,2.72,0.17,4.9,10.97,13.48,16.83,21.22,23.33,26.59,1.0,1.0,1.0,56.0,60000.0
1,20.0,9481312.0,342781.0,1.0,30.283933,60.023596,21.6,26.43,17.71,14.94,12.49,9.7,9.28,7.0,7.53,8.67,9.36,9.73,8.63,7.23,6.51,5.86,5.81,7.07,7.63,8.21,9.0,5.97,5.59,4.27,3.54,1.74,2.62,4.14,5.1,6.49,6.24,6.51,6.85,7.46,8.05,8.79,9.45,12.04,14.26,6.15,8.41,9.48,12.22,15.05,17.96,21.12,23.12,2.92,3.56,3.61,3.12,3.52,5.5,6.02,7.65,9.14,10.5,11.92,13.24,15.18,17.16,19.88,9.17,8.32,6.43,3.86,7.02,9.21,12.39,16.98,19.26,22.52,0.0,0.0,0.0,40.0,60000.0
2,20.0,8550000.0,332892.0,1.0,30.291066,59.957575,19.5,24.37,17.61,14.74,12.04,9.27,8.68,6.08,6.29,7.19,7.69,7.84,6.54,4.72,3.69,2.62,3.21,4.86,5.36,5.6,6.85,7.26,6.58,5.22,3.99,2.26,1.74,2.31,3.09,4.17,3.61,3.67,3.88,4.4,4.94,5.66,6.28,9.05,11.49,3.48,6.29,7.37,10.42,13.48,16.53,19.65,21.57,4.34,4.25,3.57,0.2,0.47,2.88,3.31,5.27,6.87,8.11,9.53,10.82,12.77,14.74,17.46,9.92,8.83,6.29,1.59,4.78,7.27,10.62,15.12,17.32,20.59,1.0,2.0,2.0,69.0,60000.0
3,20.0,11040000.0,351785.8,1.0,30.317782,59.864593,15.6,20.39,17.38,14.6,11.86,9.68,8.98,6.9,6.44,6.41,6.3,5.92,4.71,3.18,2.64,2.92,5.08,6.25,6.32,5.54,7.38,10.54,9.71,8.77,7.68,7.22,6.3,5.17,4.64,3.77,3.19,2.62,2.1,1.39,0.75,0.46,0.82,3.88,6.68,3.16,4.57,5.09,7.96,11.0,14.03,16.86,18.58,9.52,9.13,8.25,5.54,5.33,3.62,3.16,3.58,4.41,4.79,5.84,6.85,8.65,10.44,13.04,13.93,12.72,10.03,5.8,3.94,5.45,8.16,11.92,13.8,16.96,0.0,1.0,3.0,76.0,80000.0
4,20.0,5750000.0,287500.0,1.0,30.37009,59.932811,10.64,7.97,5.39,4.24,3.74,4.02,3.28,2.07,1.3,1.06,2.45,4.49,5.77,7.94,10.7,12.32,12.57,12.05,13.87,8.27,7.61,7.73,7.51,8.93,8.18,6.75,5.83,4.76,5.52,5.8,6.01,6.19,6.39,6.43,6.83,5.91,5.8,5.67,2.68,1.79,1.57,4.61,7.68,10.77,12.69,12.99,13.09,12.45,8.79,9.14,6.12,5.85,3.87,2.47,2.42,2.74,3.66,5.17,7.02,9.61,18.8,17.69,15.08,10.22,4.15,1.65,1.75,6.33,8.61,11.87,10.97,15.78,0.0,0.0,0.0,0.0,109072.0
5,20.0,8550000.0,332892.0,2.0,30.299321,60.001671,19.59,24.42,16.17,13.34,10.78,7.97,7.48,5.08,5.56,6.68,7.36,7.72,6.63,5.32,4.75,4.61,5.49,7.07,7.6,7.91,9.07,5.07,4.47,3.07,1.96,0.3,0.81,2.21,3.14,4.55,4.4,4.75,5.16,5.83,6.46,7.19,7.89,10.26,12.36,4.33,6.41,7.48,10.22,13.08,16.02,19.18,21.16,4.56,4.94,4.64,2.13,2.77,3.7,4.23,5.7,7.16,8.52,9.94,11.26,13.19,15.17,17.88,10.77,9.81,7.59,3.67,5.04,7.2,10.39,14.98,17.26,20.52,0.0,1.0,2.0,74.0,20000.0
6,20.0,6704640.0,251691.6,3.0,30.370153,60.050179,15.48,19.78,8.06,5.42,3.59,2.31,2.83,4.57,5.01,5.39,5.94,6.64,7.14,8.26,9.11,10.81,13.01,14.76,15.2,15.14,16.69,4.12,4.17,5.41,6.32,8.54,8.42,7.88,7.59,7.78,8.57,9.14,9.63,10.2,10.74,11.17,11.82,12.07,12.33,8.67,7.17,7.31,7.28,8.37,10.35,13.29,15.29,12.6,13.14,12.91,9.82,10.46,8.61,8.77,7.9,7.75,8.6,9.27,10.15,11.36,12.93,15.17,18.86,17.98,15.86,11.6,7.51,6.74,7.3,10.74,12.93,15.76,0.0,0.0,0.0,41.0,60000.0
7,20.0,7024840.0,209594.2,3.0,30.418186,60.034978,12.36,15.92,2.88,0.01,2.78,5.47,6.09,8.69,8.68,8.27,8.3,8.74,9.9,11.69,12.85,14.89,17.43,19.17,19.54,19.27,20.98,9.53,9.55,10.71,11.45,13.63,13.32,12.45,11.88,11.53,12.39,12.88,13.26,13.66,14.02,14.22,14.71,13.78,12.85,12.53,10.05,9.58,7.59,6.4,6.7,8.99,10.84,17.82,18.28,17.94,14.57,15.14,12.7,12.68,11.15,10.24,10.39,10.3,10.55,10.85,11.71,13.19,24.08,23.15,20.88,16.32,11.06,9.17,7.46,8.39,10.02,12.11,1.0,1.0,1.0,60.0,39000.0
8,20.0,8039312.0,251069.4,5.0,30.218563,59.85111,26.61,31.35,26.88,23.99,21.26,18.53,17.91,15.31,15.37,16.04,16.33,16.24,14.85,12.81,11.53,9.36,6.64,4.98,4.77,5.54,3.75,16.23,15.67,14.27,13.13,10.98,10.93,11.57,12.13,12.69,11.86,11.51,11.28,11.21,11.21,11.51,11.55,14.58,17.48,11.71,14.63,15.54,18.66,21.79,24.88,27.82,29.59,8.03,7.14,6.87,9.52,8.9,11.4,11.54,13.43,14.88,15.67,16.86,17.9,19.67,21.39,23.88,5.72,4.91,4.41,7.74,13.26,15.67,18.87,22.93,24.85,28.01,0.0,0.0,0.0,57.0,30000.0
9,20.0,5350000.0,267500.0,5.0,30.321033,59.94179,14.85,11.97,9.2,6.6,5.93,3.43,3.3,3.93,4.33,4.43,3.11,1.48,1.3,2.93,5.49,7.21,7.57,7.32,9.0,6.61,5.78,4.86,3.84,4.06,3.13,1.63,0.77,0.77,0.75,1.32,1.85,2.55,3.19,3.84,4.58,6.5,8.52,0.79,2.87,3.96,7.01,10.08,13.15,16.25,18.16,7.66,7.67,6.99,3.35,3.66,0.72,0.84,1.92,3.49,4.79,6.22,7.53,9.49,11.46,14.19,13.33,12.21,9.62,4.75,1.36,3.85,7.2,11.7,13.9,17.18,16.12,20.98,0.0,0.0,6.0,0.0,109232.0
