,squares,rent_per_month,max_floor,latitude,longitude
0,22.9,29770.0,3.0,30.343905,59.965966
1,91.0,110000.0,16.0,30.200363,59.934109
2,70.0,110000.0,12.0,30.344677,59.873735
3,109.5,330000.0,18.0,30.262355,60.006575
4,77.5,116250.0,25.0,30.446151,59.902303
5,24.4,65000.0,21.0,30.275094,59.994868
6,86.4,160000.0,21.0,30.275094,59.994868
7,63.0,138600.0,22.0,30.450517,59.903986
8,109.4,220000.0,13.0,30.40137,60.038542
9,155.5,311000.0,13.0,30.40137,60.038542
10,54.1,135000.0,13.0,30.40137,60.038542
11,28.0,49980.0,5.0,30.312419,59.864064
12,50.0,100000.0,4.0,30.285891,59.921646
13,53.0,110000.0,9.0,30.334293,59.875411
14,171.0,427500.0,9.0,30.387428,59.858349
15,99.6,239040.0,4.0,30.320548,59.927667
16,37.7,94250.0,5.0,30.109211,59.835894
17,43.0,45000.0,,30.323683,59.929037
21,98.0,98000.0,16.0,30.242009,59.986677
22,166.1,220000.0,4.0,30.204836,59.834139
23,140.0,180000.0,10.0,30.359041,59.808794
24,131.0,180000.0,5.0,30.279594,59.944787
26,159.0,398000.0,,30.314125,59.934159
27,96.0,528000.0,1.0,30.306894,59.970254
28,175.1,280160.0,20.0,30.199949,59.998247
29,44.0,48000.0,25.0,30.377618,59.802418
30,122.0,100000.0,5.0,30.304343,59.957476
31,44.8,58240.0,1.0,30.424142,59.864873
33,73.0,330000.0,1.0,30.474457,59.914268
35,31.0,62000.0,3.0,30.381194,59.802576
36,54.2,90000.0,24.0,30.512222,59.862587
37,90.5,300000.0,20.0,30.302142,59.999458
38,33.0,60000.0,5.0,30.414476,59.951285
39,56.2,123000.0,10.0,30.315275,59.879353
40,90.5,250000.0,7.0,30.320018,59.911141
45,93.0,350000.0,6.0,30.313631,59.906025
46,74.9,220000.0,16.0,30.439485,59.924488
48,151.0,155000.0,24.0,30.326046,59.926034
49,186.0,223000.0,4.0,30.186466,59.861593
50,96.0,135000.0,23.0,30.302142,59.999458
51,118.0,260000.0,25.0,30.376064,59.926702
55,89.9,224750.0,13.0,30.248189,59.936846
56,40.0,50000.0,1.0,30.31523,59.851209
57,58.0,70000.0,8.0,30.358655,59.946694
58,35.0,40000.0,5.0,30.263173,60.005549
59,20.0,40000.0,,30.32018,59.925155
61,150.15,300000.0,3.0,30.475319,59.966241
63,25.0,32500.0,6.0,30.453346,60.03567
64,95.1,104610.0,6.0,30.285891,59.921646
66,50.0,99000.0,4.0,30.14394,59.788493
67,57.0,65000.0,5.0,30.260262,59.866061
69,58.0,119422.0,7.0,30.332244,59.896097
70,31.0,50000.0,5.0,30.22883,59.960179
71,153.0,290000.0,9.0,30.22883,59.960179
72,105.0,126000.0,,30.478328,60.001815
73,167.0,167000.0,,30.259777,60.009049
74,63.0,130000.0,24.0,30.33723,59.934605
77,92.0,250000.0,3.0,30.219614,59.959278
80,29.0,72750.0,2.0,30.289512,59.908502
83,73.0,144000.0,1.0,30.389593,60.047083
84,80.0,141000.0,1.0,30.474008,59.862352
85,96.0,166000.0,1.0,30.390105,59.939329
86,112.0,155000.0,1.0,30.373028,60.045722
87,180.0,306000.0,5.0,30.474008,59.862352
89,36.0,80000.0,1.0,30.332999,60.075344
90,132.0,230000.0,16.0,30.465483,59.895772
91,90.0,150000.0,26.0,30.465483,59.895772
92,88.3,212000.0,15.0,30.465483,59.895772
93,58.1,151000.0,15.0,30.465483,59.895772
94,28.0,81200.0,15.0,30.470702,59.894897
95,39.5,110600.0,15.0,30.35181,59.932468
96,67.3,168250.0,15.0,30.488947,59.841089
98,80.0,104000.0,,30.488947,59.841089
99,23.0,42550.0,3.0,30.488947,59.841089
103,27.0,59400.0,1.0,30.317539,59.840659
109,77.0,84700.0,24.0,30.439773,59.959683
110,135.0,135000.0,3.0,30.327097,59.753242
111,180.0,180000.0,3.0,30.321536,59.985831
112,151.5,340450.0,5.0,30.25366,59.852366
113,49.5,194000.0,14.0,30.30755,59.897952
114,160.0,150000.0,14.0,30.390105,59.939329
115,135.0,77500.0,9.0,30.334499,59.95907
116,198.39,317424.0,5.0,30.450346,59.928528
118,150.0,75000.0,2.0,30.302169,59.958178
119,55.0,110000.0,6.0,30.274258,59.880983
120,37.2,81840.0,5.0,30.322561,59.937486
121,101.0,89000.0,,30.345701,59.909815
122,89.5,105000.0,5.0,30.199195,60.038573
124,62.4,180000.0,25.0,30.279998,59.844669
125,31.4,95000.0,25.0,30.343922,59.923978
126,36.0,37980.0,4.0,30.276639,59.903241
127,165.0,200000.0,,30.415554,60.036829
129,104.0,270400.0,18.0,30.313568,59.971533
130,20.0,30000.0,5.0,30.218563,59.85111
133,78.0,100000.0,6.0,30.370162,59.999782
134,31.0,70000.0,9.0,30.362311,59.924984
135,32.0,50000.0,,30.304621,59.960435
136,116.6,186560.0,2.0,30.323091,59.963998
137,71.3,149017.0,3.0,30.32098,59.876174
138,66.6,127000.0,5.0,30.383655,59.872042
140,62.0,120000.0,9.0,30.36329,59.835179
141,34.0,70000.0,9.0,30.247381,60.010124
142,25.0,66000.0,9.0,30.38246,59.92497
143,26.0,55000.0,10.0,30.343905,59.965966
144,109.9,350000.0,5.0,30.323279,59.913447
146,38.0,110000.0,5.0,30.328561,60.002099
148,112.0,257600.0,8.0,30.262329,60.006282
150,109.0,330000.0,11.0,30.320953,59.877398
151,89.2,110000.0,4.0,30.274698,59.852285
152,139.0,415000.0,7.0,30.327016,59.938166
153,120.0,200000.0,10.0,30.482371,59.945517
