,squares,max_floor,metro_1km,latitude,longitude,parkings_1km,distance_to_center,mean_distr_pps
0,20.0,1.0,1.0,59.944625,30.234184,56.0,8.71,261970.0192
1,20.0,1.0,0.0,60.023596,30.283933,40.0,5.29,279766.9102439024
2,20.0,1.0,2.0,59.957575,30.291066,69.0,2.59,288191.65576923074
3,20.0,1.0,3.0,59.864593,30.317782,76.0,3.67,284126.8703125
4,20.0,2.0,2.0,60.001671,30.299321,74.0,3.53,279766.9102439024
5,20.0,3.0,0.0,60.050179,30.370153,41.0,8.79,225573.17423312887
6,20.0,3.0,1.0,60.034978,30.418186,60.0,12.95,261699.9675
7,20.0,5.0,0.0,59.85111,30.218563,57.0,11.13,282094.2408163265
8,20.0,6.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
9,20.0,9.0,1.0,59.938257,30.230627,59.0,9.1,261970.0192
10,20.0,9.0,0.0,59.985831,30.321536,99.0,2.69,279766.9102439024
11,20.0,9.0,0.0,59.853885,30.347462,48.0,5.79,284126.8703125
12,20.0,9.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
13,20.0,7.2,7.0,59.925155,30.32018,30.0,1.04,277500.88611111115
14,20.0,6.8,2.0,59.938861,30.365868,31.0,5.94,254919.1581632653
15,20.0,7.8,1.0,60.036097,30.414521,63.0,12.6,261699.9675
16,21.0,2.0,2.0,59.984467,30.257532,91.0,6.51,279766.9102439024
17,21.0,9.0,0.0,60.002279,30.326441,77.0,3.68,225573.17423312887
18,22.0,25.0,0.0,60.033908,30.204962,19.0,12.7,279766.9102439024
19,22.0,25.0,0.0,59.831865,30.363209,38.0,7.88,284126.8703125
20,22.0,16.6,0.0,59.866761,30.159606,80.0,17.24,282094.2408163265
21,22.7,25.0,0.0,59.939956,30.394453,22.0,9.12,254919.1581632653
22,22.9,3.0,2.0,59.965966,30.343905,44.0,3.82,225573.17423312887
23,23.1,3.0,2.0,59.95694,30.318312,68.0,1.22,288191.65576923074
24,23.6,6.0,0.0,59.955939,30.252896,52.0,6.68,261970.0192
25,23.9,3.0,0.0,60.03567,30.235397,81.0,9.7,279766.9102439024
26,24.0,3.0,0.0,59.838019,30.177447,62.0,15.59,282094.2408163265
27,24.0,25.0,0.0,59.802576,30.381194,15.0,10.47,189180.75698924728
28,24.4,21.0,0.0,59.994868,30.275094,56.0,5.01,279766.9102439024
29,24.6,3.0,3.0,59.990012,30.256894,115.0,6.67,279766.9102439024
30,25.0,1.0,7.0,59.909788,30.317314,54.0,1.45,277500.88611111115
31,25.0,5.0,0.0,60.033908,30.204962,19.0,12.7,279766.9102439024
32,25.0,6.0,0.0,60.03567,30.453346,56.0,16.64,222474.55818181817
33,25.0,9.0,2.0,59.92497,30.38246,62.0,7.81,254919.1581632653
34,25.4,1.0,1.0,59.928217,30.41126,42.0,11.0,222474.55818181817
35,26.0,1.0,1.0,59.896946,30.306094,50.0,2.09,277500.88611111115
36,26.0,2.0,4.0,59.928194,30.346644,49.0,3.83,254919.1581632653
37,26.0,10.0,2.0,59.965966,30.343905,44.0,3.82,225573.17423312887
38,26.08,5.0,0.0,59.754121,30.308322,12.0,9.1,284126.8703125
39,26.1,9.0,0.0,59.812197,30.373693,32.0,9.48,189180.75698924728
40,27.0,1.0,1.0,59.840659,30.317539,53.0,4.86,284126.8703125
41,27.0,9.0,3.0,59.924984,30.362311,41.0,5.58,254919.1581632653
42,27.0,27.0,2.0,59.852565,30.26382,27.0,6.72,239969.54054054053
43,27.6,3.0,2.0,59.926359,30.376918,61.0,7.19,254919.1581632653
44,28.0,5.0,0.0,59.864064,30.312419,86.0,3.63,284126.8703125
45,28.0,9.0,2.0,59.869562,30.374124,82.0,7.73,245996.38888888888
46,28.0,15.0,0.0,59.894897,30.470702,31.0,17.76,218420.79166666663
47,28.2,6.0,6.0,59.933041,30.326055,20.0,1.53,254919.1581632653
48,28.96,5.0,0.0,59.754121,30.308322,12.0,9.1,284126.8703125
49,29.0,2.0,0.0,59.908502,30.289512,47.0,2.89,277500.88611111115
50,29.0,5.0,0.0,59.945855,30.388748,24.0,8.5,254919.1581632653
51,29.0,25.0,1.0,59.938703,30.389737,26.0,8.6,254919.1581632653
52,29.5,2.0,0.0,60.034474,30.207648,23.0,12.44,279766.9102439024
53,30.0,1.0,0.0,59.930264,30.246536,44.0,7.33,261970.0192
54,30.0,3.0,0.0,60.040177,30.368294,55.0,8.27,225573.17423312887
55,30.0,5.0,1.0,59.851598,30.313955,76.0,4.27,284126.8703125
56,30.0,5.0,0.0,59.987258,30.334598,70.0,3.58,225573.17423312887
57,30.0,23.0,0.0,60.040923,30.254926,55.0,8.06,279766.9102439024
58,30.4,5.0,1.0,59.885616,30.442773,17.0,14.77,218420.79166666663
59,30.6,9.0,1.0,59.86823,30.386071,74.0,8.97,245996.38888888888
60,30.7,5.0,1.0,59.838607,30.357397,67.0,7.16,284126.8703125
61,31.0,3.0,0.0,59.802576,30.381194,15.0,10.47,189180.75698924728
62,31.0,5.0,1.0,59.960179,30.22883,75.0,9.36,261970.0192
63,31.0,9.0,3.0,59.924984,30.362311,41.0,5.58,254919.1581632653
64,31.0,6.2,1.0,60.011941,30.262535,101.0,6.6,279766.9102439024
65,31.1,16.0,0.0,59.8977,30.330717,38.0,2.84,284126.8703125
66,31.3,3.0,1.0,59.969957,30.259966,51.0,6.04,288191.65576923074
67,31.3,10.0,1.0,59.935935,30.4072,29.0,10.54,222474.55818181817
68,31.4,5.0,1.0,59.885616,30.442773,17.0,14.77,218420.79166666663
69,31.4,25.0,4.0,59.923978,30.343922,76.0,3.56,254919.1581632653
70,31.6,9.0,2.0,59.924835,30.381095,63.0,7.66,254919.1581632653
71,31.8,3.0,1.0,59.982748,30.336763,65.0,3.6,225573.17423312887
72,31.8,5.0,1.0,60.037063,30.33149,83.0,5.55,225573.17423312887
73,32.0,1.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
74,32.0,18.0,1.0,59.912414,30.302124,58.0,1.66,277500.88611111115
75,32.0,20.0,1.0,60.003232,30.209391,109.0,11.84,279766.9102439024
