,squares,max_floor,metro_1km,latitude,longitude,parkings_1km,distance_to_center,mean_distr_pps
105,37.0,1.0,0.0,59.936282,30.375516,50.0,7.02,254919.1581632653
1335,165.0,5.0,0.0,60.073876,30.243015,30.0,10.01,225573.17423312887
384,63.0,16.0,0.0,59.987226,30.310128,84.0,2.54,279766.9102439024
131,40.0,1.0,0.0,60.041251,30.241901,63.0,9.22,279766.9102439024
1197,143.0,4.0,0.0,59.925335,30.430933,27.0,13.19,222474.55818181817
881,103.0,13.0,0.0,60.03625,30.194928,5.0,13.77,279766.9102439024
409,65.0,5.0,4.0,59.943791,30.354559,27.0,4.7,254919.1581632653
480,71.0,8.0,2.0,59.854716,30.325812,37.0,4.41,284126.8703125
819,97.36,5.0,0.0,60.026051,30.387724,50.0,9.65,261699.9675
726,89.2,8.0,0.0,60.019972,30.287922,68.0,4.9,279766.9102439024
200,47.5,10.0,0.0,59.957111,30.330852,24.0,2.3,288191.65576923074
992,112.3,25.0,0.0,60.056481,30.312185,77.0,6.0,225573.17423312887
1129,130.7,12.0,1.0,59.936206,30.229064,55.0,9.27,261970.0192
41,27.0,9.0,3.0,59.924984,30.362311,41.0,5.58,254919.1581632653
1124,130.1,26.0,0.0,60.044469,30.363012,52.0,7.98,225573.17423312887
1413,186.0,15.0,6.0,59.907338,30.317844,53.0,1.59,277500.88611111115
1203,143.9,6.0,1.0,59.956444,30.326998,33.0,1.91,288191.65576923074
1314,160.5,10.0,2.0,59.928708,30.377582,61.0,7.26,254919.1581632653
690,85.8,5.0,7.0,59.916649,30.32221,36.0,1.48,277500.88611111115
1226,148.0,16.0,0.0,60.070796,30.258906,12.0,8.7,225573.17423312887
722,89.0,23.0,0.0,59.900128,30.443869,22.0,14.76,218420.79166666663
439,68.0,2.0,0.0,60.034474,30.207648,23.0,12.44,279766.9102439024
44,28.0,5.0,0.0,59.864064,30.312419,86.0,3.63,284126.8703125
738,90.0,26.0,0.0,59.895772,30.465483,33.0,17.18,218420.79166666663
231,50.0,4.0,0.0,59.921646,30.285891,62.0,3.04,277500.88611111115
1303,158.7,5.0,0.0,59.920082,30.284526,50.0,3.2,277500.88611111115
1445,193.5,14.0,0.0,59.808794,30.359041,19.0,8.46,189180.75698924728
831,98.1,23.0,0.0,59.95593,30.447813,16.0,15.1,222474.55818181817
1059,121.0,13.0,0.0,60.036443,30.19579,6.0,13.69,279766.9102439024
166,43.97,19.0,0.0,59.942245,30.184849,15.0,14.19,261970.0192
1208,145.0,5.0,8.0,59.926805,30.322066,30.0,1.18,277500.88611111115
160,43.0,8.2,7.0,59.929037,30.323683,23.0,1.31,254919.1581632653
1019,115.1,16.0,0.0,59.94691,30.457883,20.0,16.19,222474.55818181817
720,89.0,7.0,1.0,59.867692,30.437913,19.0,14.48,218420.79166666663
1332,164.0,9.0,5.0,59.931833,30.328175,24.0,1.77,254919.1581632653
531,74.0,25.0,0.0,59.892135,30.483359,32.0,19.18,218420.79166666663
208,48.7,7.0,1.0,59.873266,30.446474,19.0,15.33,218420.79166666663
1352,170.0,3.0,0.0,59.963066,30.245566,40.0,7.54,288191.65576923074
856,100.0,7.0,1.0,59.939609,30.292386,74.0,2.23,261970.0192
580,77.3,13.0,0.0,60.018349,30.378714,41.0,8.56,261699.9675
96,35.5,5.0,7.0,59.913447,30.323279,40.0,1.68,277500.88611111115
1477,200.0,7.0,1.0,59.952074,30.232891,63.0,8.87,261970.0192
651,82.0,16.0,8.0,59.926805,30.322066,30.0,1.18,277500.88611111115
209,48.8,4.0,3.0,59.925146,30.345863,59.0,3.77,254919.1581632653
1143,132.94,3.0,2.0,59.943683,30.363084,32.0,5.65,254919.1581632653
400,64.45,3.0,0.0,59.952006,30.469489,23.0,17.49,222474.55818181817
669,83.0,25.0,0.0,59.802418,30.377618,22.0,10.17,189180.75698924728
260,52.8,3.0,7.0,59.923017,30.318105,30.0,0.93,277500.88611111115
591,78.3,4.0,1.0,59.935304,30.434536,39.0,13.58,222474.55818181817
565,76.3,2.0,0.0,60.034474,30.207648,23.0,12.44,279766.9102439024
857,100.0,8.0,1.0,59.919107,30.304379,69.0,1.25,277500.88611111115
1112,128.7,6.0,1.0,59.906639,30.30552,58.0,1.68,277500.88611111115
513,73.0,11.0,0.0,60.052339,30.269317,30.0,7.33,279766.9102439024
845,99.92,25.0,2.0,59.997644,30.303382,61.0,3.19,279766.9102439024
1066,121.9,19.0,1.0,59.960368,30.261897,39.0,5.73,288191.65576923074
460,70.0,12.0,0.0,59.873735,30.344677,35.0,4.84,284126.8703125
767,93.0,16.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
1436,190.0,10.0,1.0,59.905357,30.342404,77.0,3.7,245996.38888888888
238,50.2,5.0,4.0,59.91129,30.348675,62.0,4.24,245996.38888888888
1171,137.2,17.0,0.0,59.987753,30.334391,71.0,3.58,225573.17423312887
1432,190.0,5.0,2.0,60.068628,30.33096,54.0,7.04,225573.17423312887
1154,135.0,1.0,0.0,59.958638,30.302977,40.0,1.52,288191.65576923074
251,51.8,14.0,1.0,59.919121,30.295243,53.0,2.09,277500.88611111115
165,43.5,5.0,1.0,59.885616,30.442773,17.0,14.77,218420.79166666663
1207,145.0,2.0,0.0,59.834139,30.204836,21.0,12.8,239969.54054054053
36,26.0,2.0,4.0,59.928194,30.346644,49.0,3.83,254919.1581632653
682,85.0,4.0,0.0,59.955939,30.252896,52.0,6.68,261970.0192
106,37.0,7.0,0.0,59.802929,30.375507,26.0,9.98,189180.75698924728
1087,125.2,12.4,0.0,59.99818,30.217988,106.0,10.86,279766.9102439024
995,112.6,14.0,2.0,59.855398,30.317521,68.0,4.13,284126.8703125
1229,149.0,1.0,1.0,59.982748,30.336763,65.0,3.6,225573.17423312887
1568,288.0,5.0,1.0,59.952074,30.232891,63.0,8.87,261970.0192
678,84.7,2.0,2.0,59.955885,30.296402,52.0,2.02,288191.65576923074
326,58.2,17.0,2.0,59.852565,30.26382,27.0,6.72,239969.54054054053
786,95.0,5.0,1.0,59.847268,30.41594,41.0,12.51,245996.38888888888
913,106.7,4.0,0.0,60.046571,30.368455,50.0,8.51,225573.17423312887
109,37.0,17.0,0.0,59.985831,30.321536,99.0,2.69,279766.9102439024
55,30.0,5.0,1.0,59.851598,30.313955,76.0,4.27,284126.8703125
970,111.0,5.0,1.0,59.932184,30.369471,54.0,6.35,254919.1581632653
964,110.5,6.0,3.0,59.911033,30.353355,47.0,4.74,245996.38888888888
1437,190.2,4.0,0.0,59.844126,30.212364,56.0,11.87,239969.54054054053
241,50.46,19.0,0.0,59.942245,30.184849,15.0,14.19,261970.0192
1183,140.0,2.0,1.0,59.930764,30.307011,38.0,0.67,277500.88611111115
1442,192.4,4.0,1.0,60.004307,30.263568,112.0,6.32,279766.9102439024
697,86.1,14.0,1.0,59.885142,30.368563,17.0,6.81,245996.38888888888
711,88.3,15.0,0.0,59.895772,30.465483,33.0,17.18,218420.79166666663
873,101.72,17.0,2.0,59.999147,30.303211,65.0,3.27,279766.9102439024
602,79.0,25.0,0.0,59.933577,30.25401,47.0,6.5,261970.0192
657,82.2,13.0,1.0,59.847268,30.41594,41.0,12.51,245996.38888888888
250,51.7,4.0,0.0,59.949555,30.302555,38.0,1.27,288191.65576923074
1147,133.7,25.0,2.0,60.000857,30.304289,65.0,3.32,279766.9102439024
910,106.1,9.0,5.0,59.931851,30.356921,22.0,4.95,254919.1581632653
346,60.0,23.0,2.0,59.932915,30.366407,44.0,6.01,254919.1581632653
1140,132.3,13.0,2.0,59.999458,30.302142,71.0,3.32,279766.9102439024
1149,134.0,2.0,1.0,59.896946,30.306094,50.0,2.09,277500.88611111115
1241,150.0,23.0,0.0,60.030245,30.2026,18.0,12.89,279766.9102439024
354,60.77,14.0,1.0,59.936206,30.417396,47.0,11.67,222474.55818181817
1440,192.0,9.0,0.0,59.943773,30.255528,57.0,6.34,261970.0192
917,107.4,8.0,1.0,59.849162,30.329001,55.0,4.82,284126.8703125
264,53.1,5.0,2.0,59.952331,30.2973,46.0,1.85,288191.65576923074
1219,147.0,6.0,1.0,59.960877,30.302869,43.0,1.61,288191.65576923074
557,76.0,16.0,0.0,59.984733,30.319416,107.0,2.55,279766.9102439024
1214,145.8,9.0,0.0,59.840438,30.157064,87.0,17.73,282094.2408163265
394,63.86,8.0,0.0,60.041251,30.241901,63.0,9.22,279766.9102439024
190,46.6,25.0,0.0,59.802929,30.375507,26.0,9.98,189180.75698924728
791,95.44,9.0,0.0,59.897063,30.459545,40.0,16.51,218420.79166666663
1088,125.4,18.0,0.0,59.900128,30.443869,22.0,14.76,218420.79166666663
1375,179.0,5.0,0.0,60.036488,30.343132,59.0,6.18,225573.17423312887
1014,115.0,9.0,5.0,59.931851,30.356921,22.0,4.95,254919.1581632653
488,71.7,5.0,2.0,59.925128,30.37654,67.0,7.16,254919.1581632653
1461,199.4,5.0,2.0,59.855304,30.319848,55.0,4.18,284126.8703125
322,58.0,7.0,0.0,59.896097,30.332244,40.0,3.02,284126.8703125
1358,170.0,5.0,1.0,59.952074,30.232891,63.0,8.87,261970.0192
1293,156.6,16.0,0.0,60.006125,30.409338,33.0,11.43,261699.9675
584,77.92,11.0,0.0,60.018349,30.378714,41.0,8.56,261699.9675
1266,152.0,15.0,1.0,59.831173,30.372291,26.0,8.69,284126.8703125
1097,126.8,12.0,1.0,59.842748,30.248692,34.0,8.34,239969.54054054053
747,90.5,20.0,2.0,59.999458,30.302142,71.0,3.32,279766.9102439024
587,78.0,13.0,0.0,59.991804,30.327043,84.0,3.24,279766.9102439024
363,61.59,19.0,0.0,59.942245,30.184849,15.0,14.19,261970.0192
