,price_per_square
0,252200.4
1,342781.0
2,332892.0
3,351785.8
4,332892.0
5,251691.6
6,209594.2
7,251069.4
8,205206.6
9,252200.4
10,329642.2
11,321331.6
12,205206.6
13,329642.2
14,305832.6
15,190705.6
16,281912.4
17,317440.0
18,247455.0
19,235881.2
20,291271.0
21,298642.6
22,242867.6
23,293942.8
24,281912.4
25,252200.4
26,285869.2
27,201900.0
28,323111.6
29,281912.4
30,296868.6
31,270386.6
32,205206.6
33,282003.8
34,316706.6
35,376147.4
36,284309.0
37,303619.4
38,270000.0
39,262535.8
40,314968.4
41,334748.8
42,332029.0
43,282003.8
44,351785.8
45,428572.0
46,228516.4
47,313679.0
48,351000.0
49,357861.4
50,99656.0
51,249702.0
52,246206.0
53,283334.0
54,151695.6
55,314968.4
56,297641.2
57,281912.4
58,197369.0
59,274510.0
60,276873.0
61,215473.2
62,281613.8
63,273946.2
64,322745.6
65,380222.4
66,327245.6
67,252378.4
68,213376.0
69,345911.0
70,282003.8
71,297641.2
72,141510.0
73,205206.6
74,354955.6
75,270402.6
76,357861.4
77,351218.8
78,297641.2
79,332029.0
80,117284.0
81,220184.0
82,158537.0
83,205206.6
84,290434.0
85,293940.0
86,261538.2
87,111608.0
88,190000.0
89,293033.6
90,257226.0
91,236312.0
92,322745.6
93,206378.4
94,357861.4
95,270012.0
96,267606.0
97,363381.0
98,243932.6
99,277500.0
100,283334.0
101,357861.4
102,201070.6
103,123967.0
104,398681.0
105,77028.0
106,208878.0
107,205406.0
108,386962.4
109,380583.6
110,185984.0
111,307251.0
112,318286.6
113,190000.0
114,304521.8
115,234542.0
116,200000.0
117,185610.2
118,249206.6
119,318286.6
120,210500.0
121,312178.0
122,312178.0
123,90390.0
124,387657.4
125,141026.0
126,200000.0
127,176924.0
128,335968.4
129,242967.0
130,276747.6
131,281613.8
132,336799.2
133,242804.8
134,203054.0
135,329892.4
136,249206.6
137,225000.0
138,243270.4
139,301507.2
140,268429.4
141,238462.0
142,283951.0
143,420000.0
144,242804.8
145,97318.0
146,236342.0
147,360406.2
148,279350.0
149,390379.6
150,143199.0
151,189286.0
152,368600.0
153,206553.0
154,177726.0
155,389151.0
156,408929.4
157,216280.0
158,313721.0
159,175582.0
160,408929.4
161,215349.0
162,222362.0
163,407835.0
164,317197.2
165,225288.0
166,232887.0
167,194394.6
