,price_per_square
1499,250000.0
57,281912.4
191,267141.2
1386,168265.2
162,222362.0
1265,226974.0
1577,298334.0
1261,310000.0
1176,97754.0
20,291271.0
1049,112500.0
544,258135.0
955,180914.0
675,305615.0
477,220339.0
415,233517.6
1524,164724.0
1137,331819.0
1058,226892.0
21,298642.6
527,109295.0
809,198000.0
441,322581.0
1194,195495.2
1513,233790.0
186,247500.0
1260,212839.6
1377,281802.0
1496,356400.0
1298,174937.0
1255,132357.0
653,281373.0
1428,240869.0
1081,368623.0
1427,200000.0
1463,202800.2
259,212152.6
1269,75509.0
284,89091.0
568,285043.2
997,292707.2
1458,356399.0
843,450000.0
1478,225000.0
974,218899.0
958,251147.2
807,233331.0
1195,276871.0
1160,317110.0
1441,259896.0
325,157428.4
1502,237600.0
538,274832.8
784,319226.0
88,190000.0
753,304894.4
312,400000.0
626,197549.6
1317,216347.2
1017,177233.6
1243,225342.0
848,231693.4
67,252378.4
1573,238096.0
340,290693.8
12,205206.6
296,360361.0
638,327575.0
499,334000.0
138,243270.4
1378,135000.0
574,310000.0
1483,159574.0
620,401094.6
780,212848.2
1563,140000.0
522,285043.2
715,417662.0
75,270402.6
695,391094.6
219,240394.6
746,440000.0
265,380160.0
197,222930.0
1537,400000.0
383,225883.8
572,384115.0
1277,215405.0
1284,225371.0
1211,211355.4
449,328602.4
727,166667.0
785,205074.0
468,253562.0
962,279531.8
1353,230007.6
941,225625.0
9,252200.4
629,390490.8
313,194250.2
92,322745.6
1313,168750.0
1178,265710.0
49,357861.4
148,279350.0
107,205406.0
181,223753.2
760,224822.0
1505,200529.0
331,340998.8
426,266080.2
875,146079.0
742,211000.0
664,235000.0
6,209594.2
62,281613.8
624,273168.0
800,266264.4
1287,152975.2
319,317646.0
1004,209656.2
416,297710.0
1275,202405.8
502,334000.0
1005,393058.0
146,236342.0
1500,160990.0
124,387657.4
203,406596.0
47,313679.0
309,191665.2
998,251147.2
687,391094.6
1108,330000.0
1110,225000.0
1089,310208.0
1566,147888.0
1525,166375.0
110,185984.0
180,350516.8
420,193322.4
1529,47638.0
1430,370579.8
1051,301269.6
1498,341071.0
732,443334.0
224,222349.0
34,316706.6
598,225317.0
257,304155.4
973,141442.0
270,149776.6
790,180000.0
391,329650.0
713,299726.0
846,168102.0
855,242361.4
978,222720.0
1394,329339.6
196,207194.0
1470,296184.6
1052,241830.2
1316,168225.0
558,289423.2
128,335968.4
1216,297946.0
1078,95000.0
1338,250000.0
350,340998.8
1151,184105.0
147,360406.2
814,292422.0
567,350000.0
1543,147541.0
555,246053.0
606,232121.0
512,294521.0
142,283951.0
1336,157546.4
1273,212062.0
1117,230355.0
1523,56215.0
1156,88815.0
915,244239.6
541,237398.8
1331,134147.0
1074,241830.2
659,364952.0
0,252200.4
1516,175496.0
123,90390.0
1200,107816.0
1070,236166.8
1481,335064.0
1527,230000.0
320,209012.8
1119,267977.8
339,275967.8
245,211686.0
1141,180768.4
490,164185.6
1169,235344.0
975,166367.0
877,298528.0
247,246967.0
290,313659.8
1071,188865.0
1310,257258.6
520,317000.0
1311,211308.6
519,75137.0
839,76613.0
1217,193164.2
1371,273958.8
1130,275913.8
175,180996.0
1420,285000.0
1492,152455.0
500,339000.0
803,198770.0
971,263853.4
571,384115.0
1289,124200.0
1035,236371.0
192,259575.0
1392,301457.0
321,136207.0
1535,299706.0
188,296807.4
696,253304.2
491,265626.4
1304,194996.4
515,274538.0
633,354821.8
4,332892.0
735,214003.0
38,270000.0
367,165968.0
149,390379.6
706,234554.0
301,400000.0
1426,256391.4
1360,260083.0
46,228516.4
435,160238.0
607,325000.0
1011,217333.8
1028,227831.6
932,255727.4
925,357254.4
804,417382.0
1433,153183.0
418,269742.8
1152,253141.0
862,259404.6
172,199187.0
813,290104.0
1415,166000.0
1327,293399.0
125,141026.0
1469,212377.2
782,264582.0
1187,270570.4
7,251069.4
560,289285.0
1497,130000.0
13,329642.2
1227,133827.0
1571,310774.0
1547,359960.0
654,254879.0
621,259278.4
3,351785.8
450,335000.0
117,185610.2
1508,285000.0
1351,301457.0
894,392360.0
29,281912.4
874,212848.2
211,448980.0
129,242967.0
1348,267430.8
1385,299163.8
771,198770.0
684,201104.2
1321,237038.0
1444,254546.0
470,240473.0
672,296529.2
307,298219.0
1231,200804.0
497,172992.0
777,200081.8
685,218741.2
1346,200000.0
573,310203.0
934,187755.8
729,391094.6
634,129470.0
749,214003.0
1369,123008.2
569,332895.0
518,328014.0
895,245457.2
960,351980.0
222,293591.0
1569,411765.0
529,53379.0
324,165151.6
91,236312.0
1290,287540.0
306,335569.8
94,357861.4
170,227046.0
184,216085.4
563,319000.0
300,399675.2
887,450000.0
87,111608.0
111,307251.0
1205,229167.0
95,270012.0
1115,178019.0
474,323666.0
801,228125.0
1073,192689.8
1209,254997.0
413,287433.8
45,428572.0
1459,186817.4
103,123967.0
377,220351.0
1533,187112.0
552,250330.0
253,189186.8
1297,189809.0
1397,164377.0
278,311942.4
130,276747.6
939,326891.8
1094,196019.0
173,215349.0
860,285000.0
676,450000.0
1099,216366.0
277,317646.0
647,250000.0
609,270754.6
1264,221213.2
793,385000.0
1236,187167.8
825,366327.0
694,239028.2
1067,278206.8
387,301110.0
193,308340.4
276,321101.0
1414,276882.0
1055,232498.8
734,322223.0
1329,235407.4
1223,194977.0
1166,246563.0
551,190000.0
1431,176582.2
1202,250640.0
31,270386.6
933,188342.2
1349,245834.0
589,401094.6
410,153077.0
204,333334.0
167,194394.6
730,155618.0
1114,280276.8
364,205654.0
597,323122.2
1319,304491.2
1046,420084.0
1411,239080.8
1373,168265.2
349,300855.2
83,205206.6
323,188945.0
545,317174.0
1382,288889.0
1345,197551.8
1475,360000.0
1179,194935.2
1257,125579.0
592,175000.0
1534,350000.0
1256,209431.0
461,358572.0
267,212152.6
1153,250144.6
1447,170185.6
671,375324.0
700,417382.0
374,430770.0
835,346500.0
815,230525.6
537,297286.4
118,249206.6
392,243711.0
14,305832.6
1450,53776.0
1003,211586.6
1448,281527.4
271,268234.0
26,285869.2
66,327245.6
703,222756.0
54,151695.6
1562,76167.0
163,407835.0
1267,176974.0
1031,303940.0
414,328602.4
1341,57126.0
1419,213904.0
1050,180768.4
916,190796.0
1390,348714.4
798,367200.0
52,246206.0
1296,315287.0
232,259806.2
1060,256199.0
898,260477.0
1574,250000.0
135,329892.4
1291,152733.4
820,249185.0
351,247470.4
605,175000.0
386,342671.8
692,224976.2
1127,82823.0
1468,266469.2
832,74263.0
745,300111.0
378,420000.0
281,245455.0
157,216280.0
508,270000.0
408,280119.4
808,350000.0
1546,178200.0
1042,290942.6
540,136032.0
375,190750.0
643,325187.2
693,166280.0
50,99656.0
1182,368623.0
1403,245902.0
1542,147541.0
274,106618.0
1306,258826.0
709,195964.8
1401,199452.0
1103,208723.2
918,242000.0
412,286647.6
585,281924.0
1466,149650.0
65,380222.4
1026,310880.0
1370,171429.0
1007,197483.0
1022,239200.0
98,243932.6
1407,206349.0
37,303619.4
712,200048.2
33,282003.8
935,346645.8
646,155086.0
316,225460.0
1218,195004.4
1213,74075.0
507,327000.0
275,322735.0
343,250000.0
891,110481.0
759,256006.6
936,346645.8
422,294562.0
453,332897.0
612,143625.0
851,243248.8
1423,348480.4
1224,350000.0
1253,207199.4
1188,266525.0
766,440000.0
530,317174.0
1020,242774.6
679,299200.0
888,358841.6
393,160126.0
17,317440.0
723,294321.0
841,296483.0
969,286400.0
8,205206.6
986,223701.6
645,278010.4
1379,267858.0
942,253385.6
1222,193054.0
226,222349.0
1486,178218.0
108,386962.4
1248,346402.0
1134,297779.0
652,227859.0
618,278198.6
583,277919.4
967,380000.0
683,309886.4
993,290090.0
1220,234967.0
467,237954.8
1558,250000.0
308,249472.4
896,171429.0
113,190000.0
1350,59032.0
1315,168225.0
1136,383191.0
1343,188364.0
498,288033.0
818,321051.0
1342,329339.6
1365,393024.0
655,332895.0
534,170793.0
35,376147.4
866,401000.0
562,317585.0
1250,75597.0
699,166474.0
1080,135000.0
154,177726.0
431,200465.4
1495,356400.0
1054,182197.0
1368,264637.4
769,336910.0
1041,271046.0
145,97318.0
1142,174007.0
1509,285000.0
996,334586.8
789,328328.6
230,343200.0
1493,250000.0
912,369015.0
1380,272519.2
705,309989.0
535,287647.4
1339,362319.0
611,354218.0
164,317197.2
27,201900.0
198,215349.0
1328,170556.4
342,179834.0
961,256313.2
282,59091.0
140,268429.4
440,164185.6
673,413278.4
1064,343200.0
878,285839.0
121,312178.0
156,408929.4
680,209682.4
757,350191.0
1271,156863.0
1189,212766.0
1519,155069.0
1000,286597.0
1104,226485.0
792,440000.0
1123,200447.2
10,329642.2
1405,310746.0
758,450000.0
86,261538.2
1285,173433.4
134,203054.0
902,191600.0
994,322432.0
1092,161000.0
632,299997.6
443,109300.0
1455,333206.0
956,122728.0
430,335000.0
15,190705.6
1184,257275.4
781,305000.0
1288,200960.6
1148,215766.0
252,295367.0
1376,237351.0
640,287647.4
501,329000.0
940,357513.4
1522,162709.0
979,178732.0
844,300101.0
221,80646.0
194,227827.8
1484,270000.0
366,177420.0
1150,204125.6
61,215473.2
63,273946.2
601,333602.4
890,346645.8
236,230000.0
1417,402577.0
483,246237.0
590,364357.0
509,360993.0
1474,235659.8
556,388158.0
663,198916.0
206,309250.2
674,332895.0
532,75574.0
1456,311391.2
456,296166.6
286,343200.0
171,336576.0
821,302271.4
1434,184211.0
1244,194129.4
1324,238472.4
596,316392.0
1453,149823.0
1364,172675.0
396,387600.0
1554,172348.0
1320,206312.0
930,295274.0
761,179348.0
752,318800.0
1551,185771.0
763,400000.0
1391,258836.0
731,232073.8
739,343300.0
1008,257962.4
254,286282.0
359,277050.0
677,100592.0
444,323666.0
1482,184080.0
1015,234783.0
864,231541.6
459,242858.0
1424,263719.0
1354,352942.0
382,103175.0
963,271740.0
701,300944.8
1162,420000.0
1158,246639.4
482,307802.6
1400,258402.8
486,323665.0
451,107759.0
908,401509.8
1164,234405.0
778,339533.0
401,139035.0
1098,216026.8
1135,383191.0
471,154776.0
77,351218.8
329,135000.0
1128,258926.6
660,306897.0
1384,289983.4
1,342781.0
524,319728.0
517,287737.0
1246,140624.6
293,415163.0
492,338889.0
823,340000.0
1251,241830.0
907,225202.8
721,287064.0
473,283360.4
775,194010.8
911,225353.0
202,125261.0
768,268241.0
215,224622.8
794,210000.0
1367,114886.0
81,220184.0
153,206553.0
1023,189000.0
1030,283019.0
445,250000.0
1196,237763.0
1228,300000.0
1300,139594.0
906,245457.2
212,234694.0
388,219303.0
229,290414.8
550,324000.0
104,398681.0
1272,248367.0
30,296868.6
298,187186.8
984,312500.0
748,315000.0
243,307652.2
1307,120000.0
949,263637.0
28,323111.6
1093,206755.8
834,420102.0
1518,349558.0
1422,159947.0
725,229273.8
213,341837.0
681,219762.0
1121,226356.0
411,256165.4
1027,180018.0
97,363381.0
1045,180768.4
207,249272.2
273,199901.8
724,199200.0
494,257500.0
905,365000.0
1539,210083.0
428,296633.2
1083,280546.8
1446,200940.0
627,281888.6
1118,195248.0
603,161917.0
1283,261430.0
1186,161775.6
1109,301457.0
1429,341290.6
417,298798.2
53,283334.0
566,294386.4
1075,198626.6
407,286322.8
244,331531.8
972,355103.0
1485,163119.0
133,242804.8
783,190000.0
608,187500.0
505,324000.0
977,223614.0
615,143625.0
570,319615.0
373,321165.6
1372,269157.6
360,257409.2
1362,264637.4
227,293591.0
1021,164788.0
788,292223.8
737,200081.8
463,249409.2
1309,292241.0
304,326578.0
370,298388.0
1120,215766.0
1199,265710.0
1159,218716.4
1389,313588.0
263,358491.0
1503,200855.0
1409,205759.0
1302,229874.8
379,280119.4
314,350000.0
924,171850.6
1086,229954.0
1238,151819.4
472,147270.0
872,189951.0
240,176413.0
1572,342466.0
816,123702.0
489,257900.0
218,331531.8
448,335000.0
1567,240000.0
884,390000.0
1237,181063.0
642,75461.0
80,117284.0
1490,75610.0
1235,180204.4
661,425274.0
1471,258224.4
292,399275.0
1033,275941.0
158,313721.0
280,52546.0
85,293940.0
1212,215862.6
740,346500.0
155,389151.0
233,440000.0
1105,320225.0
616,146270.0
1068,40164.0
1175,360000.0
1464,149650.0
1192,230023.0
1174,238498.6
666,300000.0
169,315910.0
1325,255090.0
174,215349.0
741,310422.0
425,241003.0
827,204082.0
347,350000.0
458,128429.0
361,188525.0
1101,188865.0
246,335000.0
1540,218107.0
668,181071.0
879,107213.0
649,250915.0
635,70284.0
822,316096.6
919,277882.0
893,315608.0
1344,260327.0
586,270754.6
1006,223527.4
1245,156161.2
833,301830.0
115,234542.0
433,358209.0
1146,235000.0
852,381707.2
404,300855.2
1548,99600.0
756,250000.0
755,273013.4
658,244810.6
1131,301269.6
1418,402577.0
1532,163050.0
990,227222.8
220,409072.4
237,340460.4
1056,372943.0
1144,249045.0
953,393637.0
1449,258913.0
151,189286.0
719,150000.0
19,235881.2
614,125000.0
1356,158193.0
328,317646.0
427,269253.0
710,323000.0
1416,231293.6
1451,238488.6
127,176924.0
516,294118.0
1069,235455.2
542,244494.6
885,401509.8
1270,98033.0
1029,284206.8
1506,200509.0
1126,301457.0
1457,306083.0
1091,260494.4
1366,202225.0
1061,335576.0
883,252460.6
1191,282538.6
18,247455.0
1465,174681.8
838,275000.0
1326,205172.0
904,202000.0
1180,256257.6
455,230328.6
698,181071.0
48,351000.0
744,292223.8
1282,251613.0
511,294521.0
736,206268.6
506,287647.4
1576,200000.0
797,440000.0
341,292146.4
1262,263158.0
1010,228476.2
1107,268657.0
258,153136.2
356,259017.0
830,255103.0
861,266755.4
1467,219329.4
1555,171103.0
1084,297779.0
691,259806.6
1334,151516.0
355,229581.0
496,128988.0
795,255252.6
1557,300000.0
1168,189396.4
1193,161268.0
397,239654.6
330,225000.0
288,268234.0
235,380000.0
1057,250000.0
