X	Y	BUILDING	ADDR_CITY	A_STRT	A_SBRB	A_HSNMBR	A_PLACE	A_PSTCD	B_LEVELS	NAME	NAME_EN	NAME_RU	OSM_TYPE	OSM_ID
30.2570209	60.0790039	yes		улица Первого Мая	Михайловка	"10"							node	"455843333"
30.2997147	59.8138734	hotel								Пулково			node	"621452070"
30.2758223	60.0821044	yes		улица Некрасова		"37"							node	"639105454"
30.2738993	60.081978	yes		улица Некрасова		"32"							node	"639105455"
30.2803893	60.0812819	yes		улица Некрасова		"68"							node	"639105462"
30.2807099	60.0814676	yes		улица Некрасова		"59"							node	"639105463"
30.2833639	60.0804341	yes		Горная улица		"7"							node	"639105467"
30.0139784	59.8469855	stable	Стрельна	улица Свободы		48А				Конноспортивный клуб Кентавр			node	"770206587"
30.3247496	59.8535234	kiosk	Санкт-Петербург	улица Типанова		"3"				Теремок	Teremok	Теремок	node	"879400368"
30.2738437	59.9415446	kiosk								Mouse Tail			node	"953835547"
30.5984982	59.7550619	factory											node	"963200476"
30.5994911	59.7534544	factory											node	"963200515"
30.599004	59.7546699	factory											node	"963200673"
30.5987014	59.7548858	factory											node	"963200709"
30.6004894	59.7547451	factory											node	"963200887"
30.5999958	59.7534348	factory											node	"963201092"
30.5981592	59.7552948	factory											node	"963201267"
30.5935866	59.7565728	factory											node	"964092915"
30.5944323	59.7565156	factory											node	"964092933"
30.5948921	59.7565356	factory											node	"964093039"
30.5951305	59.756507	factory											node	"964093056"
30.5679812	59.7565313	factory											node	"965716696"
30.564948	59.759416	factory											node	"965716744"
30.5677272	59.7542171	factory											node	"965716792"
30.5696389	59.7546117	factory											node	"965716829"
30.565376	59.7593639	factory											node	"965716834"
30.5778168	59.7553519	factory											node	"965716878"
30.5633539	59.7590939	factory											node	"965716908"
30.5686207	59.7564697	factory											node	"965716954"
30.5700447	59.7545736	yes											node	"965716990"
30.5651502	59.7593947	factory											node	"965717009"
30.5909087	59.7535113	factory											node	"965717221"
30.5730181	59.7547377	factory											node	"965717224"
30.5867101	59.7577862	factory											node	"965849478"
30.5895904	59.7567826	factory											node	"965849573"
30.5860635	59.7578513	factory											node	"965849625"
30.5883854	59.7576026	factory											node	"965849679"
30.5835594	59.7574013	factory											node	"965849738"
30.5854346	59.7579076	factory											node	"965849862"
30.5747589	59.76218	factory											node	"966657087"
30.5697062	59.7590747	factory											node	"966657641"
30.5789383	59.7602976	factory											node	"966657664"
30.5658453	59.7596566	factory											node	"966726960"
30.57905	59.7595475	yes											node	"967461396"
30.5800887	59.7594275	yes											node	"967461466"
30.579578	59.7594839	yes											node	"967461626"
29.6500966	60.0313539	bunker											node	"967803943"
