X	Y	HIGHWAY	CROSSING	CROSSING_R	OSM_TYPE	OSM_ID
29.786516	59.9884863	crossing	uncontrolled		node	"223752"
30.0250192	60.0098359	crossing	uncontrolled		node	"233358"
30.3297311	59.9638271	crossing	uncontrolled		node	"233459"
29.5581837	60.2048227	crossing	uncontrolled		node	"233726"
29.8447685	59.8700023	crossing	uncontrolled		node	"237869"
29.7058633	60.1972065	crossing	uncontrolled		node	"238800"
30.3377482	59.8444198	crossing	traffic_signals		node	"244258"
30.4090657	59.9629114	crossing	traffic_signals		node	"244378"
30.389119	59.9241235	crossing	uncontrolled		node	"244406"
29.726543	60.1896286	crossing	uncontrolled		node	"244706"
29.9419524	60.1473132	crossing	uncontrolled		node	"244792"
30.2221418	60.0327758	crossing	uncontrolled		node	"246357"
30.3339649	59.9375998	crossing	uncontrolled		node	"307373"
30.3817319	59.9422927	crossing	traffic_signals		node	"307534"
30.3201028	59.8435814	crossing	uncontrolled		node	"324896"
30.2358871	59.9338531	crossing	traffic_signals		node	"327108"
29.789844	59.9878048	crossing	uncontrolled		node	"328394"
30.4114323	59.9682319	crossing	traffic_signals		node	"352173"
30.4378861	59.977615	crossing	uncontrolled		node	"3604275"
30.2939837	59.9085546	crossing	traffic_signals		node	"6337891"
30.287627	59.9093345	crossing	traffic_signals		node	"8087658"
30.3298454	59.9381024	crossing	uncontrolled		node	"8087669"
30.4178337	59.9299652	crossing	traffic_signals		node	"15484977"
30.4781723	59.944593	crossing	traffic_signals		node	"15759181"
30.4274059	59.9886971	crossing	uncontrolled		node	"21627321"
30.4348246	59.9916723	crossing	uncontrolled		node	"21627940"
30.3155036	59.9264843	crossing	uncontrolled		node	"21727855"
30.3066658	59.9540239	crossing	uncontrolled		node	"21746306"
29.8769452	59.888877	crossing	uncontrolled		node	"21776659"
30.291264	59.9163138	crossing	uncontrolled		node	"21991314"
30.3077915	59.9122994	crossing	uncontrolled		node	"21991414"
30.2870366	59.911974	crossing	uncontrolled		node	"21991682"
30.278058	59.8971661	crossing	uncontrolled		node	"21992697"
30.4595905	59.8664141	crossing	uncontrolled		node	"22332925"
30.4364274	59.6823283	crossing	uncontrolled		node	"22343556"
30.2200486	60.1035953	crossing	uncontrolled		node	"25532581"
30.3208581	60.0301087	crossing	traffic_signals		node	"25717015"
30.4264079	60.0223211	crossing	uncontrolled		node	"25717300"
30.2480799	59.901669	crossing	uncontrolled		node	"25893876"
30.2346362	59.9019843	crossing	uncontrolled		node	"25893883"
30.2357196	59.9036118	crossing	uncontrolled		node	"25893910"
30.437133	59.9957125	crossing	uncontrolled		node	"25897162"
30.309184	60.0666912	crossing	uncontrolled		node	"25899455"
30.4779157	59.9445866	crossing	traffic_signals		node	"26052924"
30.4884352	59.9363136	crossing	traffic_signals		node	"26052995"
30.3814647	59.8704047	crossing	uncontrolled		node	"26057036"
30.2935888	60.0150586	crossing	traffic_signals		node	"26081951"
30.2932215	60.0152835	crossing	traffic_signals		node	"26081952"
30.3382294	59.9927755	crossing	uncontrolled		node	"26085974"
30.1798542	59.8424735	crossing	uncontrolled		node	"26234986"
30.4442743	60.003028	crossing	uncontrolled		node	"26238135"
30.2762292	59.9723354	crossing	uncontrolled		node	"26903363"
30.3714733	59.703682	crossing	traffic_signals		node	"27024507"
30.3952082	59.7287906	crossing	uncontrolled		node	"27024553"
30.5998116	59.7581524	crossing	uncontrolled		node	"60081020"
30.1793817	59.8185475	crossing	traffic_signals		node	"61086082"
30.2975431	60.0245641	crossing	traffic_signals		node	"79834846"
30.3231876	60.0361555	crossing	uncontrolled		node	"82715400"
30.6039111	59.7981285	crossing	uncontrolled		node	"88028467"
30.6534079	59.7762504	crossing	uncontrolled		node	"88030424"
30.6565928	59.7753645	crossing			node	"88030426"
30.274745	59.977214	crossing	uncontrolled		node	"88216948"
30.2679104	60.0011344	crossing	uncontrolled		node	"94083116"
30.3133356	60.0128553	crossing	unmarked		node	"94134654"
30.4879577	59.9363473	crossing	traffic_signals		node	"94694289"
30.40149	59.9021201	crossing	uncontrolled		node	"110402333"
30.3735305	60.0210568	crossing	traffic_signals		node	"151204170"
30.4020988	59.9329592	crossing	uncontrolled		node	"206376666"
30.3249373	59.9572036	crossing	uncontrolled		node	"224880993"
29.9690969	60.0978072	crossing	uncontrolled		node	"238160978"
30.3289225	60.021916	crossing	traffic_signals		node	"240123331"
30.4088957	59.9632149	crossing	traffic_signals		node	"240134815"
30.3588127	59.993967	crossing	traffic_signals		node	"240154368"
30.3389288	59.9420892	crossing	traffic_signals		node	"240166847"
30.3437916	59.9382392	crossing	traffic_signals		node	"240169462"
30.0112378	60.0150451	crossing	uncontrolled		node	"244215943"
29.7882501	59.9858657	crossing	uncontrolled		node	"244218477"
29.7849728	59.9865397	crossing	uncontrolled		node	"244218478"
30.6034802	59.7406928	crossing	traffic_signals		node	"245967787"
30.5897649	59.7345242	crossing	uncontrolled		node	"245968495"
30.3715595	60.0067242	crossing	"uncontrolled;marked"		node	"247758067"
30.3746204	60.0063457	crossing	uncontrolled		node	"247758826"
30.3395706	60.0578832	crossing	uncontrolled		node	"248731314"
30.363459	59.999431	crossing	traffic_signals		node	"249091483"
30.4597621	59.8789698	crossing	uncontrolled		node	"249173082"
30.3849839	60.0562196	crossing	uncontrolled		node	"249246645"
30.299873	59.9665557	crossing	traffic_signals		node	"250387265"
30.3000972	59.9664422	crossing	traffic_signals		node	"250387271"
30.3316428	59.8789858	crossing	traffic_signals		node	"251006346"
30.3387156	59.8444407	crossing	traffic_signals		node	"251112164"
30.3002155	59.9665827	crossing	uncontrolled		node	"252128409"
30.3121838	59.9592915	crossing	traffic_signals		node	"252131134"
30.3951354	59.706742	crossing	uncontrolled		node	"252598809"
30.2695147	59.902431	crossing	uncontrolled		node	"252804351"
30.3119799	59.9603769	crossing	uncontrolled		node	"252840399"
30.3118057	59.9599775	crossing	uncontrolled		node	"252840400"
30.3120258	59.9591642	crossing	traffic_signals		node	"252840402"
30.2911782	59.9156004	crossing	uncontrolled		node	"253114407"
30.3839151	60.0051332	crossing	uncontrolled		node	"255478881"
30.3774909	60.0060397	crossing	uncontrolled		node	"255479180"
30.3734953	60.0067197	crossing	uncontrolled		node	"255479182"
30.3717587	60.0070096	crossing	uncontrolled		node	"255479183"
30.3376919	59.9970253	crossing	uncontrolled		node	"255578244"
30.3050019	59.9596092	crossing	uncontrolled		node	"256136450"
30.3093515	59.9623001	crossing	traffic_signals		node	"256915996"
30.180034	59.8613178	crossing	traffic_signals		node	"258676223"
29.9775724	60.0402908	crossing	uncontrolled		node	"261650178"
30.3487577	59.9499848	crossing	uncontrolled		node	"262615349"
30.3493355	59.9500717	crossing	uncontrolled		node	"262615350"
30.2947549	59.9662978	crossing	traffic_signals		node	"267408556"
30.2618438	60.0075061	crossing	traffic_signals		node	"271136121"
30.3812476	59.9956303	crossing	unmarked		node	"272007666"
29.7297772	60.2136677	crossing	unmarked		node	"272537163"
30.3732806	59.9895223	crossing	unmarked		node	"273217493"
30.4528409	59.9053554	crossing			node	"275058144"
