WKT	FEE	NAME	NAME_EN	NAME_RU	PARKING	ACCESS	CAPACITY	OSM_TYPE	OSM_ID
"POLYGON ((30.2569626 59.9890165,30.2569739 59.9891329,30.2610939 59.9890332,30.2610642 59.9887179,30.2607959 59.9887259,30.2587693 59.9887767,30.2577048 59.9888672,30.2577125 59.9889967,30.2569626 59.9890165),(30.2588993 59.9889656,30.2588956 59.9889283,30.2609014 59.9888795,30.260905 59.9889167,30.2588993 59.9889656),(30.2578446 59.9889928,30.2578402 59.9889446,30.258727 59.9889243,30.2587315 59.9889725,30.2578446 59.9889928))"	yes				surface	yes		relation	"1368207"
"POLYGON ((30.3252233 60.0104,30.3250425 60.0108079,30.3251449 60.0108566,30.325398 60.0108856,30.3255171 60.0108985,30.3255418 60.0108464,30.3267316 60.0109733,30.3268471 60.0106643,30.3258449 60.0105496,30.3257383 60.0105108,30.3255466 60.0104225,30.3253022 60.0103906,30.3252233 60.0104),(30.3266464 60.010862,30.3253365 60.0107103,30.3253653 60.0106482,30.3253944 60.0105853,30.3258669 60.01064,30.3267044 60.010737,30.3266464 60.010862))"					surface	private		relation	"1409466"
"POLYGON ((30.3531767 60.0136448,30.3530749 60.0136073,30.3529703 60.0135706,30.3529303 60.013597,30.3523859 60.0139559,30.3524344 60.0139762,30.3524951 60.0140001,30.3525645 60.0140296,30.3531767 60.0136448))"					surface			relation	"1440057"
"POLYGON ((30.3659933 60.0328991,30.3661143 60.0329942,30.3662208 60.0329903,30.3663018 60.0330251,30.3663097 60.0330784,30.3662399 60.0331188,30.3661333 60.0331227,30.3660701 60.0331629,30.3661526 60.0332491,30.3662065 60.0332418,30.3662566 60.0333157,30.3687879 60.0329286,30.3688644 60.0328782,30.3688081 60.0327951,30.3687644 60.0327236,30.3688846 60.0327028,30.3687153 60.0323978,30.3686614 60.0324039,30.3685703 60.0322404,30.3661554 60.0326106,30.3663219 60.0328545,30.3659933 60.0328991),(30.3663894 60.032749,30.3666103 60.0327156,30.3666573 60.0327085,30.3666888 60.0327604,30.366725 60.0328202,30.366457 60.0328607,30.3664328 60.0328207,30.3663894 60.032749))"	no				surface	yes		relation	"1477721"
"POLYGON ((30.3514125 59.8508954,30.3509579 59.8519677,30.3504023 59.8519044,30.3503832 59.8519484,30.3501301 59.8519201,30.3501472 59.8518776,30.3490505 59.8517589,30.3490455 59.8517756,30.3490049 59.8517918,30.348971 59.8517869,30.3489925 59.8518562,30.3489982 59.8518741,30.349029 59.8518962,30.350221 59.8520129,30.3503184 59.8520651,30.3502471 59.8523228,30.3504523 59.8523328,30.3504413 59.8523736,30.3504307 59.852411,30.3504375 59.8524365,30.350453 59.852453,30.3504932 59.8524695,30.3506881 59.8524821,30.3507543 59.8524868,30.3507815 59.8524901,30.3517988 59.8525532,30.3519447 59.8525025,30.3521892 59.8524087,30.3523263 59.8521009,30.3523496 59.8520453,30.352461 59.8520181,30.3527005 59.851474,30.3527154 59.8514408,30.3527312 59.8514059,30.3528439 59.8511578,30.3528726 59.8510899,30.3528492 59.8510876,30.3528673 59.8510439,30.352418 59.8509976,30.3523924 59.8509949,30.3523667 59.8509922,30.3523204 59.8509874,30.3514762 59.8509012,30.3514553 59.8508991,30.3514125 59.8508954))"	no				surface	customers	"780"	relation	"1602243"
"POLYGON ((30.0817247 59.7314561,30.0819715 59.7318635,30.0821258 59.7321198,30.0821522 59.7321617,30.0822265 59.7322667,30.0824017 59.7322352,30.0829789 59.7321049,30.0836986 59.7319138,30.083426 59.7316516,30.0833019 59.7316332,30.0828036 59.7312163,30.0817247 59.7314561))"					surface	private		relation	"1706220"
"MULTIPOLYGON (((30.5046288 59.9440341,30.504787 59.944031,30.5049679 59.9440274,30.504835 59.9434117,30.5046071 59.9434179,30.5046067 59.9434407,30.5046288 59.9440341)),((30.5046512 59.9446887,30.5050891 59.9446853,30.5049769 59.944101,30.5047909 59.9441005,30.5046446 59.9441001,30.5046512 59.9446887)))"	yes	Созвездие			surface			relation	"1732973"
"POLYGON ((30.4719848 59.8664655,30.4720657 59.8665426,30.4721215 59.8665278,30.4721924 59.8665952,30.4722653 59.8666647,30.4721976 59.8666826,30.4730212 59.8674667,30.4720457 59.8677249,30.4718928 59.8675738,30.4710803 59.8667837,30.4709725 59.8666809,30.4712438 59.8666092,30.4712704 59.8666022,30.4713568 59.8666845,30.4713783 59.866705,30.4718425 59.8671526,30.4721948 59.8674897,30.4725522 59.8673961,30.4718279 59.8666911,30.4716391 59.8665074,30.4718895 59.8664405,30.471851 59.8664023,30.4717922 59.8663434,30.4708431 59.8665879,30.4708116 59.8665567,30.4708277 59.8665526,30.4708158 59.8665408,30.4707187 59.8664448,30.4706298 59.8664668,30.4704728 59.8665102,30.4706251 59.8666426,30.4708989 59.8668637,30.4715318 59.8674351,30.4715486 59.8674503,30.4717128 59.8675986,30.4719702 59.8679406,30.4720123 59.8679956,30.4736445 59.8678529,30.4738363 59.8678039,30.4736627 59.8676543,30.4734955 59.8675901,30.4724094 59.8665164,30.4723155 59.866432,30.4722694 59.8664288,30.4722076 59.8664246,30.4721555 59.866421,30.4719848 59.8664655),(30.4727007 59.8670276,30.4724117 59.8667533,30.4725156 59.8667257,30.4728046 59.867,30.4727007 59.8670276))"					surface			relation	"1736268"
"POLYGON ((30.3634172 60.0341509,30.3635213 60.034294,30.3636356 60.0344296,30.3637327 60.0345447,30.3637422 60.034556,30.3636132 60.0346026,30.3636316 60.0346282,30.3636645 60.034674,30.3637132 60.0347418,30.3637291 60.0347641,30.3637527 60.0347968,30.3639441 60.0348036,30.3640174 60.0348182,30.3641616 60.0349954,30.364379 60.0349597,30.3642564 60.0348075,30.3641295 60.034805,30.3640866 60.0347546,30.3640736 60.0347222,30.3641753 60.0347079,30.3638696 60.034381,30.363764 60.0343943,30.3637259 60.0343573,30.3636505 60.0342694,30.3637488 60.0342492,30.3636427 60.034117,30.3635625 60.0341262,30.3634172 60.0341509))"					surface	destination		relation	"1774971"
"POLYGON ((30.3585364 60.0332207,30.3584714 60.0335089,30.3601345 60.0335929,30.3603408 60.0327317,30.360357 60.0326579,30.3595584 60.0326201,30.3586644 60.0325703,30.3585364 60.0332207))"		Стоянка техники ГИБДД			surface	private		relation	"1774974"
