X	Y	POWER	OSM_TYPE	OSM_ID
29.9956169	60.149096	tower	node	"60482497"
30.1053602	60.1238394	tower	node	"64817433"
30.1112201	60.1262003	tower	node	"64817435"
30.1280882	60.1283578	tower	node	"64817438"
30.1462316	60.130932	tower	node	"64817439"
30.0480948	60.0139613	tower	node	"64823324"
30.0295694	60.0071624	tower	node	"68970435"
30.0101134	60.0051049	tower	node	"68970439"
30.5084324	59.9534333	tower	node	"69073159"
30.5058119	59.956038	tower	node	"69073160"
30.5031117	59.9587179	tower	node	"69073161"
30.500102	59.9616096	tower	node	"69073162"
30.4984391	59.9640693	tower	node	"69073163"
30.2772455	60.0467304	tower	node	"91577307"
30.2774641	60.0488343	tower	node	"91577308"
30.2777721	60.0516216	tower	node	"91577309"
30.2780495	60.0544384	tower	node	"91577310"
30.2790099	60.0626977	tower	node	"91577312"
30.2383825	60.0533886	tower	node	"152846471"
29.9668996	60.0738683	tower	node	"279662017"
30.3726768	60.0286968	tower	node	"448018884"
30.3698785	60.0294557	tower	node	"448018885"
30.3663372	60.030013	tower	node	"448018886"
30.3640862	60.0288352	tower	node	"448018887"
30.3598556	60.0287258	tower	node	"448018888"
30.3628541	60.0265098	tower	node	"448018889"
30.3644903	60.0252525	tower	node	"448018890"
30.3652974	60.0227807	tower	node	"448018891"
30.3221566	59.9896495	tower	node	"470330775"
30.3213175	59.9916053	tower	node	"470330776"
30.319525	59.9929336	tower	node	"470330777"
30.3176611	59.9943614	tower	node	"470330778"
30.3155538	59.9959597	tower	node	"470330779"
30.3132871	59.9977371	tower	node	"470330780"
30.3123269	59.9987419	tower	node	"470330781"
30.3114004	59.9996995	tower	node	"470330782"
30.3101992	60.0009764	tower	node	"470330783"
30.2857878	60.0049284	tower	node	"470330868"
30.2808626	60.0055658	tower	node	"470330870"
30.2764023	60.0061533	tower	node	"470330871"
30.2704673	60.0069222	tower	node	"470330873"
30.2664113	60.0074466	tower	node	"470330874"
30.3069163	60.0021874	tower	node	"489538525"
30.2995133	60.003158	tower	node	"489538527"
30.2963705	60.0035491	tower	node	"489538529"
30.3036718	60.0026414	tower	node	"496956626"
30.2915373	60.0041524	tower	node	"496956628"
30.2577341	60.006075	tower	node	"496960144"
30.2566862	60.0040734	tower	node	"496960146"
30.2555081	60.0018061	tower	node	"496960148"
30.2673862	60.0093532	tower	node	"496960154"
30.2686651	60.0118158	tower	node	"496960156"
30.2699697	60.0143983	tower	node	"496960158"
30.2714031	60.0171393	tower	node	"496960159"
30.2722958	60.0188506	tower	node	"496960161"
30.2737636	60.0218442	tower	node	"496960163"
30.2746477	60.0236262	tower	node	"496960164"
30.2362456	60.0093336	tower	node	"496961524"
30.4575506	60.0203206	tower	node	"503979090"
30.4578115	60.0176153	tower	node	"503979092"
30.4575049	60.0158237	tower	node	"503979093"
30.4571929	60.0134531	tower	node	"503979095"
30.4566007	60.0114256	tower	node	"503979096"
30.4563467	60.0083008	tower	node	"503979098"
30.4561724	60.0054242	tower	node	"503979099"
30.456077	60.0025492	tower	node	"503979101"
30.4559267	59.9997641	tower	node	"503979106"
30.4552263	59.9886532	tower	node	"503979109"
30.4550384	59.9863979	tower	node	"503979112"
30.4535848	59.9765861	tower	node	"503979117"
30.3880094	59.9797227	tower	node	"526141686"
30.3907566	59.9792211	tower	node	"526141689"
30.3990155	59.9777385	tower	node	"526141694"
30.4023736	59.9773738	tower	node	"526141699"
30.4051332	59.9770745	tower	node	"526141737"
30.4087699	59.9767002	tower	node	"526141739"
30.3854576	59.9791496	tower	node	"526142070"
30.4146372	59.9754478	tower	node	"526142072"
30.419218	59.9749975	tower	node	"526142074"
30.4248662	59.9749941	tower	node	"526142077"
30.433641	59.9749949	tower	node	"526142081"
30.3799396	59.9763684	tower	node	"526143127"
30.4116857	59.9757729	tower	node	"526628728"
30.528745	59.7867655	tower	node	"570824157"
30.5281549	59.789859	tower	node	"570824161"
30.5276077	59.7929845	tower	node	"570824164"
30.5270391	59.7961044	tower	node	"570824166"
30.5285841	59.7975725	tower	node	"570824168"
30.5306762	59.7992348	tower	node	"570824171"
30.5334013	59.801577	tower	node	"570824172"
30.5369204	59.8044964	tower	node	"570824173"
30.5403536	59.8073292	tower	node	"570824174"
30.5434113	59.809919	tower	node	"570824175"
30.546866	59.8127945	tower	node	"570824182"
30.5482608	59.8139166	tower	node	"570824185"
30.5480676	59.8146341	tower	node	"570824193"
30.5461794	59.813102	tower	node	"570824195"
30.5426388	59.8101186	tower	node	"570824198"
30.5365449	59.8049982	tower	node	"570824200"
30.533927	59.8029153	tower	node	"570824202"
30.5310946	59.8004599	tower	node	"570824205"
30.5280728	59.7979956	tower	node	"570824207"
30.5261593	59.7963041	tower	node	"570824209"
30.5266207	59.7936755	tower	node	"570824212"
30.5271893	59.7906579	tower	node	"570824214"
30.5277365	59.7876185	tower	node	"570824217"
30.5282549	59.7845577	tower	node	"570824220"
30.2247813	60.022948	tower	node	"577497495"
30.221691	60.0216536	tower	node	"577497499"
30.2230021	60.0199236	tower	node	"577497500"
30.2246975	60.0184754	tower	node	"577497501"
30.2264216	60.0170976	tower	node	"577497506"
30.2282024	60.0155872	tower	node	"577497509"
30.2298215	60.0142452	tower	node	"577497512"
30.231531	60.0127932	tower	node	"577497523"
30.23285	60.0111833	tower	node	"577497527"
30.2341012	60.0097521	tower	node	"577497531"
30.2507361	60.0387955	tower	node	"577498559"
30.2461411	60.0353228	tower	node	"577498562"
30.2495874	60.0324132	tower	node	"577498563"
30.2493406	60.0311114	tower	node	"577498564"
30.2455698	60.0300171	tower	node	"577498565"
30.2431434	60.0293129	tower	node	"577498566"
30.2376792	60.0277002	tower	node	"577498567"
30.232894	60.0262826	tower	node	"577498568"
30.2282574	60.0243686	tower	node	"577498569"
30.2405967	60.0285677	tower	node	"577498618"
30.45962	59.9623856	tower	node	"581205118"
30.4578513	59.9641489	tower	node	"581205120"
30.4569983	59.965481	tower	node	"581205121"
30.4551835	59.9672225	tower	node	"581205123"
30.4532821	59.9690827	tower	node	"581205125"
30.4537262	59.9691185	tower	node	"581207089"
30.4558173	59.9671539	tower	node	"581207092"
30.4580205	59.9650403	tower	node	"581207101"
30.4604722	59.9626256	tower	node	"581207105"
30.4615782	59.9615951	tower	node	"581209495"
30.4639662	59.959235	tower	node	"581209497"
30.4651567	59.9570619	tower	node	"581209864"
30.4629066	59.9591646	tower	node	"581209866"
30.4606278	59.9613217	tower	node	"581209867"
30.4660082	59.9572834	tower	node	"581209994"
30.4601366	59.9462074	tower	node	"581212243"
30.4599657	59.9490627	tower	node	"581212245"
30.459789	59.9518088	tower	node	"581212247"
30.4595822	59.953384	tower	node	"581212248"
30.4602935	59.954989	tower	node	"581212253"
30.4635066	59.9558522	tower	node	"581212255"
30.4636113	59.9555873	tower	node	"581213004"
30.4607027	59.9548823	tower	node	"581213005"
30.4600621	59.9535615	tower	node	"581213007"
30.4602329	59.9518992	tower	node	"581213009"
30.4604139	59.9490923	tower	node	"581213111"
30.4605852	59.9462799	tower	node	"581213112"
30.4625733	59.9441037	tower	node	"581215878"
30.4659283	59.9408898	tower	node	"581215880"
30.4686352	59.9383548	tower	node	"581215882"
30.4714934	59.9355648	tower	node	"581215884"
30.4733124	59.9338294	tower	node	"581215886"
30.4729144	59.9336129	tower	node	"581216300"
30.4710176	59.9354524	tower	node	"581216301"
30.4681093	59.9382194	tower	node	"581216303"
30.4656322	59.9406775	tower	node	"581216305"
30.462893	59.9432495	tower	node	"581216307"
30.4776417	59.9327787	tower	node	"581216911"
30.4783341	59.9329572	tower	node	"581217917"
30.4825197	59.9322297	tower	node	"581217919"
30.4823678	59.9320084	tower	node	"581218383"
30.4875706	59.9313685	tower	node	"581219097"
30.4923418	59.9305525	tower	node	"581219099"
30.4872771	59.9311605	tower	node	"581219205"
30.492171	59.9303124	tower	node	"581219207"
30.4971963	59.9296687	tower	node	"581219748"
30.5010672	59.9286859	tower	node	"581219756"
30.497028	59.9294399	tower	node	"581220255"
30.5008627	59.9285008	tower	node	"581220261"
30.3767384	60.0276166	tower	node	"583585487"
30.3809597	60.0299069	tower	node	"583585488"
30.3833375	60.029217	tower	node	"583585489"
30.3860134	60.0284409	tower	node	"583585490"
30.3890819	60.0276048	tower	node	"583585491"
30.3927691	60.0265947	tower	node	"583585492"
30.3948882	60.0260636	tower	node	"583585493"
30.3929657	60.024378	tower	node	"583585494"
30.390573	60.022121	tower	node	"583585495"
30.387712	60.0194637	tower	node	"583585496"
30.3853624	60.0171849	tower	node	"583585498"
30.3841466	60.0154355	tower	node	"583585499"
30.382296	60.0124499	tower	node	"583585500"
30.3953179	60.0257533	tower	node	"583585501"
30.3930194	60.0236382	tower	node	"583585502"
30.390187	60.0210275	tower	node	"583585503"
30.387458	60.0184718	tower	node	"583585504"
30.386106	60.0171583	tower	node	"583585505"
30.3849084	60.0153551	tower	node	"583585506"
30.383091	60.0123352	tower	node	"583585507"
30.4490484	59.9752393	tower	node	"599481723"
30.4467692	59.9749179	tower	node	"599482007"
30.3499624	59.831866	tower	node	"655389609"
30.3771628	59.8392031	tower	node	"671628889"
30.375606	59.8413699	tower	node	"671628917"
30.3754783	59.8421156	tower	node	"671628936"
30.3759159	59.8415261	tower	node	"671628937"
30.3775699	59.8392582	tower	node	"671628949"
30.3714646	59.8429156	tower	node	"671628953"
30.3711934	59.8425618	tower	node	"671628954"
30.3881705	59.8253303	tower	node	"672373234"
30.3879087	59.8251376	tower	node	"672373308"
30.3870926	59.8265747	tower	node	"672373313"
30.3866774	59.826475	tower	node	"672373314"
30.3845484	59.8289292	tower	node	"672373315"
30.3849636	59.8290282	tower	node	"672373316"
30.3836219	59.8303712	tower	node	"672373319"
30.3832243	59.8302647	tower	node	"672373323"
30.3929951	59.8249418	tower	node	"672373326"
30.392924	59.8247271	tower	node	"672373333"
30.3991643	59.8244341	tower	node	"672373335"
30.3990892	59.8242211	tower	node	"672373337"
30.4047355	59.8237584	tower	node	"672373341"
30.4055563	59.8239111	tower	node	"672373343"
30.3807046	59.8332172	tower	node	"672373344"
30.3802847	59.83314	tower	node	"672373345"
30.3798368	59.8349299	tower	node	"672373347"
30.3793815	59.8348794	tower	node	"672373349"
30.3791594	59.8362012	tower	node	"672373351"
30.3787093	59.8361507	tower	node	"672373353"
30.4103049	59.8221498	tower	node	"672373371"
30.4102473	59.8219066	tower	node	"672373372"
30.4165705	59.8233861	tower	node	"672373373"
30.4166623	59.8231389	tower	node	"672373378"
30.4227751	59.8245414	tower	node	"672373388"
30.4229064	59.8243594	tower	node	"672373390"
30.4284667	59.8255688	tower	node	"672373392"
30.4286747	59.8254029	tower	node	"672373394"
30.436683	59.8254028	tower	node	"672373396"
30.4375908	59.8260042	tower	node	"672373399"
30.4339951	59.8266511	tower	node	"672373401"
30.4348562	59.8265695	tower	node	"672373404"
30.4345753	59.8270405	tower	node	"672373406"
30.4365344	59.8272439	tower	node	"672373408"
30.4395583	59.8273426	tower	node	"672373409"
30.4386616	59.8266098	tower	node	"672373410"
30.4376807	59.8279075	tower	node	"672373411"
30.4416952	59.828494	tower	node	"672373412"
30.4420721	59.8277345	tower	node	"672373413"
30.4420411	59.8273791	tower	node	"672373415"
30.3459901	59.8476745	tower	node	"672905415"
30.3463053	59.8480438	tower	node	"672905416"
30.3453562	59.8480164	tower	node	"672905417"
30.350211	59.8468229	tower	node	"672905418"
30.3503397	59.846993	tower	node	"672905419"
30.3504431	59.8471806	tower	node	"672905420"
30.3546125	59.8459229	tower	node	"672905421"
30.354764	59.8460963	tower	node	"672905422"
30.3547866	59.8463002	tower	node	"672905423"
30.3590918	59.8450075	tower	node	"672905424"
30.3592175	59.8451918	tower	node	"672905425"
30.359277	59.845383	tower	node	"672905426"
30.3635408	59.8440967	tower	node	"672905427"
30.3636757	59.8442887	tower	node	"672905428"
30.3640474	59.8444147	tower	node	"672905429"
30.3683473	59.8431259	tower	node	"672905430"
30.3680788	59.8436088	tower	node	"672905431"
30.3682253	59.8433558	tower	node	"672905432"
30.3713338	59.8427468	tower	node	"672905433"
30.34538	59.8542264	tower	node	"672933653"
30.3451362	59.8542997	tower	node	"672933654"
30.3462088	59.8542596	tower	node	"672933655"
30.3468308	59.8557775	tower	node	"672933656"
30.347071	59.8557059	tower	node	"672933657"
30.3481612	59.8556251	tower	node	"672933658"
30.3487745	59.8571844	tower	node	"672933659"
30.3485288	59.8572615	tower	node	"672933660"
30.3513524	59.8559897	tower	node	"672933661"
30.3502069	59.8587259	tower	node	"672933662"
30.3505225	59.8586975	tower	node	"672933663"
30.35494	59.8563985	tower	node	"672933664"
30.3496474	59.8600025	tower	node	"672933665"
30.3489636	59.8616074	tower	node	"672933666"
30.3492398	59.861641	tower	node	"672933667"
30.3499227	59.8600677	tower	node	"672933668"
30.3581749	59.8567525	tower	node	"672933669"
30.3613523	59.8571193	tower	node	"672933670"
30.3639754	59.8574165	tower	node	"672933671"
30.3675036	59.8577761	tower	node	"672933672"
30.3709386	59.8581143	tower	node	"672933673"
30.374336	59.8584537	tower	node	"672933674"
30.3817784	59.859088	tower	node	"672933676"
30.3858268	59.859515	tower	node	"672933677"
30.3901083	59.8599097	tower	node	"672933678"
30.3950221	59.8603767	tower	node	"672933679"
30.3978903	59.8597523	tower	node	"672933680"
30.4021325	59.8588485	tower	node	"672933681"
30.4051409	59.8597458	tower	node	"672933682"
30.4090019	59.8608882	tower	node	"672933683"
30.4309316	59.8473032	tower	node	"672947096"
30.4265693	59.8528607	tower	node	"672947099"
30.4287889	59.8500374	tower	node	"672947101"
30.4298687	59.848661	tower	node	"672947103"
30.4276898	59.8514277	tower	node	"672947106"
30.4321569	59.8457709	tower	node	"672947108"
30.4334441	59.8441676	tower	node	"672947110"
30.4146509	59.8608001	tower	node	"672947124"
30.4113343	59.8608516	tower	node	"672947126"
30.4203906	59.8606984	tower	node	"672947129"
30.4178666	59.8607393	tower	node	"672947131"
30.4209442	59.8599994	tower	node	"672947134"
30.4252797	59.8545062	tower	node	"672947136"
30.4240265	59.8560712	tower	node	"672947138"
30.4225508	59.8579461	tower	node	"672947140"
30.4231981	59.861012	tower	node	"672947143"
30.4093746	59.8753124	tower	node	"672973374"
30.4034864	59.8794763	tower	node	"672973375"
30.4067799	59.8773484	tower	node	"672973376"
30.3998698	59.8831749	tower	node	"672973377"
30.4038221	59.8811841	tower	node	"672973378"
30.3999983	59.8843259	tower	node	"672973379"
30.4349493	59.842206	tower	node	"672973380"
30.4385071	59.8421754	tower	node	"672973382"
30.4418114	59.8421125	tower	node	"672973383"
30.4263373	59.8611269	tower	node	"672973384"
30.4263509	59.8613223	tower	node	"672973386"
30.4275157	59.861443	tower	node	"672973396"
30.4304111	59.8627133	tower	node	"672973398"
30.419958	59.8682449	tower	node	"672973399"
30.4138263	59.8726278	tower	node	"672973400"
30.4113691	59.8749551	tower	node	"672973401"
30.4169	59.8704232	tower	node	"672973402"
30.422319	59.8669036	tower	node	"672973403"
30.426468	59.8647553	tower	node	"672973404"
30.4023308	59.8866989	tower	node	"672979219"
30.4043725	59.8879834	tower	node	"672979220"
30.4092957	59.8888316	tower	node	"672979221"
30.412246	59.8895986	tower	node	"672979226"
30.3440641	59.8729924	tower	node	"672984003"
30.3433317	59.8746996	tower	node	"672984004"
30.3436126	59.87473	tower	node	"672984005"
30.3483517	59.8630186	tower	node	"672984006"
30.3486417	59.8630464	tower	node	"672984007"
30.3480671	59.8643521	tower	node	"672984008"
30.3465509	59.8672167	tower	node	"672984009"
30.3468296	59.8672404	tower	node	"672984010"
30.3476827	59.8645676	tower	node	"672984011"
30.3471203	59.8658899	tower	node	"672984012"
30.3473947	59.8659164	tower	node	"672984013"
30.346	59.8685424	tower	node	"672984014"
30.34629	59.8685632	tower	node	"672984015"
30.3454212	59.8698709	tower	node	"672984016"
30.3456911	59.869908	tower	node	"672984017"
30.3446407	59.871678	tower	node	"672984018"
30.3449165	59.8717058	tower	node	"672984019"
30.3443415	59.8730181	tower	node	"672984020"
30.3426142	59.8764123	tower	node	"672984021"
30.34288	59.8764441	tower	node	"672984022"
30.342027	59.8777306	tower	node	"672984023"
30.3423104	59.8777623	tower	node	"672984024"
30.3812485	59.979402	tower	node	"674278838"
30.3813337	59.9774427	tower	node	"674278840"
30.3844253	59.9783097	tower	node	"674278842"
30.3829765	59.9781045	tower	node	"674278843"
30.3837347	59.978154	tower	node	"674278844"
30.3835405	59.9775445	tower	node	"674278845"
30.3828139	59.9794113	tower	node	"674278847"
30.3844274	59.9791594	tower	node	"674278849"
30.3847863	59.979137	tower	node	"674278850"
30.384509	59.9794265	tower	node	"674278852"
30.3863193	59.978922	tower	node	"674278853"
30.3898341	59.9785018	tower	node	"674278856"
30.392766	59.9781722	tower	node	"674278857"
30.3938035	59.9780662	tower	node	"674278861"
30.3951705	59.9785166	tower	node	"674278863"
30.3969723	59.9777071	tower	node	"674278864"
