X	Y	NAME	NAME_EN	NAME_RU	RAILWAY	HIGHWAY	REF	NETWORK	PUBLIC_TRA	OSM_TYPE	OSM_ID
30.464907	59.8676611	проспект Обуховской обороны				bus_stop			platform	node	"15499719"
30.3781286	59.8313957	станция метро «Купчино»			tram_stop				stop_position	node	"254943226"
30.3561587	59.8795726	Волковский проспект			tram_stop				stop_position	node	"255282238"
30.3351125	59.855108	проспект Юрия Гагарина			tram_stop				stop_position	node	"255352756"
30.3887637	60.0039959	Политехнический институт				bus_stop			platform	node	"255479610"
30.4396445	59.8919391	улица Крупской			tram_stop				stop_position	node	"256217563"
30.2311616	60.0232125	"улица Шаврова, Политехнический колледж"			tram_stop				stop_position	node	"270964617"
30.2448159	60.0116076	Торговый центр			tram_stop				stop_position	node	"273102046"
30.2481257	60.0087912	улица Ильюшина			tram_stop				stop_position	node	"273102047"
30.241901	60.0140913	Долгоозёрная улица			tram_stop				stop_position	node	"273102066"
30.2377029	60.017663	Школа			tram_stop				stop_position	node	"273102080"
30.2578357	60.0071544	станция метро «Комендантский проспект»			tram_stop				stop_position	node	"273102140"
30.2664898	60.007093	улица Маршала Новикова			tram_stop				stop_position	node	"273102141"
30.2720709	60.0063641	проспект Сизова			tram_stop				stop_position	node	"273102282"
30.2761687	60.0058302	Байконурская улица			tram_stop				stop_position	node	"273102283"
30.2809059	60.0052157	Серебристый бульвар			tram_stop				stop_position	node	"273102346"
30.2898322	60.0040527	"проспект Испытателей, 11"			tram_stop				stop_position	node	"273102514"
30.2968689	60.0031367	станция метро «Пионерская»			tram_stop				stop_position	node	"273102515"
30.3675738	60.0119829	конечная станция «Тихорецкий проспект»			tram_stop				stop_position	node	"277372868"
30.3170066	60.0647492	улица Жени Егоровой			tram_stop				stop_position	node	"297682297"
30.4063181	60.0464665	Суздальский проспект			tram_stop				stop_position	node	"297683724"
30.4383424	60.0048208	железнодорожная станция «Ручьи»			tram_stop				stop_position	node	"297684674"
30.4327784	60.0326004	проспект Просвещения			tram_stop				stop_position	node	"297685031"
30.4266229	59.9842021	проспект Мечникова			tram_stop				stop_position	node	"297685767"
30.2542251	59.991007	станция метро «Старая Деревня»				bus_stop			platform	node	"298318596"
30.2890979	59.9250607	Лермонтовский проспект		Лермонтовский проспект		bus_stop			platform	node	"311101150"
30.299005	59.9643543	Чкаловский проспект				bus_stop			platform	node	"330932884"
30.2984969	59.9663674	"Левашовский проспект, 2"				bus_stop			platform	node	"331269322"
30.3053451	59.9644452	Большой проспект П.С.		Большой проспект П.С.		bus_stop			platform	node	"334308483"
30.3007943	59.9664351	Бармалеева улица		Бармалеева улица		bus_stop			platform	node	"339348271"
30.3078889	59.9613202	улица Ленина				bus_stop			platform	node	"339393373"
30.3230997	59.8649495	станция метро «Парк Победы»				bus_stop			platform	node	"352785098"
30.3219084	59.8647857	станция метро «Парк Победы»				bus_stop			platform	node	"352785099"
29.4593949	60.1801341	"посёлок Смолячково, пансионат «Восток-6»"				bus_stop			platform	node	"354052638"
30.1237227	59.8492226	Железнодорожный переезд			tram_stop				stop_position	node	"355003730"
30.062183	59.8512318	Стрельна			tram_stop				stop_position	node	"355003825"
30.1198386	59.8543215	Ленинградский электромеханический завод			tram_stop				stop_position	node	"355004485"
30.3762696	59.8749208	Магазин «Гранат»			tram_stop				stop_position	node	"359702845"
30.3543644	59.8972066	станция метро «Волковская»			tram_stop				stop_position	node	"359702887"
29.9573438	60.1221764	санатории «Белые ночи» и «Дюны»				bus_stop			platform	node	"360823597"
29.9734739	60.1209448	Заречная дорога				bus_stop			platform	node	"360825936"
29.7663759	59.9969119	Гостиный двор				bus_stop			platform	node	"362831206"
29.7634797	60.0020496	Кронштадтские ворота				bus_stop			platform	node	"362831214"
30.3624364	60.0083508	улица Курчатова				bus_stop			platform	node	"365073186"
30.3554879	60.0065313	"улица Курчатова, угол проспект Тореза"				bus_stop			platform	node	"365075021"
30.3895274	59.8747355	Пражская улица				bus_stop			platform	node	"367890809"
30.3877996	59.8743776	Пражская улица				bus_stop			platform	node	"367890810"
30.3979963	59.8772388	улица Белы Куна				bus_stop			platform	node	"367890811"
30.4044966	59.8729027	"Софийская улица, 43"				bus_stop			platform	node	"367890812"
30.4046345	59.873271	"Софийская улица, 43"				bus_stop			platform	node	"367890813"
30.3576625	59.8963162	станция метро «Волковская»				bus_stop			platform	node	"371253325"
30.3056973	59.9441608	Биржевая площадь	Exchange Square	Биржевая площадь		bus_stop			platform	node	"380729632"
30.3198144	59.956503	станция метро «Горьковская»			tram_stop				stop_position	node	"382403350"
30.4375261	59.9635668	"проспект Энергетиков, 46"				bus_stop			platform	node	"388236439"
30.4361246	59.9602719	проспект Энергетиков				bus_stop			platform	node	"388237421"
30.437894	59.9594719	шоссе Революции				bus_stop			platform	node	"388237641"
30.297374	59.9548636	Пионерская улица				bus_stop			platform	node	"394829991"
30.2972008	59.9519359	переулок Талалихина				bus_stop			platform	node	"394830183"
30.4383461	59.9611497	шоссе Революции				bus_stop			platform	node	"401445409"
30.4409447	59.9602117	проспект Энергетиков				bus_stop			platform	node	"401445418"
30.4304555	59.9600196	улица Маршала Тухачевского				bus_stop			platform	node	"401445548"
30.4327475	59.9598784	улица Маршала Тухачевского				bus_stop			platform	node	"401445622"
30.4380528	59.963841	"проспект Энергетиков, 46"				bus_stop			platform	node	"401445969"
30.4370657	59.9681653	улица Стасовой				bus_stop			platform	node	"401445980"
30.4375874	59.9686528	улица Стасовой				bus_stop			platform	node	"401446029"
30.4366158	59.9728076	"проспект Энергетиков, 72"				bus_stop			platform	node	"401446643"
30.4371361	59.973001	"проспект Энергетиков, 72"				bus_stop			platform	node	"401446662"
30.4361649	59.9761003	Екатерининский проспект				bus_stop			platform	node	"401448434"
30.4363517	59.9767933	Екатерининский проспект				bus_stop			platform	node	"401448446"
30.4205809	59.9804645	Пискарёвский проспект				bus_stop			platform	node	"401448452"
30.4296417	59.9780132	Ортопедический центр				bus_stop			platform	node	"401448486"
30.4216508	59.979907	Пискарёвский проспект				bus_stop			platform	node	"401448627"
30.4217049	59.9596486	проспект Металлистов				bus_stop			platform	node	"401449242"
30.4235333	59.9594856	проспект Металлистов				bus_stop			platform	node	"401449299"
30.2641857	59.7612232	Южное кладбище				bus_stop			platform	node	"410512560"
30.3322149	59.770654	Пулковская обсерватория				bus_stop			platform	node	"410525401"
30.3234075	59.8237978	торговый центр «Метро»				bus_stop			platform	node	"410525405"
30.3231897	59.8277177	супермаркет «О'Кей»				bus_stop			platform	node	"410525407"
30.3245342	59.8043293	Внуковская улица				bus_stop			platform	node	"410525415"
30.476735	59.941159	Ленская улица				bus_stop			platform	node	"423129705"
30.4774907	59.9416972	Ленская улица				bus_stop			platform	node	"423129727"
30.4776139	59.9442717	проспект Косыгина				bus_stop			platform	node	"423129747"
30.4769549	59.9448437	Индустриальный проспект				bus_stop			platform	node	"423129765"
30.4666603	59.9418321	улица Передовиков				bus_stop			platform	node	"423158240"
30.464457	59.9415973	улица Передовиков				bus_stop			platform	node	"423158241"
30.4652942	59.9421457	улица Передовиков				bus_stop			platform	node	"423158243"
30.4889446	59.9400529	Ленская улица (проспект Наставников)				bus_stop			platform	node	"423158265"
30.4899414	59.9408096	Ленская улица (проспект Наставников)				bus_stop			platform	node	"423158272"
30.4900369	59.9453777	проспект Наставников				bus_stop			platform	node	"423158289"
30.4921287	59.9450531	проспект Наставников				bus_stop			platform	node	"423158303"
30.4902993	59.9445239	проспект Косыгина				bus_stop			platform	node	"423158328"
30.4778034	59.9456915	проспект Косыгина				bus_stop			platform	node	"424007652"
30.4762235	59.9374359	Индустриальный проспект				bus_stop			platform	node	"424014430"
30.4768518	59.9369033	Хасанская улица				bus_stop			platform	node	"424014432"
30.4815516	59.9367498	"Хасанская улица, 6"				bus_stop			platform	node	"424014433"
30.3252824	59.9719282	Инструментальная улица				bus_stop			platform	node	"425426245"
30.3205536	59.9709986	Аптекарский проспект				bus_stop			platform	node	"425426455"
30.3140358	59.9707385	улица Профессора Попова		улица Профессора Попова		bus_stop			platform	node	"425427032"
30.2409571	60.112381	дорога в посёлок Песочный				bus_stop			platform	node	"426044260"
30.467137	59.9207998	Ледовый дворец				bus_stop			platform	node	"427144770"
