X	Y	NAME	NAME_EN	NAME_RU	RAILWAY	STATION	OSM_TYPE	OSM_ID
30.3547672	59.9904636	Кушелевка			station		node	"308112"
30.4250102	59.9882032	Пискарёвка			station		node	"308149"
30.3581566	59.9581823	Санкт-Петербург-Финляндский	St Petersburg–Finlyandsky	Санкт-Петербург - Финляндский	station		node	"7535181"
30.3631131	59.926932	Санкт-Петербург-Главный	St. Petersburg Glavny		station		node	"21596808"
30.3307149	59.9188181	Санкт-Петербург-Витебский		Санкт-Петербург-Витебский	station		node	"21683296"
30.3016813	60.039164	Озерки			halt		node	"21751960"
30.2964601	60.039202	Озёрная			station		node	"21751966"
30.3874886	59.9090382	Глухоозёрская			station		node	"22325156"
30.151492	60.1175463	Песочная			halt		node	"25507781"
30.2186217	60.1043173	Левашово			station		node	"25532584"
30.3133912	60.0175399	Удельная			halt		node	"25716898"
30.429679	59.7230377	Царское Село			station		node	"27024681"
30.4207836	59.7407319	Детскосельская			halt		node	"27024723"
29.9548461	60.1111424	Курорт	Kurort		halt		node	"64830771"
30.3128296	59.9649148	Петроградская	Petrogradskaya	Петроградская	station	subway	node	"88802787"
30.3194568	59.9551564	Горьковская	Gor'kovskaya	Горьковская	station	subway	node	"88803981"
30.2890649	59.9501285	Спортивная	Sportivnaya	Спортивная	station	subway	node	"88833360"
30.2924203	59.9593342	Чкаловская	Chkalovskaya	Чкаловская	station	subway	node	"88833366"
30.3181589	60.0179314	Удельная	Udel'naya	Удельная	station	subway	node	"90551453"
30.262192	59.9705962	Крестовский остров	Krestovskiy ostrov	Крестовский остров	station	subway	node	"91264383"
30.2556348	59.987678	Старая Деревня	Staraya Derevnya	Старая Деревня	station	subway	node	"91264384"
30.3193825	59.9276034	Садовая	Sadovaya	Садовая	station	subway	node	"92580819"
30.3200465	59.9259772	Сенная площадь	Sennaya ploschad'	Сенная площадь	station	subway	node	"94857612"
30.3458263	59.9268264	Достоевская	Dostoyevskaya	Достоевская	station	subway	node	"94858991"
30.359275	59.9215938	Лиговский проспект	Ligovskiy prospekt	Лиговский проспект	station	subway	node	"94877075"
30.3868253	59.9233521	Площадь Александра Невского 1	Ploschad' Aleksandra Nevskogo 1	Площадь Александра Невского 1	station	subway	node	"94890886"
30.4152087	59.9295952	Новочеркасская	Novocherkasskaya	Новочеркасская	station	subway	node	"94891390"
30.4424153	59.9315249	Ладожская	Ladozhskaya	Ладожская	station	subway	node	"94896142"
30.3008958	59.9872271	Чёрная речка	Chyornaya rechka	Чёрная речка	station	subway	node	"96449579"
30.2963474	60.0043005	Пионерская	Pionerskaya	Пионерская	station	subway	node	"96453108"
30.3210297	60.0353185	Озерки	Ozerki	Озерки	station	subway	node	"96459081"
30.3590236	59.9299928	Площадь Восстания	Ploschad' Vosstaniya	Площадь Восстания	station	subway	node	"97036546"
30.4817525	59.9090112	Улица Дыбенко	Ulitsa Dybenko	Улица Дыбенко	station	subway	node	"211439601"
30.4640141	59.92103	Проспект Большевиков	Prospekt Bol'shevikov	Проспект Большевиков	station	subway	node	"211439603"
29.6992582	59.9253673	Кронштадтская колония			halt		node	"246116842"
30.2954135	59.8905612	Электродепо			halt		node	"246118253"
29.6525063	59.9286873	Бронка			station		node	"246582496"
30.5002908	59.8308399	Рыбацкое	Rybatskoye	Рыбацкое	station	subway	node	"248088101"
30.4598459	59.8498292	Обухово	Obukhovo	Обухово	station	subway	node	"248088210"
30.4401471	59.8788174	Ломоносовская	Lomonosovskaya	Ломоносовская	station	subway	node	"249302441"
30.467311	59.8662645	Пролетарская	Proletarskaya	Пролетарская	station	subway	node	"249304980"
30.330204	59.9342459	Гостиный двор	Gostiny dvor	Гостиный двор	station	subway	node	"249307183"
30.2379397	59.9487362	Приморская	Primorskaya	Приморская	station	subway	node	"249307184"
30.318071	59.8926493	Московские ворота	Moskovskiye vorota	Московские ворота	station	subway	node	"249898478"
30.31797	59.9053289	Фрунзенская	Frunzenskaya	Фрунзенская	station	subway	node	"249902972"
30.3190724	59.8802598	Электросила	Elekrosila	Электросила	station	subway	node	"249904416"
30.2610038	59.8664791	Автово	Avtovo	Автово	station	subway	node	"258760945"
30.4400968	59.9304189	Санкт-Петербург-Ладожский		Санкт-Петербург-Ладожский	station		node	"265301052"
30.5491428	59.980289	Ковалёво пост			halt		node	"272368203"
30.3284024	59.9339756	Невский проспект	Nevskiy prospekt	Невский проспект	station	subway	node	"291557399"
30.3754914	59.8296814	Купчино	Kupchino	Купчино	station	subway	node	"298969888"
30.3026769	59.9076813	Балтийская	Baltiyskaya	Балтийская	station	subway	node	"312393508"
30.2740578	59.8997076	Нарвская	Narvskaya	Нарвская	station	subway	node	"313475956"
30.2605729	59.8782316	Кировский завод	Kirovskiy zavod	Кировский завод	station	subway	node	"313476034"
30.3214922	59.8676183	Парк Победы	Park Pobedy	Парк Победы	station	subway	node	"315025552"
30.3514616	59.8328763	Звёздная	Zvyozdnaya	Звёздная	station	subway	node	"315051539"
30.2683895	59.850646	Ленинский проспект	Leninskiy prospekt	Ленинский проспект	station	subway	node	"344890527"
30.2520174	59.8419484	Проспект Ветеранов	Prospekt Veteranov	Проспект Ветеранов	station	subway	node	"344890631"
30.3604481	59.8965111	Волковская	Volkovskaya	Волковская	station	subway	node	"359711515"
30.3508884	59.9131687	Обводный канал	Obvodny kanal	Обводный канал	station	subway	node	"359711518"
29.9585264	60.0930885	Сестрорецк	Sestroretsk	Сестрорецк	station		node	"393980264"
30.2374901	59.9093033	Новый порт			station		node	"395306323"
30.5624623	59.8080358	Ижоры			halt		node	"423135571"
30.6782891	59.7728198	Сапёрная			halt		node	"423135573"
30.7202643	59.7683637	Усть-Тосненская			halt		node	"423135574"
30.2858851	59.695504	Кандакопшино			halt		node	"449326425"
29.8683959	60.1729638	Репино			halt		node	"505591307"
30.3223819	59.8514032	Московская	Moskovskaya	Московская	station	subway	node	"648222978"
30.3818778	59.868623	Международная	Mezhdunarodnaya	Международная	station	subway	node	"695134915"
30.3703188	59.8823279	Бухарестская	Bukharestskaya	Бухарестская	station	subway	node	"695134921"
30.3881743	59.8055985	Разъезд Юный			halt		node	"922690113"
29.5089631	60.2020662	Молодёжная			halt		node	"937255885"
30.1166349	59.7516937	Скачки			halt		node	"958287296"
30.1040874	59.7311174	Красное Село			station		node	"958287299"
30.1183299	59.7023314	Дудергоф			halt		node	"958287302"
30.4195547	59.8257694	Купчинская		Купчинская	station		node	"1002512043"
30.3567684	59.8167241	Среднерогатская			station		node	"1002512045"
30.2503408	59.8645527	Автово			station		node	"1002512063"
30.281404	59.8716979	Нарвская			station		node	"1002549286"
30.3049613	59.8827376	Корпусный пост			station		node	"1002742122"
29.8623215	59.8796926	Старый Петергоф	Old Petergof		station		node	"1103791452"
30.1463326	59.824734	Сосновая Поляна			halt		node	"1104461505"
30.3176937	59.9262622	Спасская	Spasskaya	Спасская	station	subway	node	"1109163153"
30.3779485	59.8256602	Молодёжная			station		node	"1371730163"
30.4198804	59.7417628	Царскосельская			station		node	"1371730216"
30.3884693	59.8057985	Шушары			station		node	"1377619868"
30.3974711	59.7876543	Паровозный музей			halt		node	"1382855996"
30.3138916	59.9361378	Адмиралтейская	Admiralteyskaya	Адмиралтейская	station	subway	node	"1440436739"
30.317345	59.9151867	Технологический институт 1	Tekhnologicheskiy institut 1	Технологический институт 1	station	subway	node	"1669571976"
30.3183867	59.9153356	Технологический институт 2	Tekhnologicheskiy institut 2	Технологический институт 2	station	subway	node	"1669571977"
30.4375952	60.0331428	Новая Охта			station		node	"1851427727"
30.338389	59.9057887	Боровая			halt		node	"1851450279"
29.80904	60.1845619	Комарово	Komarovo		halt		node	"1862930371"
30.5158033	59.9808193	Ржевка			station		node	"1913149506"
29.7504269	59.9204124	Ораниенбаум II			station		node	"1938480467"
30.338463	59.730948	Александровская			station		node	"2001886556"
29.8326206	59.8865427	Университетская			station		node	"2002835004"
30.253595	59.9880247	Старая Деревня			halt		node	"2008344182"
30.3762649	59.8297563	Купчино			halt		node	"2010278010"
29.7004653	60.2054905	Зеленогорск			station		node	"2011157176"
30.5797046	59.7622316	Ижорский завод	Izhorsky Zavod	Ижорский завод	halt		node	"2011157186"
30.6144735	59.7497863	Колпино	Kolpino	Колпино	station		node	"2011157190"
30.180905	59.8232709	Лигово			station		node	"2011157246"
30.4531922	59.8494371	Обухово	Obuhovo	Обухово	station		node	"2011157312"
30.4239028	59.867625	Сортировочная		Сортировочная	halt		node	"2011157422"
29.6246248	60.2207751	Ушково			halt		node	"2011157461"
30.4075614	59.8791585	Фарфоровская			halt		node	"2011157469"
30.0136787	60.1443327	Белоостров	Beloostrov		station		node	"2012627810"
30.2886236	59.8531739	Ленинский проспект		Ленинский проспект	halt		node	"2012751823"
30.5386476	59.7885972	Металлострой	Metallostroy	Металлострой	halt		node	"2012751829"
30.2968097	59.9917683	Новая Деревня			station		node	"2012751838"
30.4407761	60.004055	Ручьи			halt		node	"2012751852"
30.5127345	59.8072951	Славянка	Slavyanka	Славянка	station		node	"2012751855"
30.2580535	59.676817	Лесное			halt		node	"2023566255"
30.3553493	59.9572163	Площадь Ленина	Ploschad' Lenina	Площадь Ленина	station	subway	node	"2036827694"
30.34951	59.9693707	Выборгская	Vyborgskaya	Выборгская	station	subway	node	"2036840002"
30.3673518	60.001492	Площадь Мужества	Ploschad' Muzhestva	Площадь Мужества	station	subway	node	"2036851507"
30.3742911	60.0098587	Политехническая	Politekhnicheskaya	Политехническая	station	subway	node	"2036864189"
30.3927366	60.0121125	Академическая	Akademicheskaya	Академическая	station	subway	node	"2036865229"
30.4168173	60.0332461	Гражданский проспект	Grazhdanskiy prospekt	Гражданский проспект	station	subway	node	"2036899257"
30.3327653	59.9219058	Звенигородская	Zvenigorodskaya	Звенигородская	station	subway	node	"2080777576"
30.5011562	59.8312736	Рыбацкое			station		node	"2111802825"
30.6250048	59.7856552	Понтонная			halt		node	"2120375704"
30.332857	59.9212978	Пушкинская	Pushkinskaya	Пушкинская	station	subway	node	"2194446558"
30.3578653	60.058103	Парнас			station		node	"2238292659"
30.3340445	60.0669038	Парнас	Parnas	Парнас	station	subway	node	"2238315693"
30.3927556	59.8934875	Санкт-Петербург-Товарный-Московский	St. Petersburg Tovarny Moskovsky	Санкт-Петербург-Товарный-Московский	station		node	"2417778283"
30.2986856	59.9049266	Санкт-Петербург-Балтийский	Baltiysky railway station	Санкт-Петербург-Балтийский	station		node	"2434852978"
30.220512	59.8245459	Ульянка			halt		node	"2438877178"
30.2753586	59.9431765	Василеостровская	Vasileostrovskaya	Василеостровская	station	subway	node	"2468455392"
30.2954338	60.0257291	Юный			station		node	"2891968783"
29.7716752	59.9176681	Ораниенбаум			station		node	"3029611466"
30.1255386	59.7791113	Горелово			station		node	"3774659757"
30.4952796	59.8892116	Нева			station		node	"3940791607"
30.2713675	59.8371032	Дачное			halt		node	"3947213161"
30.0906001	59.8334724	Сергиево			halt		node	"3947213512"
29.9284551	59.8637066	Новый Петергоф	New Peterhof		station		node	"3947216640"
30.0319307	59.8473144	Стрельна			station		node	"3947217581"
30.32107	59.8143342	Аэропорт			halt		node	"4112240556"
30.4327713	59.6935464	Павловск	Pavlovsk		station		node	"4138001513"
30.3456881	59.8907756	Воздухоплавательный парк			halt		node	"4178587643"
30.4158605	59.8754866	Санкт-Петербург-Сортировочный-Московский	St. Petersburg Sortirovochny Moskovsky	Санкт-Петербург-Сортировочный-Московский	station		node	"4288702580"
30.3953316	59.8567195	Проспект Славы	Prospekt Slavy	Проспект Славы	station	subway	node	"4709806342"
30.4108979	59.8399935	Дунайская	Dunayskaya	Дунайская	station	subway	node	"4709806343"
30.4328244	59.8200697	Шушары	Shushary	Шушары	station	subway	node	"4709806344"
29.806539	59.9028154	Мартышкино			halt		node	"4877083016"
30.3655712	59.8517408	проспект Славы			halt		node	"4894377233"
30.3848602	59.9222225	Площадь Александра Невского 2	Ploschad' Aleksandra Nevskogo 2	Площадь Александра Невского 2	station	subway	node	"4946155636"
30.2976386	60.0465614	Шувалово			station		node	"4965103290"
30.3576214	59.9305436	Маяковская	Mayakovskaya	Маяковская	station	subway	node	"5369186762"
30.347344	59.9259851	Владимирская	Vladimirskaya	Владимирская	station	subway	node	"5369186787"
30.3456603	59.9865474	Лесная	Lesnaya	Лесная	station	subway	node	"5385958164"
30.2119155	59.9719562	Зенит	Zenit	Зенит	station	subway	node	"5614907439"
30.4217006	59.8980617	Елизаровская	Yelizarovskaya	Елизаровская	station	subway	node	"5628614983"
30.2021936	59.9872661	Беговая	Begovaya	Беговая	station	subway	node	"5644650789"
30.3718677	59.9071729	Навалочная	Navalochnaya	Навалочная	halt		node	"5673073320"
30.3922351	59.8929651	пост 5 км			halt		node	"5673073421"
30.327581	59.9949604	Ланская	Lanskaya		station		node	"5741053260"
30.152521	59.9945587	Лахта		Лахта	halt		node	"5741082687"
29.9446457	60.1581301	Солнечное			halt		node	"5744507215"
30.2585958	60.081186	Парголово	Pargolovo		station		node	"5748040614"
30.0124408	60.0144255	Лисий Нос			halt		node	"5764570565"
30.3469359	59.8867414	Санкт-Петербург-Товарный-Витебский			station		node	"5880742208"
30.3329039	60.0494229	Проспект Просвещения	Prospekt Prosvescheniya	Проспект Просвещения	station	subway	node	"5898596228"
30.332745	59.8080485	Шоссейная			station		node	"6003574578"
30.2564847	60.0103196	Комендантский проспект	Komendantskiy prospekt	Комендантский проспект	station	subway	node	"6242445475"
30.2902266	59.8327778	Предпортовая			station		node	"7397289554"
30.3612033	59.8954651	Волковская			station		node	"7734414997"
29.9962706	59.8536006	Михайловская Дача			halt		node	"7844973768"
30.2209854	59.9918243	Яхтенная			halt		node	"8486957977"
30.13043	59.9957572	Ольгино	Olgino		halt		node	"8487054453"
29.977294	60.0391669	Горская			halt		node	"8487132407"
29.9767824	60.0500035	Александровская			halt		node	"8487145301"
29.9734215	60.0621547	Тарховка			halt		node	"8487157629"
29.9681926	60.0788781	Разлив			halt		node	"8487172892"
30.1280388	60.122167	Дибуны			halt		node	"8487287442"
30.2927908	59.8760287	Броневая			station		node	"8519064427"
30.4458547	59.9643605	Полюстрово			station		node	"10591654719"
30.4366208	60.0164042	Депо Ручьи			halt		node	"10591676206"
