X	Y	NAME	NAME_EN	INT_NAME	NAME_RU	OFFICIAL_S	PLACE	A_CNTR	A_RGN	A_DSTRCT	A_PSTCD	POPULATION	OSM_TYPE	OSM_ID	oktmo
30.348289	59.731384	Александровская	Alexandrovskaya		Александровская	ru:посёлок	village	RU	Санкт-Петербург			"2807"	node	"27024679"	
30.415731	59.722256	Пушкин	Pushkin		Пушкин	ru:город	city	RU	Санкт-Петербург			"112978"	node	"27024680"	
30.316229	59.938732	Санкт-Петербург	Saint Petersburg	Sankt-Peterburg	Санкт-Петербург	ru:город	city					"5600044"	node	"27490597"	
30.604479	59.748444	Колпино	Kolpino		Колпино	ru:город	city	RU	Санкт-Петербург			"149766"	node	"60081897"	
29.7071585	60.1970751	Зеленогорск	Zelenogorsk		Зеленогорск	ru:город	town	RU	Санкт-Петербург			"15322"	node	"60477767"	
29.912041	59.881847	Петергоф	Petergof		Петергоф	ru:город	town	RU	Санкт-Петербург			"84930"	node	"83087798"	
29.9597606	60.0981084	Сестрорецк	Sestroretsk		Сестрорецк	ru:город	town	RU	Санкт-Петербург		"197706"	"43060"	node	"235967510"	
30.2795673	60.0837018	Парголово	Pargolovo		Парголово	ru:посёлок	town	RU	Санкт-Петербург			"81033"	node	"243067926"	
30.2040627	60.1024225	Левашово	Levashovo		Левашово	ru:посёлок	town	RU	Санкт-Петербург			"5559"	node	"244213400"	
30.0022237	60.0180549	Лисий Нос	Lisy Nos		Лисий Нос	ru:посёлок	village	RU	Санкт-Петербург			"4663"	node	"244216001"	
29.774652	59.990845	Кронштадт	Kronstadt		Кронштадт	ru:город	town	RU	Санкт-Петербург			"44353"	node	"244217868"	
30.0862468	59.7337993	Красное Село	Krasnoye Selo		Красное Село	ru:город	town	RU	Санкт-Петербург			"60029"	node	"252425945"	
29.8071642	60.1876413	Комарово	Komarovo		Комарово	ru:посёлок	village	RU	Санкт-Петербург			"1265"	node	"332484330"	
30.6905386	59.7780033	Сапёрный	Sapernyy		Сапёрный	ru:посёлок	village	RU	Санкт-Петербург			"1625"	node	"356482486"	
