WKT	NATURAL	OSM_TYPE	OSM_ID
"POLYGON ((30.4871706 59.975289,30.4871326 59.9752712,30.4868662 59.9754385,30.4866225 59.975557,30.4858009 59.9757147,30.4849216 59.9761624,30.4830146 59.9771524,30.4821383 59.9768164,30.4819508 59.9767445,30.4817978 59.976829,30.4812678 59.9771218,30.4810411 59.9775998,30.4836429 59.9793754,30.4832228 59.9833971,30.4858428 59.9832078,30.4865402 59.9831528,30.4901164 59.9828991,30.4901247 59.9829212,30.4902492 59.9829087,30.490357 59.9828994,30.4903461 59.9828702,30.492289 59.9827036,30.4931997 59.9795642,30.4910317 59.9781747,30.4903823 59.9773307,30.4902989 59.9772225,30.4898996 59.9763545,30.4897121 59.9761262,30.4897574 59.9759833,30.489359 59.9759035,30.4880125 59.975634,30.4872331 59.9753161,30.4871706 59.975289))"	heath	relation	"1322887"
"POLYGON ((30.2808697 60.0987491,30.2817435 60.0985173,30.2768569 60.0962008,30.2766684 60.096311,30.2761586 60.0966165,30.2756242 60.0968931,30.2748702 60.0973392,30.2743317 60.097616,30.2740168 60.0977316,30.2733374 60.0977564,30.2741533 60.0981602,30.2774007 60.0965713,30.2774896 60.0966327,30.2742626 60.0982276,30.2745697 60.0984092,30.274857 60.0984944,30.27575 60.098579,30.2786933 60.097187,30.2787974 60.0972493,30.2759757 60.0985824,30.2768991 60.098596,30.2765708 60.0983982,30.2771753 60.0981512,30.2780966 60.0986614,30.2790604 60.0987152,30.277699 60.0979603,30.2778299 60.0978762,30.2792932 60.0987119,30.2805789 60.0987665,30.2783536 60.0976601,30.278383 60.0975824,30.2784772 60.0975716,30.2808697 60.0987491),(30.275229 60.0982661,30.2761267 60.0977973,30.2762122 60.0975714,30.2765457 60.0975074,30.2780248 60.0968766,30.2781103 60.096932,30.276862 60.097614,30.2767765 60.0978655,30.2764944 60.0979806,30.2761096 60.0979976,30.2755197 60.0982704,30.2752717 60.0983088,30.275229 60.0982661))"	heath	relation	"1375708"
"POLYGON ((30.3072792 60.0741736,30.3079401 60.0744862,30.3091463 60.074652,30.3104251 60.074842,30.311071 60.0748798,30.3119393 60.0752959,30.3121863 60.0751537,30.3132198 60.0751455,30.3138255 60.0747436,30.3147589 60.0751566,30.3144033 60.0752758,30.3144977 60.0754393,30.3136447 60.075689,30.314259 60.0758216,30.3142699 60.0759354,30.3155159 60.0760322,30.3159868 60.0762944,30.3166234 60.0763692,30.3165917 60.0761274,30.3179124 60.0759319,30.314569 60.0740693,30.3087146 60.0708076,30.3073711 60.0698165,30.3065498 60.0694675,30.3063778 60.0694236,30.3059476 60.0693139,30.3055758 60.0692392,30.3037425 60.069076,30.3037431 60.0698031,30.3040435 60.0700461,30.3038031 60.0705766,30.3039318 60.0706965,30.3044726 60.0708678,30.3045155 60.0710691,30.3046614 60.0712232,30.3050734 60.0714459,30.3055712 60.07166,30.3054614 60.0719409,30.3055911 60.0719706,30.3057558 60.0719734,30.306034 60.0719427,30.3060028 60.0718501,30.3058947 60.0717269,30.3058021 60.0715574,30.3056014 60.0714496,30.3052309 60.0713417,30.3052 60.071257,30.3052617 60.0711723,30.3052154 60.0710413,30.3050919 60.0709566,30.3049221 60.0709181,30.3047831 60.0708025,30.3048758 60.070687,30.3051537 60.0708025,30.3054316 60.0708795,30.3052772 60.0707563,30.3051537 60.0706485,30.3051691 60.0705483,30.3052926 60.0704097,30.3055396 60.0703095,30.305833 60.0702325,30.3062498 60.0702017,30.3069446 60.0701092,30.3068056 60.070194,30.3064814 60.0703249,30.3065741 60.0704251,30.306219 60.0705483,30.3060491 60.0706716,30.3061726 60.0707871,30.3065432 60.0709335,30.3064814 60.0710105,30.3062807 60.0710336,30.3058947 60.0709643,30.3055551 60.0709566,30.3054161 60.0711723,30.30608 60.0715035,30.3064505 60.0717577,30.3066204 60.0719656,30.3071144 60.0719117,30.3075467 60.0717808,30.3081025 60.0717346,30.3089362 60.0719117,30.3093685 60.0722044,30.3096773 60.0724047,30.3098163 60.0724971,30.310125 60.0726743,30.3096464 60.0727205,30.3092141 60.0726127,30.3085657 60.0725125,30.3080253 60.0724124,30.3077937 60.0724971,30.3079481 60.0726358,30.3086583 60.072759,30.3093531 60.0728206,30.3101324 60.0729432,30.310614 60.0730685,30.3107892 60.0730607,30.3109298 60.0730765,30.3109551 60.0730894,30.3109402 60.0731036,30.3109464 60.0731164,30.3109248 60.0731225,30.3107679 60.0731162,30.3107075 60.0731414,30.3108003 60.0731661,30.3109328 60.0731742,30.3109517 60.0732115,30.3109027 60.0732293,30.310607 60.0732986,30.3104394 60.0732293,30.3101171 60.0732762,30.3097391 60.0731673,30.3091524 60.0730594,30.3087818 60.0729208,30.3080562 60.0728515,30.3079945 60.0729593,30.3078709 60.073044,30.3076702 60.0729901,30.3074386 60.0729362,30.3070527 60.0730671,30.3072997 60.0731981,30.3078246 60.0732212,30.3081952 60.0734214,30.3076857 60.0734137,30.3070681 60.0733444,30.3071762 60.0735678,30.3074541 60.0736833,30.3075776 60.0738451,30.3077937 60.0739837,30.3083187 60.0740761,30.308998 60.0741223,30.3096156 60.0742071,30.3101405 60.0743457,30.3104029 60.0743457,30.3105758 60.0741238,30.3108044 60.0741455,30.3107426 60.0743765,30.3114397 60.0745271,30.3118233 60.0745845,30.3123963 60.0746372,30.3123698 60.0747131,30.3120808 60.0746909,30.3119598 60.0747487,30.3122809 60.0748489,30.3122228 60.0749122,30.3118364 60.0748461,30.3117864 60.0749653,30.3115697 60.0749792,30.3113756 60.0748232,30.3111131 60.0747693,30.3108352 60.0747308,30.3104956 60.0746769,30.3099243 60.0745537,30.3096464 60.074492,30.3092913 60.0744381,30.3090134 60.0743919,30.3086275 60.0743688,30.3083496 60.0743457,30.308118 60.0743611,30.3078709 60.0743149,30.3077011 60.0742225,30.307593 60.0741377,30.3073923 60.0740453,30.3072792 60.0741736),(30.3046905 60.0705021,30.3046596 60.0703866,30.3046905 60.0702325,30.3046751 60.0701401,30.3045361 60.0699783,30.3044126 60.0698088,30.3042891 60.0696779,30.3041192 60.0696085,30.3040421 60.0695315,30.3042736 60.0695546,30.3044435 60.0696547,30.3046442 60.0698011,30.3047986 60.0699013,30.305061 60.0699552,30.3053081 60.0699321,30.3052 60.0697703,30.3051228 60.0695469,30.3054624 60.0695161,30.3056168 60.0696933,30.3058793 60.0696856,30.306219 60.0696162,30.3063888 60.0697857,30.3067902 60.0698242,30.3069755 60.0699629,30.3069292 60.0700399,30.3065277 60.0699629,30.3058639 60.0698242,30.3057712 60.0698858,30.3057558 60.069986,30.3060337 60.0700322,30.3063116 60.0700322,30.3064969 60.0700553,30.3064969 60.0701169,30.3063579 60.0701401,30.3061881 60.0701555,30.305833 60.0701786,30.3056014 60.070194,30.305447 60.0702479,30.3053081 60.0703095,30.3051228 60.0703249,30.3049838 60.0702479,30.3047986 60.0703018,30.3049221 60.0703634,30.3050147 60.0704174,30.3050147 60.0704713,30.3048449 60.0705175,30.3046905 60.0705021))"	scrub	relation	"1375814"
"POLYGON ((30.3118818 60.0408709,30.3119315 60.0408467,30.3121282 60.0408451,30.3122589 60.0408467,30.3125085 60.0408912,30.3127101 60.0407965,30.3124106 60.0408191,30.3121799 60.0407921,30.311862 60.0406861,30.3113203 60.0402322,30.3111898 60.040035,30.3109434 60.0399163,30.3106526 60.0398633,30.3096591 60.039902,30.3095406 60.0399113,30.3091809 60.0399397,30.3091487 60.0399684,30.3090998 60.0399866,30.3090194 60.0399443,30.3089613 60.0400773,30.3092206 60.0400636,30.3094345 60.0400735,30.3094771 60.0401223,30.3094567 60.0402463,30.3093978 60.0402916,30.3093887 60.0403887,30.3096542 60.0404559,30.3098131 60.0403454,30.3098347 60.0403093,30.3095758 60.0402508,30.3095764 60.0402158,30.3095956 60.0401344,30.309822 60.0401862,30.3100304 60.0402443,30.3101241 60.0401935,30.3101977 60.040111,30.310186 60.0400635,30.3102834 60.0400473,30.3104451 60.0400671,30.3104811 60.0401668,30.3107544 60.040259,30.3108744 60.0401925,30.3109965 60.0401485,30.311151 60.0401273,30.3112454 60.0402211,30.3114068 60.0403844,30.3118121 60.0407652,30.311821 60.0408616,30.3118049 60.0408859,30.3118818 60.0408709))"	beach	relation	"1441551"
"POLYGON ((30.3152699 60.0349735,30.3158537 60.0349586,30.3160336 60.0349628,30.3162388 60.0339819,30.3167834 60.0339823,30.3167955 60.0340851,30.3168115 60.0341488,30.3169115 60.0341707,30.317447 60.0341677,30.3180894 60.0341242,30.3180385 60.0340854,30.3180546 60.0340506,30.3184072 60.034011,30.3185956 60.0340159,30.3187265 60.0340218,30.3188324 60.0340465,30.3188628 60.0340139,30.3188002 60.033788,30.3188293 60.0335824,30.31911 60.0333026,30.3192452 60.0329709,30.3191522 60.0328509,30.3190344 60.0327213,30.3187408 60.0327204,30.3185879 60.0325625,30.3185869 60.0324282,30.318323 60.0324033,30.3180931 60.0323562,30.3179567 60.0322399,30.3179408 60.0321446,30.3181476 60.0320651,30.3181556 60.0318585,30.3178215 60.0318228,30.3177102 60.0318824,30.3176068 60.03193,30.3174795 60.0318506,30.3174954 60.0317632,30.3176943 60.0316321,30.3177261 60.0313857,30.3177022 60.0312705,30.3175988 60.031207,30.3174636 60.0312983,30.3173523 60.0314692,30.3172855 60.0318162,30.3172804 60.0319403,30.317291 60.0321023,30.3174601 60.0322449,30.317567 60.0322029,30.317723 60.0321887,30.3178181 60.0322305,30.3178219 60.0323502,30.3177306 60.0324604,30.317507 60.0325292,30.3173806 60.0326447,30.3172211 60.0326858,30.3170748 60.0328509,30.3168053 60.0329021,30.3165598 60.033137,30.3162792 60.0332846,30.3158846 60.0332307,30.3155222 60.0331632,30.3153495 60.0332589,30.3148934 60.0337421,30.3146567 60.0340106,30.3144943 60.0342159,30.3145028 60.0343909,30.3139803 60.0346574,30.3144041 60.0348061,30.3147197 60.0349476,30.3150012 60.0350255,30.3151153 60.0350312,30.3152699 60.0349735),(30.3179481 60.0326648,30.3179273 60.0326023,30.3180212 60.0325215,30.3182038 60.0324876,30.3183708 60.0325189,30.3184021 60.0325945,30.318303 60.0326622,30.3181412 60.0327013,30.3179481 60.0326648),(30.3170819 60.0330219,30.3172228 60.0329698,30.3173428 60.0329802,30.3176194 60.0330376,30.3178072 60.033134,30.3176611 60.0332018,30.3174941 60.0331627,30.317228 60.0330871,30.3170923 60.0330767,30.3170819 60.0330219),(30.3168167 60.0332888,30.3169315 60.0332367,30.3170515 60.0332471,30.3171246 60.0332992,30.3170933 60.0333722,30.3169732 60.0333957,30.3168584 60.03338,30.3167906 60.0333383,30.3168167 60.0332888),(30.3186929 60.0340163,30.3176722 60.0339877,30.3176946 60.0336656,30.3187287 60.0336902,30.3186929 60.0340163))"	grassland	relation	"1441556"
"POLYGON ((30.3111287 60.0415346,30.3112736 60.0413449,30.3109793 60.0412568,30.3108975 60.0414084,30.3106839 60.0413547,30.3103363 60.0412225,30.3101275 60.0411546,30.3097664 60.0410994,30.3096359 60.0412043,30.309465 60.0412198,30.3093034 60.0412013,30.3090259 60.0415216,30.3096542 60.0419771,30.3100695 60.0421741,30.3105663 60.0423348,30.3107651 60.0423708,30.3107024 60.042285,30.3106087 60.0422325,30.3106231 60.0421755,30.3107099 60.0420671,30.3108112 60.0420226,30.3108575 60.0420183,30.3109209 60.042017,30.311013 60.0419739,30.3109473 60.0419645,30.3108088 60.0419332,30.3107505 60.0419023,30.3107466 60.041884,30.3107629 60.0418589,30.3108189 60.0418598,30.3108832 60.0418825,30.311009 60.0419264,30.3109553 60.0418584,30.3108649 60.0418323,30.3108591 60.0417877,30.3107574 60.0417294,30.3107408 60.0416905,30.3107927 60.0416774,30.3108951 60.0416999,30.3109676 60.0416981,30.3109727 60.0416624,30.3108727 60.0415482,30.3111287 60.0415346))"	beach	relation	"1441557"
"POLYGON ((30.3080028 60.0434564,30.3084268 60.0435008,30.30862 60.0434044,30.3088775 60.0433615,30.3089828 60.0433043,30.3094232 60.0432941,30.3097849 60.043335,30.3099257 60.0432034,30.3094168 60.043114,30.308805 60.0430889,30.3083071 60.0431897,30.3081349 60.0432422,30.3080518 60.0433233,30.3080028 60.0434564))"	beach	relation	"1441558"
"POLYGON ((30.3142546 60.0353784,30.3145828 60.0354741,30.3151092 60.0357033,30.3155007 60.0360265,30.3155865 60.0363993,30.3159432 60.0369809,30.3163539 60.037313,30.3164351 60.0373908,30.3165242 60.0373581,30.3165018 60.0372833,30.3168596 60.0370768,30.3169868 60.0369891,30.3168617 60.0369014,30.3168601 60.0367921,30.3169061 60.0367011,30.3169782 60.0365842,30.3169218 60.0365536,30.3168671 60.0365238,30.3168382 60.0364436,30.3168288 60.0364173,30.3167517 60.0364075,30.3166922 60.0363859,30.316654 60.0363542,30.3165951 60.0363401,30.3165423 60.0363252,30.3164925 60.036283,30.3163799 60.0362676,30.3163275 60.0362486,30.3162457 60.0362267,30.3161333 60.0362128,30.3160307 60.0361747,30.3159415 60.0361415,30.3157827 60.0359096,30.3157838 60.0358724,30.315819 60.0358431,30.3158438 60.0358189,30.3158405 60.0357889,30.3158107 60.0357675,30.3157479 60.0357536,30.3156877 60.0357364,30.3156372 60.0356969,30.3156143 60.0356773,30.3156154 60.0356443,30.3155761 60.0355999,30.3155766 60.0355689,30.3155425 60.0355372,30.3154612 60.0355269,30.3154008 60.0355063,30.3153848 60.0354697,30.315407 60.0354379,30.3153739 60.0354032,30.3153114 60.0353823,30.3152278 60.0353837,30.3151739 60.0353755,30.3149709 60.0352995,30.3149853 60.0352565,30.3150915 60.0351861,30.3150474 60.0351691,30.3148821 60.0352483,30.3148047 60.0352583,30.3147222 60.0352469,30.3146477 60.0352257,30.3145842 60.0351976,30.314554 60.0352015,30.3144905 60.0352443,30.3144246 60.0352654,30.3144019 60.035283,30.314387 60.0353131,30.3143557 60.0353405,30.3142986 60.0353636,30.3142546 60.0353784))"	beach	relation	"1441559"
"POLYGON ((30.3708738 60.0205134,30.3708398 60.0205332,30.3708931 60.020556,30.370927 60.0205362,30.3708738 60.0205134))"	scrub	relation	"1481708"
"POLYGON ((29.8322758 59.8804554,29.8320501 59.8800026,29.8320027 59.8800059,29.8319058 59.8800263,29.8314471 59.880131,29.8292514 59.8806253,29.828316 59.8808347,29.827236 59.881077,29.8278534 59.881775,29.8279318 59.8818022,29.8279938 59.8818206,29.8280783 59.8818419,29.828189 59.8818687,29.8282349 59.8818769,29.8282765 59.881881,29.8283124 59.88188,29.8283593 59.8818737,29.8291988 59.8816835,29.829191 59.8816272,29.8299788 59.8814494,29.830767 59.8812713,29.8308139 59.8813229,29.8312531 59.8812236,29.8321636 59.8810037,29.8322758 59.8804554))"	grassland	relation	"1541349"
