WKT	NAME	NAME_EN	NAME_RU	WATERWAY	OSM_TYPE	OSM_ID
"LINESTRING (30.3185722 59.9526765,30.3185465 59.9529833,30.3184606 59.9536477,30.3184207 59.9537009,30.3183285 59.9537408,30.3182198 59.9537524,30.3172783 59.9536984,30.3169631 59.9551811,30.31692 59.9552258,30.3168442 59.955256,30.3167476 59.9552644,30.3166268 59.9552568,30.3159823 59.9550976,30.3151596 59.9554267,30.3150737 59.9554521,30.314977 59.9554595,30.3148699 59.955448,30.3143599 59.9553469,30.3142647 59.9553228,30.3141902 59.9552892,30.3136589 59.9549676,30.312841 59.9550918,30.3126939 59.9550676,30.3121962 59.9547077,30.3113042 59.9547582,30.3105746 59.9545838,30.3104796 59.9540681,30.3104649 59.9540376,30.310399 59.9540079,30.3096691 59.9538557,30.3095774 59.9538097,30.309556 59.9537519,30.3095895 59.9536962,30.3100115 59.9534389,30.3114913 59.9526241,30.3110017 59.9523948,30.3109038 59.952325,30.3108984 59.9522477,30.3109644 59.9521722,30.3117011 59.9517268,30.3120299 59.9515387)"	Кронверкский проток	Kronverksky moat	Кронверкский проток	canal	way	"5463082"
"LINESTRING (30.3347022 59.9674866,30.3331412 59.9672992,30.3315186 59.9674132,30.3304036 59.9675627,30.3272271 59.9682059,30.3246928 59.9683013,30.3202352 59.9680269,30.3158207 59.9677852,30.315518 59.9677857,30.3152243 59.9678124,30.3138651 59.9679714,30.3121999 59.9681884,30.3118535 59.9682409,30.3115719 59.968297,30.311291 59.9683655,30.310956 59.9684566,30.31068 59.9685373,30.310418 59.9686381,30.3102005 59.968753,30.3099805 59.9689242,30.3096271 59.9692487,30.3093156 59.9695937,30.309216 59.9696951,30.3091054 59.9697584,30.3089499 59.969814,30.3087889 59.9698349,30.3085425 59.9698547,30.3080493 59.9698214,30.3077834 59.9697591)"	Карповка	Karpovka	Карповка	river	way	"5665908"
"LINESTRING (30.3907761 60.0290801,30.3914086 60.0290207,30.3919254 60.0289722,30.3928493 60.0289435,30.3937567 60.028957,30.3943385 60.0289207,30.3948974 60.0288849,30.3953855 60.0286559,30.3955824 60.0285635,30.3956722 60.0284571,30.3956722 60.0282924,30.3956722 60.0282314,30.3957015 60.0281937,30.3961104 60.0276679,30.3964418 60.0274204,30.3966233 60.0272678,30.3967525 60.0271591,30.3973892 60.0268772,30.3978096 60.0267643,30.3982332 60.026769,30.3986087 60.0267731,30.399541 60.0267834,30.4012486 60.0264907,30.4013001 60.0264769,30.401966 60.0262981,30.4022695 60.0261987)"	Муринский ручей			river	way	"8609465"
"LINESTRING (30.4095202 60.0241203,30.4105726 60.0236484,30.4107992 60.023473,30.4108367 60.0233895,30.4108579 60.0233331,30.4108495 60.023273,30.4107434 60.0231209,30.4107406 60.0230035,30.4108365 60.0229147,30.4112198 60.0227535,30.411548 60.0225813,30.4116668 60.0223718,30.4116128 60.0221713,30.411511 60.0220957,30.4113706 60.0220489,30.4111057 60.0220416,30.4109925 60.0219842,30.4109925 60.0219168,30.411111 60.0218413,30.4112923 60.0217875,30.411647 60.0217472,30.411901 60.0216905,30.4121254 60.0216227,30.4123348 60.0214893,30.4124371 60.0213867,30.4123742 60.0212865,30.4122483 60.0212591,30.4121555 60.0212151,30.4121305 60.0211743,30.412157 60.0211414,30.412433 60.0210593,30.4128421 60.0210734,30.4132153 60.0211292,30.4135812 60.0212183,30.4139536 60.0214297,30.4141705 60.0214748,30.4146932 60.0214587,30.4150887 60.0215268,30.4154072 60.0215368,30.4159859 60.021512,30.4161704 60.0214242,30.4162556 60.021251,30.4165095 60.0210831,30.4169154 60.0210044,30.4172446 60.0210348,30.4173908 60.0210966,30.4175304 60.021165,30.4176664 60.0211666,30.4179011 60.0210616,30.4179898 60.0209964,30.4179634 60.0208512,30.4184113 60.0207255,30.4186426 60.0207512,30.4189403 60.0207987)"	Муринский ручей			river	way	"8609570"
"LINESTRING (30.3659062 60.0306599,30.3670144 60.030746,30.3675119 60.0307122,30.3685373 60.0304916,30.369254 60.0303806,30.3700134 60.0303826,30.3707621 60.0304517,30.3713965 60.0304159,30.3719844 60.0302266,30.3725406 60.0297506,30.372657 60.0292241,30.3729493 60.0291133,30.3734331 60.0290684,30.3737193 60.0289354,30.3739722 60.0287226,30.3745456 60.0286322,30.3755985 60.0285464,30.3764408 60.0286146,30.3768347 60.0287003,30.3769048 60.0289068,30.3767065 60.0293371,30.3766341 60.0296456,30.376676 60.0299293,30.3770255 60.0302217)"	Муринский ручей			river	way	"9392239"
"LINESTRING (30.2776112 59.9515284,30.2738347 59.9500071,30.2734023 59.9499018,30.2729632 59.949851,30.271679 59.9498852,30.2713793 59.9498742,30.2710578 59.9498359,30.2708348 59.949765,30.2701226 59.9494778,30.2687728 59.9489397,30.2682698 59.9486718,30.2678504 59.9484598,30.267275 59.9482755,30.2662954 59.9479768,30.265481 59.9478245,30.2645361 59.947788,30.2637123 59.947854,30.263235 59.9479993,30.262285 59.94836,30.2616047 59.9484594,30.26084 59.9484701,30.2599162 59.9483827,30.259223 59.9482009,30.2577942 59.9476095,30.2563767 59.9470717,30.2558059 59.9469418,30.2552633 59.9468535,30.2547414 59.9468498,30.2543016 59.9468935,30.2537442 59.9470235,30.2534397 59.9471591,30.252799 59.9474875,30.2524509 59.9476152,30.2520638 59.9477058,30.2516883 59.9477366,30.2511862 59.9477113,30.250534 59.9476212,30.2497022 59.9474359,30.2483143 59.9470889,30.2468707 59.9466173,30.2446474 59.9459155,30.2439821 59.9457575,30.2435177 59.9456795,30.2429264 59.9456508,30.2423581 59.9456708,30.2419012 59.9457074,30.2415275 59.9457928,30.24122 59.9459383,30.2406188 59.9463034,30.2402035 59.9464412,30.2396144 59.9465614,30.2372323 59.9469634,30.2359476 59.9472751,30.2348049 59.9474671,30.2334231 59.9476081,30.2321653 59.9476591,30.231458 59.9477593)"	Смоленка	Smolenka	Смоленка	river	way	"10123891"
"LINESTRING (30.3304171 59.9493013,30.3320497 59.9470044,30.3360999 59.9412085)"	Лебяжья канавка	Lebyazhya kanavka		canal	way	"10233246"
"LINESTRING (30.2851009 59.9492895,30.286605 59.9504698,30.2884531 59.951798,30.2886277 59.9519525,30.288724 59.9521039,30.2887543 59.9522564,30.2887241 59.9524387,30.2885744 59.9526266,30.2883502 59.9527609,30.2869548 59.9533245,30.2864468 59.9535362)"	Ждановка	Zhdanovka	Ждановка	river	way	"10502153"
"LINESTRING (30.4802073 59.9702511,30.4784049 59.9696933,30.4776644 59.9694641,30.477552 59.9693997,30.4769974 59.9691021,30.4763254 59.9685899,30.4755293 59.9679845,30.4725311 59.9667271,30.47158 59.9661476,30.4707736 59.9652472,30.468799 59.9632601,30.4685302 59.9628409,30.4686363 59.9621636,30.4683944 59.961085,30.467857 59.9599509,30.466582 59.9591333,30.4659371 59.958877,30.4652965 59.9587007,30.4619457 59.9572764,30.4608077 59.9570443,30.4595854 59.9570285,30.4587635 59.9571445,30.4582788 59.9573767,30.4574674 59.958437,30.4572567 59.9592916,30.4567403 59.9597769,30.4560554 59.9600775,30.4555925 59.960178,30.4551492 59.9602199,30.4546484 59.9602048,30.4541061 59.960067,30.4535687 59.9597136,30.4530734 59.9591597,30.4520092 59.9577565,30.451809 59.9570654,30.4518511 59.9558468,30.4522199 59.9555408,30.4528311 59.9553245,30.453653 59.955219,30.4544116 59.9549763,30.4550966 59.9546175,30.4558868 59.9539264,30.4560133 59.9533882,30.4557815 59.9526918,30.4552968 59.9521431,30.4542957 59.9515733,30.4527784 59.9507818,30.4522831 59.9503069,30.4521251 59.949774,30.4523674 59.9493044,30.4528943 59.948935,30.4538953 59.9485234,30.4548121 59.948038,30.4554443 59.9473572,30.4562451 59.9455525,30.4564242 59.9447187,30.4562556 59.9439482,30.4558552 59.9433835,30.4554337 59.9430193,30.4545697 59.9426499,30.4483317 59.941399,30.4481112 59.9413851)"	Охта	Okhta		river	way	"10710625"
"LINESTRING (30.2258792 59.9327405,30.2268996 59.9286924)"	Шкиперский канал	Shkipersky canal		canal	way	"10890550"
